task_seed,task_id,acid_type,difficulty,direction,pka_family,true_pair_count,true_concentration_m,initial_volume_ml,initial_ph,target_ph,true_success,strict_success,severe_failure,measured_success,false_stop,steps,overshoots,final_abs_error,total_volume_ml,acid_added_ml,base_added_ml,final_true_ph,final_measured_ph,stop_reason,suite,method,training_seed
510001,1,monoprotic,far,base,single,1,0.1791423294444583,8.79662341754318,4.363,7.721,1,1,0,1,0,16,8,0.008317268957650725,21.560000000000002,5.940000000000001,15.620000000000001,7.712682731042349,7.71,measured_success,nominal_locked,teacher,0
510001,2,monoprotic,far,base,single,1,0.030549929031475524,12.158970958015534,2.485,5.067,0,0,0,0,0,50,44,0.15706754573348292,16.679999999999993,7.679999999999996,8.999999999999996,4.909932454266517,4.91,max_steps,nominal_locked,teacher,0
510001,3,monoprotic,far,base,single,1,0.03782428120823309,13.395150911995803,5.1,7.382,0,0,0,0,0,50,44,0.337864670149445,19.359999999999992,9.379999999999997,9.979999999999995,7.044135329850555,7.04,max_steps,nominal_locked,teacher,0
510001,4,diprotic,medium,acid,overlapping,2,0.036588618627091236,11.902012364489687,6.059,4.819,1,1,0,1,0,1,0,0.008910651386810464,4.26,4.26,0.0,4.82791065138681,4.83,measured_success,nominal_locked,teacher,0
510001,5,monoprotic,medium,base,single,1,0.05969040254066163,10.461007269988361,3.112,4.157,1,1,0,1,0,7,5,0.014878399587331614,5.120000000000001,1.9100000000000001,3.2100000000000004,4.171878399587332,4.17,measured_success,nominal_locked,teacher,0
510001,6,monoprotic,far,base,single,1,0.11991616424383758,10.291635732586684,3.512,7.435,0,0,0,0,0,50,46,0.3583165615702315,18.769999999999996,4.7499999999999964,14.019999999999998,7.076683438429768,7.08,max_steps,nominal_locked,teacher,0
510001,7,monoprotic,medium,acid,single,1,0.0725666897916909,10.228577033137014,5.926,5.084,1,1,0,1,0,4,4,0.049779316218693026,4.13,2.76,1.37,5.133779316218693,5.13,measured_success,nominal_locked,teacher,0
510001,8,diprotic,medium,acid,separated,2,0.09163581022849865,13.316895336268608,5.164,4.115,1,1,0,1,0,3,0,0.008213703304585707,6.84,6.84,0.0,4.123213703304586,4.12,measured_success,nominal_locked,teacher,0
510001,9,monoprotic,medium,acid,single,1,0.05275440122745898,14.301404970071589,7.056,5.479,1,0,0,1,0,2,1,0.08796320050047068,4.87,4.87,0.0,5.391036799499529,5.39,measured_success,nominal_locked,teacher,0
510001,10,triprotic,near,acid,separated,3,0.06748058681148787,14.94829417399239,2.282,1.843,1,0,0,1,0,2,0,0.08848014069300847,4.21,4.21,0.0,1.9314801406930084,1.93,measured_success,nominal_locked,teacher,0
510001,11,triprotic,near,base,separated,3,0.16555120005669724,15.230030773477935,5.044,5.566,1,0,0,1,0,5,0,0.0790473512590113,3.5400000000000005,0.0,3.5400000000000005,5.4869526487409885,5.49,measured_success,nominal_locked,teacher,0
510001,12,diprotic,medium,base,separated,2,0.14262220259831024,13.937988157224737,6.568,7.748,1,1,0,1,0,9,5,0.02590532563518355,8.37,3.48,4.889999999999999,7.773905325635184,7.77,measured_success,nominal_locked,teacher,0
510001,13,diprotic,near,acid,separated,2,0.03905367079799966,15.672727121843401,4.069,3.714,1,0,0,1,0,2,1,0.07196440994491438,2.42,2.01,0.41,3.6420355900550856,3.64,measured_success,nominal_locked,teacher,0
510001,14,monoprotic,near,acid,single,1,0.09664939660565178,10.825008179067211,4.528,3.932,1,0,0,1,0,1,0,0.0786349627213263,2.95,2.95,0.0,4.010634962721326,4.01,measured_success,nominal_locked,teacher,0
510001,15,monoprotic,near,base,single,1,0.1101156196964836,11.45240444483603,4.624,4.832,1,0,0,1,0,4,2,0.08839756440713042,4.27,1.8199999999999998,2.4499999999999997,4.743602435592869,4.74,measured_success,nominal_locked,teacher,0
510001,16,diprotic,medium,base,separated,2,0.042383692597729374,10.401522417844014,2.637,4.115,1,1,0,1,0,3,1,0.0036747034649202703,4.7299999999999995,0.0,4.7299999999999995,4.1186747034649205,4.12,measured_success,nominal_locked,teacher,0
510001,17,monoprotic,medium,base,single,1,0.15471168350674935,11.837880810500105,8.313,9.383,1,0,0,1,0,3,2,0.07776602084358686,3.7,0.32,3.3800000000000003,9.305233979156412,9.31,measured_success,nominal_locked,teacher,0
510001,18,diprotic,medium,base,separated,2,0.04842394169172538,10.876907790313851,2.595,4.304,1,0,0,1,0,3,0,0.07634131147310441,5.58,0.0,5.58,4.227658688526896,4.23,measured_success,nominal_locked,teacher,0
510001,19,triprotic,near,base,separated,3,0.031697310014600626,12.331008156925773,3.458,4.091,1,1,0,1,0,1,0,0.031197411376346018,1.63,0.0,1.63,4.059802588623654,4.06,measured_success,nominal_locked,teacher,0
510001,20,monoprotic,near,acid,single,1,0.14763532345848138,9.300411665292097,3.289,2.974,1,1,0,1,0,1,1,0.015461144894176826,1.92,1.92,0.0,2.9585388551058234,2.96,measured_success,nominal_locked,teacher,0
510001,21,triprotic,medium,acid,separated,3,0.04815908946950753,13.655620088240912,4.854,3.056,1,1,0,1,0,2,1,0.01897942574620526,6.57,6.57,0.0,3.037020574253795,3.04,measured_success,nominal_locked,teacher,0
510001,22,diprotic,near,acid,separated,2,0.06551069474549359,11.361573789558822,5.087,4.887,1,0,0,1,0,3,1,0.053097030746278584,2.7699999999999996,2.03,0.74,4.833902969253721,4.83,measured_success,nominal_locked,teacher,0
510001,23,monoprotic,far,base,single,1,0.05457247862836137,8.036768051292649,4.762,6.899,0,0,0,0,0,50,45,0.3063197765542336,15.409999999999993,7.319999999999996,8.089999999999996,7.205319776554234,7.21,max_steps,nominal_locked,teacher,0
510001,24,monoprotic,far,acid,single,1,0.033646895453593235,9.377320413224373,6.032,3.203,1,0,0,1,0,8,4,0.0704935856997353,14.149999999999999,8.489999999999998,5.66,3.273493585699735,3.27,measured_success,nominal_locked,teacher,0
510001,25,monoprotic,medium,acid,single,1,0.04109672041269922,11.082881914287608,6.735,5.994,1,0,0,1,0,4,3,0.06154374544050256,3.63,2.71,0.92,5.932456254559497,5.93,measured_success,nominal_locked,teacher,0
510001,26,monoprotic,medium,base,single,1,0.05937687677036426,9.761669777339241,4.231,5.462,1,0,0,1,0,8,4,0.06981889372649874,9.71,4.32,5.390000000000001,5.392181106273501,5.39,measured_success,nominal_locked,teacher,0
510001,27,diprotic,far,base,separated,2,0.11121948124521999,10.92626096726665,5.753,9.572,0,0,0,0,0,50,45,0.12025097426414177,21.47999999999999,9.209999999999997,12.269999999999994,9.692250974264141,9.69,max_steps,nominal_locked,teacher,0
510001,28,monoprotic,near,acid,single,1,0.0369080411269631,9.931809000529766,8.359,7.796,1,0,0,1,0,3,3,0.06602711674862594,2.49,1.75,0.74,7.729972883251374,7.73,measured_success,nominal_locked,teacher,0
510001,29,diprotic,far,base,separated,2,0.15576342620482456,11.287205942272823,4.029,7.092,1,1,0,1,0,11,7,0.004936894080954879,18.55,5.12,13.430000000000001,7.0969368940809545,7.1,measured_success,nominal_locked,teacher,0
