environment_steps,tasks,success_rate_percent,strict_success_rate_percent,severe_failure_rate_percent,false_stop_rate_percent,successful_steps_mean,steps_mean,overshoots_mean,total_volume_mean_ml,final_abs_error_mean,actor_loss,critic_loss,entropy,post_final_batch
0,500,88.4,29.799999999999997,3.2,2.6,8.081447963800905,12.176,3.568,8.04256,0.11482017455474004,,,,
10001,500,89.60000000000001,29.799999999999997,2.8000000000000003,2.8000000000000003,7.613839285714286,11.25,3.688,8.470880000000001,0.10154329278586151,-0.03929095107337667,3.617332789633009,4.679148236910502,
20001,500,83.8,32.4,9.0,3.4000000000000004,7.002386634844869,9.966,3.126,11.29308,0.3063632125982483,-0.041355736825304724,5.121747112936443,4.645988464355469,
30008,500,85.0,33.0,7.6,2.8000000000000003,6.310588235294118,10.384,4.124,10.470579999999998,0.21699072127401983,0.006025906755692429,5.480982873174879,4.606640974680583,
40000,500,85.6,33.6,6.800000000000001,1.7999999999999998,7.432242990654205,11.492,3.6,9.995880000000001,0.2369193787547113,-0.07057545076693511,4.056483952535523,4.398633652263218,
50003,500,88.0,40.2,5.6000000000000005,1.7999999999999998,6.1840909090909095,10.268,3.662,9.103819999999999,0.1685865730994244,-0.07142197537339395,3.8744581871562533,4.27321371767256,
60010,500,87.2,36.8,4.8,2.0,5.637614678899083,10.282,4.982,8.8247,0.1354394278915934,-0.050832471448100276,3.87139982647366,4.114590399795109,
70015,500,88.0,39.6,4.6,2.8000000000000003,5.613636363636363,9.512,4.404,9.4055,0.13980315125929546,-0.02942310946269168,4.647347804572847,4.26040901740392,
80010,500,92.0,39.4,4.0,1.0,5.4543478260869565,8.52,3.856,8.9379,0.12302057542457426,-0.04700618226908975,3.195118257905253,4.1338105003039045,
90004,500,91.60000000000001,44.800000000000004,3.5999999999999996,1.4000000000000001,5.152838427947598,8.198,3.41,8.643019999999998,0.1093501908403632,-0.03375259983456797,3.1793638467788696,4.043611983458201,
100023,500,92.2,45.800000000000004,3.5999999999999996,1.6,5.483731019522777,8.184,3.546,8.85234,0.12368602547211065,-0.056460337267102055,2.984745199481646,4.005878647168477,1
