comparison,method,training_seed,evaluation_seed,paired_tasks,pf_only_success,comparison_only_success,success_difference_pp,exact_mcnemar_p
pf_imitation_minus_pf_posterior_direct,pf_imitation,selected,901,3000,167,867,23.333333333333343,1.6377561576427855e-114
pf_imitation_minus_pf_posterior_direct,pf_imitation,selected,902,3000,143,839,23.200000000000017,2.1467031559030388e-120
pf_imitation_minus_pf_posterior_direct,pf_imitation,selected,903,3000,172,836,22.133333333333326,3.1544715317045546e-105
pf_imitation_minus_pf_posterior_direct,pf_imitation,selected,904,3000,168,855,22.89999999999999,2.4480494490843874e-111
pf_imitation_minus_pf_posterior_direct,pf_imitation,selected,905,3000,171,817,21.53333333333333,1.5943974540125458e-101
ppo_from_pf_imitation_minus_pf_posterior_direct,ppo_from_pf_imitation,101,901,3000,151,887,24.53333333333333,2.7358699726962706e-127
ppo_from_pf_imitation_minus_pf_posterior_direct,ppo_from_pf_imitation,101,902,3000,124,862,24.60000000000001,1.2790319029887812e-136
ppo_from_pf_imitation_minus_pf_posterior_direct,ppo_from_pf_imitation,101,903,3000,176,849,22.433333333333323,3.190024573579816e-106
ppo_from_pf_imitation_minus_pf_posterior_direct,ppo_from_pf_imitation,101,904,3000,138,879,24.700000000000003,1.4646054586792823e-132
ppo_from_pf_imitation_minus_pf_posterior_direct,ppo_from_pf_imitation,101,905,3000,149,840,23.03333333333333,1.8458661864240903e-117
random_actor_untrained_minus_pf_posterior_direct,random_actor_untrained,101,901,3000,965,610,-11.833333333333329,3.3142199772836084e-19
random_actor_untrained_minus_pf_posterior_direct,random_actor_untrained,101,902,3000,978,563,-13.833333333333329,2.6538242707425806e-26
random_actor_untrained_minus_pf_posterior_direct,random_actor_untrained,101,903,3000,1016,525,-16.366666666666674,2.3723954482703835e-36
random_actor_untrained_minus_pf_posterior_direct,random_actor_untrained,101,904,3000,967,574,-13.100000000000001,1.0122740819079365e-23
random_actor_untrained_minus_pf_posterior_direct,random_actor_untrained,101,905,3000,1023,555,-15.599999999999994,2.3090489556699822e-32
ppo_from_random_minus_pf_posterior_direct,ppo_from_random,101,901,3000,416,836,14.0,6.035716959991354e-33
ppo_from_random_minus_pf_posterior_direct,ppo_from_random,101,902,3000,435,821,12.866666666666674,6.590956940408308e-28
ppo_from_random_minus_pf_posterior_direct,ppo_from_random,101,903,3000,474,786,10.399999999999991,1.2931300345371026e-18
ppo_from_random_minus_pf_posterior_direct,ppo_from_random,101,904,3000,424,805,12.700000000000003,8.453088836967169e-28
ppo_from_random_minus_pf_posterior_direct,ppo_from_random,101,905,3000,432,792,12.0,4.815499143672668e-25
ppo_from_pf_imitation_minus_pf_posterior_direct,ppo_from_pf_imitation,202,901,3000,160,885,24.16666666666667,4.1520514724943935e-122
ppo_from_pf_imitation_minus_pf_posterior_direct,ppo_from_pf_imitation,202,902,3000,140,871,24.366666666666674,1.531818798326042e-129
ppo_from_pf_imitation_minus_pf_posterior_direct,ppo_from_pf_imitation,202,903,3000,158,861,23.433333333333323,1.2053911236564303e-117
ppo_from_pf_imitation_minus_pf_posterior_direct,ppo_from_pf_imitation,202,904,3000,159,895,24.53333333333333,6.39495216628534e-125
ppo_from_pf_imitation_minus_pf_posterior_direct,ppo_from_pf_imitation,202,905,3000,164,849,22.83333333333333,6.130829791951068e-112
random_actor_untrained_minus_pf_posterior_direct,random_actor_untrained,202,901,3000,902,586,-10.533333333333331,2.4742705111410436e-16
random_actor_untrained_minus_pf_posterior_direct,random_actor_untrained,202,902,3000,897,524,-12.433333333333323,3.2220514860200086e-23
random_actor_untrained_minus_pf_posterior_direct,random_actor_untrained,202,903,3000,931,558,-12.433333333333344,3.2875456836669267e-22
random_actor_untrained_minus_pf_posterior_direct,random_actor_untrained,202,904,3000,917,568,-11.633333333333333,1.1659657672739046e-19
random_actor_untrained_minus_pf_posterior_direct,random_actor_untrained,202,905,3000,895,553,-11.400000000000006,2.195912210973501e-19
