method,method_label,training_seed,evaluation_seed,tasks,success_rate_percent,strict_success_rate_percent,severe_failure_rate_percent,false_stop_rate_percent,successful_steps_mean,steps_mean,overshoots_mean,total_volume_mean_ml,final_abs_error_mean
pf_posterior_direct,PF posterior-direct,101,901,3000,64.73333333333333,30.8,24.133333333333333,0.7000000000000001,4.4680741503604535,6.559666666666667,4.515,30.621206666666666,0.6718814763490267
pf_posterior_direct,PF posterior-direct,202,902,3000,64.66666666666666,31.900000000000002,24.266666666666666,1.0999999999999999,4.50979381443299,6.706333333333333,4.568333333333333,30.595769999999998,0.6717139723364646
pf_posterior_direct,PF posterior-direct,303,903,3000,65.9,30.466666666666665,23.1,1.3,4.59838138593829,6.545333333333334,4.4093333333333335,30.94062,0.6549299957181581
pf_posterior_direct,PF posterior-direct,404,904,3000,64.73333333333333,30.466666666666665,23.033333333333335,1.2666666666666666,4.4062821833161685,6.635666666666666,4.568666666666667,30.59413,0.711879379321013
pf_posterior_direct,PF posterior-direct,555,905,3000,65.96666666666667,30.966666666666665,23.333333333333332,0.9333333333333335,4.585144012127337,6.583666666666667,4.484333333333334,30.67959,0.6547780141023055
pf_imitation,PF-distilled imitation,selected,901,3000,88.06666666666668,33.6,3.3000000000000003,3.1,8.02990158970477,12.093666666666667,3.347,7.9364,0.12210777301809161
pf_imitation,PF-distilled imitation,selected,902,3000,87.86666666666667,34.66666666666667,3.5999999999999996,2.966666666666667,8.144916540212444,12.247,3.793,7.920046666666667,0.12342343819830646
pf_imitation,PF-distilled imitation,selected,903,3000,88.03333333333333,35.4,2.7333333333333334,2.7666666666666666,7.680424081787201,11.833333333333334,3.473333333333333,8.024653333333333,0.11056761503522126
pf_imitation,PF-distilled imitation,selected,904,3000,87.63333333333333,34.8,3.7666666666666666,2.8000000000000003,7.823507036896158,12.149333333333333,3.518666666666667,7.895796666666667,0.1227654184663881
pf_imitation,PF-distilled imitation,selected,905,3000,87.5,34.46666666666667,3.4333333333333336,3.3000000000000003,8.152761904761904,12.383333333333333,3.337666666666667,8.087773333333333,0.12496554094704142
ppo_from_pf_imitation,PPO from PF imitation,101,901,3000,89.26666666666667,37.6,3.4666666666666663,2.433333333333333,7.092233009708738,10.742666666666667,3.627,8.317796666666668,0.12394461748952627
ppo_from_pf_imitation,PPO from PF imitation,101,902,3000,89.26666666666667,38.800000000000004,3.833333333333333,2.2666666666666666,7.15160567587752,10.973333333333333,3.9633333333333334,8.203023333333332,0.12512017324327424
ppo_from_pf_imitation,PPO from PF imitation,101,903,3000,88.33333333333333,38.06666666666666,3.033333333333333,2.933333333333333,6.86377358490566,10.799333333333333,3.9283333333333332,8.572153333333333,0.11773751339879933
ppo_from_pf_imitation,PPO from PF imitation,101,904,3000,89.43333333333334,36.56666666666666,3.9,2.3,6.802087215803206,10.476333333333333,3.6743333333333332,8.273443333333335,0.12864823025986347
ppo_from_pf_imitation,PPO from PF imitation,101,905,3000,89.0,37.36666666666667,3.4333333333333336,2.8000000000000003,7.114232209737827,10.873666666666667,3.7573333333333334,8.347843333333334,0.1200030377992735
random_actor_untrained,Untrained random actor,101,901,3000,52.900000000000006,24.6,35.766666666666666,0.8999999999999999,7.775677378701953,13.044666666666666,4.463666666666667,31.417513333333336,0.7976803744301529
random_actor_untrained,Untrained random actor,101,902,3000,50.83333333333333,24.0,37.0,0.7333333333333333,8.127868852459017,13.367333333333333,4.6033333333333335,32.04660333333333,0.8566287994257573
random_actor_untrained,Untrained random actor,101,903,3000,49.53333333333333,23.566666666666666,38.4,0.5333333333333333,7.810901749663526,13.649666666666667,4.584333333333333,32.42351333333334,0.8681954972614668
random_actor_untrained,Untrained random actor,101,904,3000,51.63333333333333,23.633333333333333,36.4,0.5333333333333333,7.957391865719819,13.092666666666666,4.568,32.05286,0.7987776200109229
random_actor_untrained,Untrained random actor,101,905,3000,50.366666666666674,23.033333333333335,37.766666666666666,0.9666666666666667,7.650562541363335,13.068666666666667,4.61,32.07921666666667,0.849170603808966
ppo_from_random,PPO from random actor,101,901,3000,78.73333333333333,40.06666666666667,12.733333333333333,0.9666666666666667,8.840812870448772,16.794333333333334,11.242,17.919729999999998,0.3247573327359214
ppo_from_random,PPO from random actor,101,902,3000,77.53333333333333,40.400000000000006,14.6,1.0666666666666667,8.408426483233018,16.941666666666666,11.474,17.948073333333333,0.33089560020972913
ppo_from_random,PPO from random actor,101,903,3000,76.3,39.900000000000006,14.766666666666667,1.1666666666666667,8.602009611183924,17.482666666666667,11.826333333333332,18.486376666666665,0.3304560588457894
ppo_from_random,PPO from random actor,101,904,3000,77.43333333333334,40.33333333333333,13.8,0.8666666666666666,8.54842875591907,17.063,11.508666666666667,18.281656666666667,0.3237055687415017
ppo_from_random,PPO from random actor,101,905,3000,77.96666666666667,40.9,13.833333333333334,1.0999999999999999,8.556648140230868,16.773333333333333,11.206,17.884486666666668,0.3277941956357495
ppo_from_pf_imitation,PPO from PF imitation,202,901,3000,88.9,39.93333333333333,4.366666666666666,2.1999999999999997,6.215223097112861,10.143,3.2203333333333335,8.317269999999999,0.14415352197195588
ppo_from_pf_imitation,PPO from PF imitation,202,902,3000,89.03333333333333,38.86666666666667,4.866666666666666,1.633333333333333,6.199925121677275,10.287666666666667,3.373,8.11747,0.1423847578253897
ppo_from_pf_imitation,PPO from PF imitation,202,903,3000,89.33333333333333,40.5,4.233333333333333,1.7333333333333332,6.148134328358209,10.107,3.2343333333333333,8.440993333333335,0.1425117674911251
ppo_from_pf_imitation,PPO from PF imitation,202,904,3000,89.26666666666667,38.46666666666667,4.633333333333333,1.2333333333333334,6.08252427184466,10.190666666666667,3.377666666666667,8.141483333333333,0.14893834089876565
ppo_from_pf_imitation,PPO from PF imitation,202,905,3000,88.8,38.4,4.633333333333333,1.7666666666666668,6.246621621621622,10.334666666666667,3.2213333333333334,8.293793333333333,0.1436028395111599
random_actor_untrained,Untrained random actor,202,901,3000,54.2,26.3,30.233333333333334,0.8999999999999999,7.84440344403444,14.115333333333334,6.741666666666666,33.565376666666666,0.7817293221550045
random_actor_untrained,Untrained random actor,202,902,3000,52.233333333333334,24.433333333333334,31.5,0.7000000000000001,8.075303126994257,14.461666666666666,6.950666666666667,34.599803333333334,0.822133222313886
random_actor_untrained,Untrained random actor,202,903,3000,53.46666666666666,27.366666666666667,30.8,0.9333333333333335,8.069201995012468,14.502,6.797666666666666,33.85108,0.810688716434671
random_actor_untrained,Untrained random actor,202,904,3000,53.1,26.466666666666665,31.466666666666665,0.6,7.966101694915254,14.394666666666666,6.7716666666666665,34.03989000000001,0.8607123385270667
random_actor_untrained,Untrained random actor,202,905,3000,54.56666666666666,26.3,30.333333333333336,0.6666666666666667,8.056811240073305,14.107333333333333,6.777,33.89250666666667,0.8347402510859029
ppo_from_random,PPO from random actor,202,901,3000,79.86666666666666,37.2,15.6,0.9333333333333335,8.295492487479132,13.398666666666667,9.078,18.833389999999998,0.34274757323167415
ppo_from_random,PPO from random actor,202,902,3000,77.73333333333333,36.63333333333333,15.333333333333332,1.4000000000000001,8.499571183533448,14.007,9.755666666666666,19.763106666666665,0.35071400461503677
ppo_from_random,PPO from random actor,202,903,3000,78.56666666666666,36.13333333333333,16.066666666666666,0.7666666666666666,8.537123462028001,13.963666666666667,9.527333333333333,19.590283333333332,0.3606387898328074
ppo_from_random,PPO from random actor,202,904,3000,79.2,36.733333333333334,15.133333333333333,1.0999999999999999,8.482744107744107,13.692666666666666,9.442333333333334,19.230203333333332,0.3345333401942653
ppo_from_random,PPO from random actor,202,905,3000,78.26666666666667,35.43333333333333,15.7,1.1333333333333333,8.206132879045997,13.683,9.392666666666667,19.23399666666667,0.35032965721139653
