method,method_label,training_seed,evaluation_seeds,success_rate_percent,strict_success_rate_percent,severe_failure_rate_percent,false_stop_rate_percent,successful_steps_mean,steps_mean,overshoots_mean,total_volume_mean_ml,final_abs_error_mean
pf_imitation,PF-distilled imitation,selected,5,87.82000000000001,34.58666666666667,3.3666666666666663,2.986666666666667,7.966302230672495,12.141333333333332,3.493933333333333,7.9729339999999995,0.12076595713300978
pf_posterior_direct,PF posterior-direct,101,1,64.73333333333333,30.8,24.133333333333333,0.7000000000000001,4.4680741503604535,6.559666666666667,4.515,30.621206666666666,0.6718814763490267
pf_posterior_direct,PF posterior-direct,202,1,64.66666666666666,31.900000000000002,24.266666666666666,1.0999999999999999,4.50979381443299,6.706333333333333,4.568333333333333,30.595769999999998,0.6717139723364646
pf_posterior_direct,PF posterior-direct,303,1,65.9,30.466666666666665,23.1,1.3,4.59838138593829,6.545333333333334,4.4093333333333335,30.94062,0.6549299957181581
pf_posterior_direct,PF posterior-direct,404,1,64.73333333333333,30.466666666666665,23.033333333333335,1.2666666666666666,4.4062821833161685,6.635666666666666,4.568666666666667,30.59413,0.711879379321013
pf_posterior_direct,PF posterior-direct,555,1,65.96666666666667,30.966666666666665,23.333333333333332,0.9333333333333335,4.585144012127337,6.583666666666667,4.484333333333334,30.67959,0.6547780141023055
ppo_from_pf_imitation,PPO from PF imitation,101,5,89.06,37.68,3.5333333333333328,2.546666666666667,7.004786339206591,10.773066666666665,3.7900666666666667,8.342851999999999,0.12309071443814737
ppo_from_pf_imitation,PPO from PF imitation,202,5,89.06666666666666,39.233333333333334,4.546666666666666,1.7133333333333334,6.178485688122926,10.2126,3.285333333333333,8.262202,0.14431824553967926
ppo_from_pf_imitation,PPO from PF imitation,303,5,92.67999999999999,42.82000000000001,2.8666666666666667,1.5533333333333335,5.66938367182887,8.160533333333333,3.431466666666666,8.53587,0.10462928140010434
ppo_from_pf_imitation,PPO from PF imitation,404,5,88.41333333333333,38.16666666666667,4.193333333333333,2.6466666666666665,6.386786759240545,10.390266666666667,4.5516,8.449247333333334,0.1325226871237219
ppo_from_pf_imitation,PPO from PF imitation,555,5,88.46000000000001,33.17999999999999,3.7600000000000002,3.0400000000000005,8.1336406865346,11.9742,3.771933333333333,7.931504000000001,0.1247708262642746
ppo_from_random,PPO from random actor,101,5,77.59333333333333,40.32,13.946666666666667,1.0333333333333332,8.591265172203132,17.011000000000003,11.451400000000001,18.104064666666666,0.3275217512337382
ppo_from_random,PPO from random actor,202,5,78.72666666666666,36.42666666666666,15.566666666666666,1.0666666666666669,8.404212823966137,13.749,9.4392,19.330196,0.34779267301703604
ppo_from_random,PPO from random actor,303,5,70.0,28.746666666666663,17.986666666666668,1.2866666666666666,13.362548377079486,20.742066666666666,8.208666666666666,19.04861466666667,0.425811957281007
ppo_from_random,PPO from random actor,404,5,80.38,36.480000000000004,10.813333333333334,1.5866666666666667,9.389965839370038,16.7922,11.592266666666667,16.059386666666665,0.29051263722345133
ppo_from_random,PPO from random actor,555,5,85.02666666666667,40.24,10.533333333333335,1.4600000000000004,11.137895116426282,16.309133333333335,8.037866666666666,15.083870000000001,0.31281866378615836
random_actor_untrained,Untrained random actor,101,5,51.05333333333333,23.76666666666667,37.06666666666666,0.7333333333333333,7.86448047758153,13.2446,4.5658666666666665,32.00394133333334,0.8340905789874531
random_actor_untrained,Untrained random actor,202,5,53.513333333333335,26.173333333333336,30.866666666666667,0.7600000000000001,8.002364300205945,14.3162,6.807733333333334,33.98973133333333,0.8220007701033062
random_actor_untrained,Untrained random actor,303,5,48.49333333333333,24.78666666666667,40.31333333333333,0.5866666666666667,4.552100196884124,7.348866666666668,4.8966666666666665,35.269664,1.092649244198881
random_actor_untrained,Untrained random actor,404,5,33.11999999999999,16.639999999999997,43.34666666666667,0.5,6.35957667365889,9.0148,7.579466666666666,42.705126,1.154895409172871
random_actor_untrained,Untrained random actor,555,5,34.266666666666666,17.753333333333334,49.07333333333334,0.4533333333333334,4.62044839381248,8.0842,4.4854,40.297391999999995,1.4744759503481866
