algorithm,initialization,seed,environment_steps,tasks,success_rate_percent,strict_success_rate_percent,severe_failure_rate_percent,false_stop_rate_percent,successful_steps_mean,successful_steps_sd_task,steps_mean,overshoots_mean,total_volume_mean_ml,final_abs_error_mean
a2c,imitation,101,0,1000,88.0,35.099999999999994,6.5,0.0,7.7102272727272725,3.944309123887777,12.785,7.179,20.35947,0.13113851865977777
a2c,imitation,101,5035,1000,87.4,36.3,6.9,0.0,7.590389016018307,3.7623198571625616,12.934,6.915,20.27708,0.1414700701116047
a2c,imitation,101,10002,1000,87.7,34.8,6.9,0.0,7.831242873432155,4.046959502646316,13.018,6.561,20.113870000000002,0.13988558096671316
a2c,imitation,101,15029,1000,87.0,34.9,6.800000000000001,0.0,7.675862068965517,3.946797087979113,13.178,6.746,20.515530000000002,0.14988928006913851
a2c,imitation,101,20004,1000,87.6,34.2,6.1,0.0,7.605022831050229,3.8051600904250877,12.862,6.735,20.415600000000005,0.1416550827066919
a2c,imitation,101,25041,1000,86.4,31.3,8.1,0.0,7.695601851851852,4.093482269182048,13.449,6.469,20.116970000000002,0.17590772166533136
a2c,random,101,0,1000,19.900000000000002,2.3,75.8,0.0,20.809045226130653,16.906567924413068,44.191,0.233,7.5124699999999995,3.0229818994411644
a2c,random,101,5008,1000,40.1,8.9,46.9,0.0,21.71571072319202,14.908687989092458,38.658,7.021,30.21834000000003,0.9496709184469193
a2c,random,101,10010,1000,31.1,5.0,57.9,0.0,26.768488745980708,16.83768154963172,42.775,5.62,14.41798000000001,1.2517142083936634
a2c,random,101,15039,1000,42.699999999999996,7.6,45.4,0.0,25.72365339578454,14.049158421381227,39.634,7.485,16.486610000000013,0.86970645692006
a2c,random,101,20022,1000,60.699999999999996,29.7,25.7,0.0,16.075782537067546,11.562180439133757,29.408,9.814,29.896759999999986,0.8523780837364958
a2c,random,101,25028,1000,58.199999999999996,12.2,28.799999999999997,0.0,23.769759450171822,13.082365037907536,34.734,6.573,18.502820000000007,0.6112998525403804
a2c,imitation,202,0,1000,88.2,36.0,6.0,0.0,7.524943310657596,4.090901180821105,12.537,7.138,19.569840000000003,0.1266205468694867
a2c,imitation,202,5035,1000,87.3,35.699999999999996,7.3999999999999995,0.0,7.550973654066437,4.100512061388126,12.942,6.991,19.241300000000003,0.1536830779016185
a2c,imitation,202,10000,1000,87.8,38.1,6.2,0.0,8.340546697038725,6.50735716756463,13.423,6.681,18.903880000000004,0.13492140628920896
a2c,imitation,202,15029,1000,88.1,33.5,6.800000000000001,0.0,8.539160045402951,6.6617035579252954,13.473,6.787,18.87892,0.13527873784292752
a2c,imitation,202,20002,1000,86.8,34.8,7.3999999999999995,0.0,8.316820276497696,6.443067537241986,13.819,6.698,18.645200000000003,0.15779129934515848
a2c,imitation,202,25004,1000,88.0,34.8,7.6,0.0,7.629545454545455,4.443454853286897,12.714,6.623,19.520889999999998,0.1452272305958702
a2c,random,202,0,1000,31.900000000000002,10.7,53.6,0.0,9.818181818181818,10.432992923313394,37.182,16.86,45.22631,2.488877512675108
a2c,random,202,5039,1000,33.5,11.0,46.5,0.0,9.017910447761194,9.519267026535989,36.271,29.477,77.61994,1.2144231261029181
a2c,random,202,10026,1000,36.3,15.9,45.800000000000004,0.0,9.134986225895316,9.277547553356012,35.166,29.472,79.67731,1.0106629250867605
a2c,random,202,15010,1000,72.3,26.200000000000003,24.9,0.0,18.19640387275242,13.383337650307775,27.006,19.91,58.58484,0.7410801334750973
a2c,random,202,20005,1000,49.3,21.3,39.1,0.0,19.419878296146045,13.565415524750497,34.924,9.87,20.260959999999983,0.9029808965810251
a2c,random,202,25022,1000,49.4,21.3,39.0,0.0,19.473684210526315,13.604315469026915,34.92,9.875,20.253599999999988,0.9020630165997243
a2c,imitation,303,0,1000,88.3,36.5,5.7,0.0,7.696489241223103,4.131162903466144,12.646,7.241,19.867300000000004,0.11972690215378415
a2c,imitation,303,5000,1000,88.1,38.2,6.5,0.0,7.7003405221339385,4.340989871645761,12.734,7.075,19.775990000000004,0.12909013327717386
a2c,imitation,303,10030,1000,86.8,33.1,7.199999999999999,0.0,7.498847926267281,4.377382211601269,13.109,7.157,19.22786,0.16027829442090938
