algorithm,initialization,seed,start_success_rate_percent,final_success_rate_percent,change_success_percentage_points,start_strict_success_rate_percent,final_strict_success_rate_percent,start_severe_failure_rate_percent,final_severe_failure_rate_percent,final_environment_steps
a2c,imitation,101,88.0,86.4,-1.5999999999999943,35.099999999999994,31.3,6.5,8.1,25041
a2c,imitation,202,88.2,88.0,-0.20000000000000284,36.0,34.8,6.0,7.6,25004
a2c,imitation,303,88.3,85.3,-3.0,36.5,33.300000000000004,5.7,8.4,25006
a2c,imitation,404,88.4,88.1,-0.30000000000001137,37.3,36.5,6.0,6.1,25018
a2c,imitation,555,88.1,80.80000000000001,-7.299999999999983,34.699999999999996,29.799999999999997,7.000000000000001,14.099999999999998,25016
a2c,random,101,19.900000000000002,58.199999999999996,38.3,2.3,12.2,75.8,28.799999999999997,25028
a2c,random,202,31.900000000000002,49.4,17.499999999999996,10.7,21.3,53.6,39.0,25022
a2c,random,303,53.6,49.6,-4.0,20.5,24.3,39.1,37.1,25045
a2c,random,404,24.099999999999998,62.2,38.10000000000001,6.5,30.7,63.2,28.999999999999996,25016
a2c,random,555,27.400000000000002,45.6,18.2,8.4,20.7,63.5,39.7,25009
ppo,imitation,101,88.0,87.7,-0.29999999999999716,35.099999999999994,33.2,6.5,6.2,25041
ppo,imitation,202,88.2,88.2,0.0,36.0,33.900000000000006,6.0,5.8999999999999995,25028
ppo,imitation,303,88.3,88.7,0.4000000000000057,36.5,38.7,5.7,6.5,25010
ppo,imitation,404,88.4,88.4,0.0,37.3,37.6,6.0,6.1,25000
ppo,imitation,555,88.1,87.6,-0.5,34.699999999999996,34.0,7.000000000000001,7.3,25006
ppo,random,101,19.900000000000002,21.8,1.8999999999999986,2.3,3.0,75.8,72.6,25032
ppo,random,202,31.900000000000002,52.7,20.8,10.7,22.0,53.6,24.8,25007
ppo,random,303,53.6,37.5,-16.1,20.5,14.6,39.1,44.0,25005
ppo,random,404,24.099999999999998,56.00000000000001,31.90000000000001,6.5,27.400000000000002,63.2,33.0,25015
ppo,random,555,27.400000000000002,47.0,19.599999999999998,8.4,18.4,63.5,47.5,25009
reinforce,imitation,101,88.0,69.1,-18.900000000000006,35.099999999999994,23.200000000000003,6.5,29.099999999999998,25033
reinforce,imitation,202,88.2,74.6,-13.600000000000009,36.0,26.1,6.0,19.8,25006
reinforce,imitation,303,88.3,75.6,-12.700000000000003,36.5,28.999999999999996,5.7,19.400000000000002,25041
reinforce,imitation,404,88.4,56.99999999999999,-31.400000000000013,37.3,22.2,6.0,36.9,25015
reinforce,imitation,555,88.1,85.6,-2.5,34.699999999999996,33.2,7.000000000000001,8.4,25005
reinforce,random,101,19.900000000000002,18.0,-1.9000000000000021,2.3,4.7,75.8,70.89999999999999,25032
reinforce,random,202,31.900000000000002,49.3,17.399999999999995,10.7,23.599999999999998,53.6,38.0,25004
reinforce,random,303,53.6,48.699999999999996,-4.900000000000006,20.5,23.7,39.1,39.4,25011
reinforce,random,404,24.099999999999998,51.0,26.900000000000002,6.5,24.4,63.2,36.5,25046
reinforce,random,555,27.400000000000002,35.8,8.399999999999995,8.4,9.2,63.5,56.89999999999999,25023
