algorithm,initialization,seed,tasks,success_rate_percent,strict_success_rate_percent,severe_failure_rate_percent,false_stop_rate_percent,successful_steps_mean,successful_steps_sd_task,steps_mean,overshoots_mean,total_volume_mean_ml,final_abs_error_mean
a2c,imitation,101,1000,86.4,31.3,8.1,0.0,7.695601851851852,4.093482269182048,13.449,6.469,20.116970000000002,0.17590772166533136
a2c,imitation,202,1000,88.0,34.8,7.6,0.0,7.629545454545455,4.443454853286897,12.714,6.623,19.520889999999998,0.1452272305958702
a2c,imitation,303,1000,85.3,33.300000000000004,8.4,0.0,7.473622508792497,3.9853983057475197,13.725,6.654,18.67751,0.21910319243476262
a2c,imitation,404,1000,88.1,36.5,6.1,0.0,7.525539160045403,4.016963372671601,12.58,6.682,20.140370000000004,0.13235414144163354
a2c,imitation,555,1000,80.80000000000001,29.799999999999997,14.099999999999998,0.0,9.258663366336634,9.057638602107541,17.081,5.995,17.34835,0.3292948145263357
a2c,random,101,1000,58.199999999999996,12.2,28.799999999999997,0.0,23.769759450171822,13.082365037907536,34.734,6.573,18.502820000000007,0.6112998525403804
a2c,random,202,1000,49.4,21.3,39.0,0.0,19.473684210526315,13.604315469026915,34.92,9.875,20.253599999999988,0.9020630165997243
a2c,random,303,1000,49.6,24.3,37.1,0.0,18.368951612903224,13.607594571039186,34.311,13.083,24.363560000000014,0.8456672026714835
a2c,random,404,1000,62.2,30.7,28.999999999999996,0.0,14.310289389067524,11.940614877468787,27.801,15.463,39.528430000000014,0.8363952463695397
a2c,random,555,1000,45.6,20.7,39.7,0.0,13.25219298245614,10.066809550245683,33.243,20.099,37.56459,1.0634164152874583
ppo,imitation,101,1000,87.7,33.2,6.2,0.0,7.763968072976055,4.112035652138603,12.959,7.095,20.360410000000005,0.12797935336032298
ppo,imitation,202,1000,88.2,33.900000000000006,5.8999999999999995,0.0,7.569160997732427,4.0589136476429175,12.576,7.014,19.589470000000002,0.126335346962342
ppo,imitation,303,1000,88.7,38.7,6.5,0.0,7.633596392333709,4.11103217989051,12.421,7.117,19.80371,0.12733279564264813
ppo,imitation,404,1000,88.4,37.6,6.1,0.0,7.48868778280543,3.8866858832375635,12.42,6.921,19.702480000000005,0.12240288057376063
ppo,imitation,555,1000,87.6,34.0,7.3,0.0,7.488584474885845,3.8988475725525227,12.76,7.067,19.439300000000003,0.14003260257238564
ppo,random,101,1000,21.8,3.0,72.6,0.0,22.027522935779817,16.86758334882106,43.902,2.799,11.032560000000004,2.0997926297548086
ppo,random,202,1000,52.7,22.0,24.8,0.0,11.290322580645162,10.348727502565707,29.6,19.908,43.23906999999999,0.5248056063810563
ppo,random,303,1000,37.5,14.6,44.0,0.0,8.221333333333334,9.879572904954633,34.333,25.341,91.34090000000002,1.0007239810475363
ppo,random,404,1000,56.00000000000001,27.400000000000002,33.0,0.0,20.442857142857143,13.297623190623419,33.448,8.806,24.594109999999993,0.8504007623635776
ppo,random,555,1000,47.0,18.4,47.5,0.0,19.238297872340425,14.999027021627699,35.542,3.891,20.52471000000001,1.2598757215244238
reinforce,imitation,101,1000,69.1,23.200000000000003,29.099999999999998,0.0,6.626628075253256,3.4631957352425147,20.029,3.377,14.622280000000002,1.2944468343153532
reinforce,imitation,202,1000,74.6,26.1,19.8,0.0,8.971849865951743,9.669464068155431,19.393,5.452,16.216730000000002,0.4559827141274829
reinforce,imitation,303,1000,75.6,28.999999999999996,19.400000000000002,0.0,8.953703703703704,9.379516898955277,18.969,4.802,16.399660000000004,0.4972599241244879
reinforce,imitation,404,1000,56.99999999999999,22.2,36.9,0.0,10.97719298245614,13.563150708193389,27.757,2.511,13.551769999999998,0.9116222626523227
reinforce,imitation,555,1000,85.6,33.2,8.4,0.0,7.905373831775701,5.873454534103411,13.967,6.586,19.48565,0.15644944168663208
reinforce,random,101,1000,18.0,4.7,70.89999999999999,0.0,13.4,14.49314999053155,43.412,16.022,164.51066,2.00771130790915
reinforce,random,202,1000,49.3,23.599999999999998,38.0,0.0,14.9026369168357,10.879357511443638,32.697,17.229,31.389120000000016,0.9791489594108019
reinforce,random,303,1000,48.699999999999996,23.7,39.4,0.0,16.94866529774127,12.65217792475255,33.904,14.112,25.767040000000012,1.0186297036861585
reinforce,random,404,1000,51.0,24.4,36.5,0.0,17.658823529411766,12.35927745789268,33.506,13.72,28.208280000000002,0.8622562789844267
reinforce,random,555,1000,35.8,9.2,56.89999999999999,0.0,24.793296089385475,15.877040124373467,40.976,2.743,11.473279999999995,1.837276425378927
