seed,task_id,acid_type,pka_values,initial_ph,target_ph,initial_volume_ml,analyte_conc_m
100202,1,diprotic,"[2.518778211812022, 6.200778994604941]",1.8,4.2,11.0,0.1
100202,2,triprotic,"[2.712548197754826, 5.555445352233875, 7.11396766865005]",1.89,4.48,11.0,0.1
100202,3,diprotic,"[2.3064259065897783, 6.878687625429096]",1.7,4.84,11.0,0.1
100202,4,diprotic,"[2.8479746901462017, 4.46550175943805]",1.95,6.04,11.0,0.1
100202,5,triprotic,"[3.751322588512193, 4.607477337447595, 7.240905700181093]",2.38,6.3,11.0,0.1
100202,6,monoprotic,[3.057010708278522],2.05,3.66,11.0,0.1
100202,7,triprotic,"[2.4130843697853335, 5.707013197059174, 6.166064186786806]",1.75,2.12,11.0,0.1
100202,8,triprotic,"[2.9132470228253293, 5.696569383283961, 6.6422726333815625]",1.98,7.8,11.0,0.1
100202,9,diprotic,"[2.8090902113533374, 6.658568191769536]",1.93,8.07,11.0,0.1
100202,10,triprotic,"[3.9063139428922016, 4.223312929738101, 6.393082313908664]",2.45,5.44,11.0,0.1
100202,11,diprotic,"[3.02206011861554, 5.4971097237381645]",2.03,10.54,11.0,0.1
100202,12,triprotic,"[2.2871066158618927, 5.98675287516019, 7.32025647322697]",1.69,3.12,11.0,0.1
100202,13,monoprotic,[3.6853551774405244],2.35,9.84,11.0,0.1
100202,14,monoprotic,[5.101682250729293],3.05,9.14,11.0,0.1
100202,15,diprotic,"[3.673777394793519, 4.364411166460573]",2.34,7.09,11.0,0.1
100202,16,monoprotic,[3.769666818418638],2.39,4.25,11.0,0.1
100202,17,triprotic,"[3.343863751386179, 4.510965353551775, 6.153561119372074]",2.18,9.21,11.0,0.1
100202,18,monoprotic,[4.77394297713479],2.89,3.4,11.0,0.1
100202,19,monoprotic,[5.931411476785849],3.47,3.13,11.0,0.1
100202,20,triprotic,"[2.499506967271663, 5.627252667244108, 6.966915045693382]",1.79,9.71,11.0,0.1
100202,21,monoprotic,[4.188529369145063],2.6,9.31,11.0,0.1
100202,22,triprotic,"[2.7018289253703704, 4.690210000273716, 6.36679968810348]",1.88,9.84,11.0,0.1
100202,23,monoprotic,[3.9424680756732835],2.48,9.52,11.0,0.1
100202,24,triprotic,"[2.698226239672868, 4.459049081406445, 6.294916520435574]",1.88,7.49,11.0,0.1
100202,25,diprotic,"[3.9018285938531427, 5.232341750226471]",2.46,2.42,11.0,0.1
100202,26,monoprotic,[5.730171359972022],3.37,5.45,11.0,0.1
100202,27,triprotic,"[2.260798068408034, 5.005744340087407, 6.81008956848786]",1.68,7.13,11.0,0.1
100202,28,monoprotic,[4.329819726445589],2.67,4.58,11.0,0.1
100202,29,diprotic,"[2.5416528108046728, 4.4865023559236334]",1.81,10.11,11.0,0.1
100202,30,triprotic,"[3.100381467836345, 4.092183086451762, 6.678273814144947]",2.07,10.45,11.0,0.1
100202,31,monoprotic,[2.2571387689100613],1.68,8.03,11.0,0.1
100202,32,triprotic,"[2.4431791440643806, 5.7127466185111055, 7.670602432615532]",1.76,5.77,11.0,0.1
100202,33,triprotic,"[2.9291674278833586, 5.681334043575256, 6.083465379881613]",1.99,5.05,11.0,0.1
100202,34,monoprotic,[5.907608361790287],3.45,9.07,11.0,0.1
100202,35,monoprotic,[3.3482616143001915],2.19,5.32,11.0,0.1
100202,36,triprotic,"[3.5121040404131096, 5.767754014745182, 7.292387137976881]",2.27,9.98,11.0,0.1
100202,37,triprotic,"[2.501221799315025, 4.938229093842431, 6.390729640993036]",1.79,7.97,11.0,0.1
100202,38,triprotic,"[3.2439960518233053, 5.86036215564922, 7.787361850897883]",2.14,3.42,11.0,0.1
100202,39,triprotic,"[3.5588188806096994, 5.588909166789914, 6.924090752783086]",2.29,10.32,11.0,0.1
100202,40,monoprotic,[5.0704657806580915],3.04,9.9,11.0,0.1
100202,41,triprotic,"[3.0591292553384477, 4.482570499161666, 6.734907996571746]",2.05,2.68,11.0,0.1
100202,42,triprotic,"[3.918253066327983, 4.057027349926659, 7.105190420607035]",2.46,3.2,11.0,0.1
100202,43,diprotic,"[2.6547365599265937, 5.973963852059759]",1.86,8.41,11.0,0.1
100202,44,diprotic,"[3.9800219771605745, 4.050786023294634]",2.49,3.34,11.0,0.1
100202,45,monoprotic,[3.123906948914903],2.08,4.9,11.0,0.1
100202,46,triprotic,"[2.0023761019061888, 5.077008743212367, 6.76165583165012]",1.57,6.57,11.0,0.1
100202,47,diprotic,"[3.5988688051869038, 6.51970705999471]",2.31,2.58,11.0,0.1
100202,48,monoprotic,[2.301182650941063],1.7,9.23,11.0,0.1
100202,49,triprotic,"[2.4192816949893565, 5.562208804886964, 6.556320378892791]",1.75,7.58,11.0,0.1
100202,50,triprotic,"[2.142916074246092, 5.080676550672344, 6.545070273607896]",1.63,5.37,11.0,0.1
100202,51,monoprotic,[4.4374872648417],2.72,5.42,11.0,0.1
100202,52,diprotic,"[3.3738313387081487, 6.124340633800445]",2.2,8.8,11.0,0.1
100202,53,diprotic,"[2.098091261360591, 5.956264349506862]",1.61,9.46,11.0,0.1
100202,54,diprotic,"[3.600659371618129, 5.062110469436141]",2.31,7.6,11.0,0.1
100202,55,monoprotic,[3.82888988543074],2.42,4.81,11.0,0.1
