algorithm,initialization,seed,environment_steps,tasks,success_rate_percent,strict_success_rate_percent,severe_failure_rate_percent,false_stop_rate_percent,successful_steps_mean,successful_steps_sd_task,steps_mean,overshoots_mean,total_volume_mean_ml,final_abs_error_mean
ppo,imitation,101,0,10,90.0,50.0,0.0,0.0,10.88888888888889,4.196559437338057,14.8,8.1,29.857000000000006,0.07875281668343828
ppo,imitation,101,30,10,90.0,50.0,0.0,0.0,10.88888888888889,4.196559437338057,14.8,8.1,29.857000000000006,0.07875281668343828
ppo,imitation,101,52,10,90.0,40.0,10.0,0.0,10.222222222222221,3.9616214413349042,14.2,7.6,29.758,0.17789611660782273
ppo,random,101,0,10,10.0,0.0,90.0,0.0,2.0,0.0,45.2,0.0,7.683999999999999,4.737823837566422
ppo,random,101,69,10,10.0,0.0,90.0,0.0,2.0,0.0,45.2,0.0,7.683999999999999,4.737823837566422
a2c,imitation,101,0,10,90.0,50.0,0.0,0.0,10.88888888888889,4.196559437338057,14.8,8.1,29.857000000000006,0.07875281668343828
a2c,imitation,101,34,10,90.0,30.0,0.0,0.0,11.0,4.387482193696061,14.9,7.9,29.820000000000004,0.0956102352180169
a2c,imitation,101,57,10,90.0,30.0,10.0,0.0,11.11111111111111,4.48454134902457,15.0,8.1,29.959000000000003,0.18973615192627785
a2c,random,101,0,10,10.0,0.0,90.0,0.0,2.0,0.0,45.2,0.0,7.683999999999999,4.737823837566422
a2c,random,101,72,10,10.0,0.0,90.0,0.0,2.0,0.0,45.2,0.0,7.683999999999999,4.737823837566422
reinforce,imitation,101,0,10,90.0,50.0,0.0,0.0,10.88888888888889,4.196559437338057,14.8,8.1,29.857000000000006,0.07875281668343828
reinforce,imitation,101,30,10,90.0,70.0,0.0,0.0,10.11111111111111,3.8550111687401256,14.1,7.9,29.889000000000003,0.06873658834252279
reinforce,imitation,101,54,10,90.0,70.0,10.0,0.0,10.0,3.774917217635375,14.0,7.5,29.808000000000003,0.16207765157747805
reinforce,random,101,0,10,10.0,0.0,90.0,0.0,2.0,0.0,45.2,0.0,7.683999999999999,4.737823837566422
reinforce,random,101,72,10,10.0,0.0,90.0,0.0,2.0,0.0,45.2,0.0,7.683999999999999,4.737823837566422
