seed,task_id,acid_type,pka_values,initial_ph,target_ph,initial_volume_ml,analyte_conc_m
100101,1,monoprotic,[5.382741704423189],3.19,5.75,11.0,0.1
100101,2,triprotic,"[2.7961042216632674, 4.193608823937821, 7.427401561094634]",1.92,5.77,11.0,0.1
100101,3,diprotic,"[3.7832189290166163, 6.0571006291273]",2.4,10.57,11.0,0.1
100101,4,triprotic,"[3.9249763836307725, 5.9222991993207525, 6.080535408727755]",2.47,10.22,11.0,0.1
100101,5,monoprotic,[4.928093339687066],2.97,5.47,11.0,0.1
100101,6,triprotic,"[3.427576200560675, 4.216337142345367, 6.9529343400351875]",2.22,3.57,11.0,0.1
100101,7,triprotic,"[3.0324752322397206, 4.018737955212431, 7.815587669680515]",2.03,9.9,11.0,0.1
100101,8,diprotic,"[3.220971082840026, 5.988126163674851]",2.13,4.79,11.0,0.1
100101,9,monoprotic,[4.456747069255638],2.73,4.75,11.0,0.1
100101,10,triprotic,"[3.2498328976223525, 4.911004733065783, 6.0534788082806035]",2.14,9.17,11.0,0.1
100101,11,monoprotic,[5.752949616459148],3.38,7.53,11.0,0.1
100101,12,monoprotic,[4.512543283177226],2.76,7.37,11.0,0.1
100101,13,triprotic,"[2.982565791600879, 4.580319982018094, 6.431401476127709]",2.01,6.22,11.0,0.1
100101,14,monoprotic,[4.578638859775623],2.79,3.94,11.0,0.1
100101,15,triprotic,"[2.877676298943855, 5.7712266775335355, 7.5461076419339586]",1.96,7.09,11.0,0.1
100101,16,diprotic,"[3.061574375939438, 5.4715138362682]",2.05,2.64,11.0,0.1
100101,17,triprotic,"[3.2147696624901227, 5.826390084605226, 7.035755876393746]",2.12,3.7,11.0,0.1
100101,18,diprotic,"[3.390758981673658, 5.435470768486976]",2.21,9.51,11.0,0.1
100101,19,monoprotic,[5.263894855655054],3.13,6.19,11.0,0.1
100101,20,triprotic,"[3.4731355641859434, 4.817942998217948, 6.342218088857711]",2.25,5.75,11.0,0.1
