suite,evaluation_seed,method,training_seed,tasks,success_rate_percent,strict_success_rate_percent,severe_failure_rate_percent,false_stop_rate_percent,successful_steps_mean,steps_mean,overshoots_mean,overshoot_task_rate_percent,overshoot_recovery_rate_percent,recovery_steps_mean,total_volume_mean_ml,final_abs_error_mean
nominal,701,imitation,0,500,88.4,30.599999999999998,4.3999999999999995,2.1999999999999997,8.276018099547512,12.192,3.888,54.2,87.82287822878229,4.004201680672269,8.141680000000001,0.13179782598510315
nominal,701,ppo,101,500,88.2,39.800000000000004,5.0,1.6,6.732426303854876,11.006,4.436,59.2,85.8108108108108,3.6496062992125986,8.416900000000002,0.15677441154705218
nominal,701,ppo,202,500,88.2,37.6,5.4,2.1999999999999997,5.99546485260771,10.164,3.66,64.0,88.4375,3.1519434628975267,8.16204,0.15559350577920097
nominal,701,ppo,303,500,91.60000000000001,42.199999999999996,3.5999999999999996,1.6,5.41703056768559,8.338,3.918,66.6,89.1891891891892,3.4713804713804715,8.591679999999998,0.12571438438927013
nominal,701,ppo,404,500,86.4,37.2,5.800000000000001,3.0,6.111111111111111,10.554,4.804,60.6,83.82838283828383,3.4448818897637796,8.76098,0.16197895368064366
nominal,701,ppo,555,500,89.0,30.599999999999998,4.6,2.6,8.085393258426967,11.73,3.828,51.4,87.54863813229572,3.951111111111111,7.8679,0.14161362156893645
actuator_log_sd_0p10,701,imitation,0,500,93.0,34.599999999999994,2.8000000000000003,1.4000000000000001,8.941935483870967,11.202,2.778,54.0,95.92592592592592,5.54054054054054,8.126740669080768,0.1057130652089314
actuator_log_sd_0p10,701,ppo,101,500,93.0,39.4,3.2,1.7999999999999998,7.159139784946237,9.098,2.55,58.4,95.20547945205479,4.658273381294964,8.382925124088434,0.1219179953845765
actuator_log_sd_0p10,701,ppo,202,500,91.60000000000001,42.8,3.8,2.0,6.8034934497816595,9.516,2.946,65.2,95.0920245398773,4.558064516129032,8.19390412214878,0.12885062357091606
actuator_log_sd_0p10,701,ppo,303,500,94.19999999999999,42.199999999999996,3.5999999999999996,1.6,6.053078556263269,7.536,2.952,68.2,93.54838709677419,4.282131661442007,8.818366529219318,0.12421417476002088
actuator_log_sd_0p10,701,ppo,404,500,92.80000000000001,43.4,3.2,2.1999999999999997,7.058189655172414,8.958,3.326,60.0,93.33333333333333,5.203571428571428,8.684296568004747,0.1070668189093665
actuator_log_sd_0p10,701,ppo,555,500,93.0,34.4,3.0,2.8000000000000003,8.933333333333334,10.684,2.75,52.8,96.96969696969697,5.859375,8.110872230633325,0.10944821316692578
titrant_scale_0p90,701,imitation,0,500,89.4,32.800000000000004,2.8000000000000003,2.4,8.380313199105146,11.924,3.1,51.6,91.47286821705427,3.961864406779661,8.10408,0.10510995749594192
titrant_scale_0p90,701,ppo,101,500,88.4,36.6,4.0,2.4,7.269230769230769,11.228,4.2,55.8,87.09677419354838,4.08641975308642,8.719100000000001,0.13124305537603595
titrant_scale_0p90,701,ppo,202,500,88.4,40.2,4.8,2.8000000000000003,6.48868778280543,10.372,3.312,59.4,90.9090909090909,4.0777777777777775,8.64968,0.14704746798614893
titrant_scale_0p90,701,ppo,303,500,93.60000000000001,42.4,3.2,2.1999999999999997,5.735042735042735,7.456,2.868,64.2,92.5233644859813,3.7643097643097643,8.86614,0.12060772689417978
titrant_scale_0p90,701,ppo,404,500,89.2,40.400000000000006,4.6,2.6,6.5,9.784,3.678,57.2,88.81118881118881,3.5393700787401574,8.75204,0.13791498700783186
titrant_scale_0p90,701,ppo,555,500,90.4,31.0,3.5999999999999996,2.0,8.584070796460177,11.852,3.436,49.8,91.16465863453816,4.242290748898679,8.193,0.1060504129307172
titrant_scale_1p10,701,imitation,0,500,87.8,36.8,4.0,1.6,7.840546697038724,12.338,4.412,55.0,86.54545454545455,3.9747899159663866,7.7085799999999995,0.1265079803286297
titrant_scale_1p10,701,ppo,101,500,87.6,37.8,4.6,1.6,6.623287671232877,11.106,4.89,61.0,84.59016393442623,4.124031007751938,8.424280000000001,0.13001497487201952
titrant_scale_1p10,701,ppo,202,500,89.4,42.0,6.2,0.8,5.94407158836689,10.014,3.546,66.6,90.69069069069069,3.596026490066225,8.21326,0.1665680309862459
titrant_scale_1p10,701,ppo,303,500,93.0,46.800000000000004,3.0,0.6,5.709677419354839,8.47,4.13,71.4,91.31652661064426,4.03680981595092,8.396,0.12395587084783133
titrant_scale_1p10,701,ppo,404,500,89.8,38.4,6.2,1.0,6.153674832962138,10.146,4.838,61.8,86.73139158576052,3.705223880597015,8.629940000000001,0.14064607713313296
titrant_scale_1p10,701,ppo,555,500,89.0,36.199999999999996,5.0,1.4000000000000001,7.604494382022472,11.872,4.616,55.0,86.54545454545455,3.7899159663865545,7.7983199999999995,0.12410347931201181
sensor_noise_sd_0p05,701,imitation,0,500,63.0,33.800000000000004,4.0,30.599999999999998,6.292063492063492,10.722,3.2,54.6,77.65567765567765,3.8254716981132075,7.95284,0.13317660113302066
sensor_noise_sd_0p05,701,ppo,101,500,66.8,36.6,3.8,27.0,5.491017964071856,9.006,3.114,59.0,74.91525423728814,3.841628959276018,8.02928,0.14325257667666585
sensor_noise_sd_0p05,701,ppo,202,500,70.0,38.0,5.0,23.599999999999998,5.454285714285715,9.366,3.122,64.8,77.1604938271605,3.496,8.27816,0.15119701396010865
sensor_noise_sd_0p05,701,ppo,303,500,78.4,44.6,3.2,17.4,5.084183673469388,7.45,3.1,68.4,81.57894736842105,3.3225806451612905,8.456779999999998,0.12566691040293337
sensor_noise_sd_0p05,701,ppo,404,500,69.6,38.800000000000004,4.6,24.4,5.580459770114943,9.012,3.892,63.0,76.19047619047619,3.9291666666666667,8.567639999999999,0.15566098500179135
sensor_noise_sd_0p05,701,ppo,555,500,64.0,32.0,4.6,29.799999999999997,6.190625,10.546,3.266,50.6,77.86561264822134,4.055837563451776,7.76834,0.14684146383194485
response_fraction_0p70,701,imitation,0,500,63.4,25.6,11.0,30.8,11.59621451104101,12.232,2.26,68.0,51.470588235294116,6.8342857142857145,8.85446,0.22113659457861137
response_fraction_0p70,701,ppo,101,500,56.2,30.0,13.600000000000001,38.800000000000004,9.473309608540925,10.438,2.348,73.8,44.173441734417345,5.466257668711656,9.25038,0.2408613979817227
response_fraction_0p70,701,ppo,202,500,55.00000000000001,30.599999999999998,12.4,38.800000000000004,7.818181818181818,9.828,2.234,78.8,47.71573604060914,4.648936170212766,9.091580000000002,0.25634395978123686
response_fraction_0p70,701,ppo,303,500,49.8,25.6,15.2,44.6,7.329317269076305,8.85,2.952,84.6,41.371158392434985,4.291428571428572,10.56734,0.31989390132645384
response_fraction_0p70,701,ppo,404,500,58.599999999999994,30.599999999999998,12.0,35.199999999999996,8.853242320819113,10.518,2.808,75.6,48.41269841269841,5.808743169398907,10.63734,0.2590563443351614
response_fraction_0p70,701,ppo,555,500,61.8,26.8,12.6,32.2,11.025889967637541,11.832,2.454,66.4,46.68674698795181,6.316129032258065,8.9425,0.23527069947040483
combined_unseen,701,imitation,0,500,46.400000000000006,23.599999999999998,10.4,50.2,9.288793103448276,11.33,1.87,64.2,45.794392523364486,5.884353741496598,8.833540261112153,0.20802397759638552
combined_unseen,701,ppo,101,500,46.6,24.0,12.4,50.0,8.304721030042918,9.892,2.204,74.4,44.623655913978496,5.554216867469879,9.513826770337285,0.2502285322051222
combined_unseen,701,ppo,202,500,48.8,28.000000000000004,12.0,47.0,7.233606557377049,9.322,2.02,75.4,44.56233421750663,4.238095238095238,9.344301594903207,0.2559614615907898
combined_unseen,701,ppo,303,500,46.6,26.200000000000003,16.8,49.8,6.905579399141631,8.572,2.642,82.8,40.57971014492754,4.261904761904762,10.769960122232435,0.31124723024046663
combined_unseen,701,ppo,404,500,46.800000000000004,27.400000000000002,12.6,50.0,7.572649572649572,9.132,2.328,74.6,43.43163538873995,4.8580246913580245,10.53075469467317,0.2692043654364794
combined_unseen,701,ppo,555,500,49.2,24.2,10.4,47.599999999999994,9.398373983739837,10.918,1.934,63.4,46.37223974763407,5.8231292517006805,8.993752232576258,0.22100345182715722
nominal,702,imitation,0,500,86.6,37.0,3.8,2.8000000000000003,8.043879907621248,12.882,3.964,52.6,88.212927756654,4.168103448275862,8.204559999999997,0.11318949350991105
nominal,702,ppo,101,500,88.4,37.0,4.0,1.7999999999999998,7.119909502262443,11.32,3.954,53.4,88.38951310861424,4.2076271186440675,8.898,0.11394935875644593
nominal,702,ppo,202,500,88.8,39.800000000000004,5.4,1.4000000000000001,6.191441441441442,10.438,3.078,59.2,89.86486486486487,3.5714285714285716,8.350760000000001,0.1724613085719052
nominal,702,ppo,303,500,91.0,39.6,4.0,1.7999999999999998,5.8307692307692305,8.99,3.598,62.2,90.9967845659164,4.134275618374558,8.985859999999999,0.1231197393341561
nominal,702,ppo,404,500,88.6,35.0,4.8,2.1999999999999997,6.478555304740406,10.572,4.578,56.6,85.51236749116607,3.3595041322314048,8.526119999999999,0.14771453556433012
nominal,702,ppo,555,500,88.0,34.599999999999994,4.2,2.4,8.756818181818181,12.802,3.874,48.0,86.66666666666667,4.831730769230769,8.42798,0.1293756977790266
actuator_log_sd_0p10,702,imitation,0,500,89.0,36.8,3.0,3.0,8.301123595505619,11.886,2.922,53.6,94.02985074626865,4.892857142857143,8.299357570093836,0.11568995700053263
actuator_log_sd_0p10,702,ppo,101,500,91.8,37.0,3.2,1.6,7.529411764705882,10.328,2.924,54.6,94.50549450549451,5.182170542635659,8.680335971624208,0.11799285340141924
actuator_log_sd_0p10,702,ppo,202,500,89.8,37.0,3.8,3.4000000000000004,6.806236080178174,9.818,2.73,59.4,93.6026936026936,4.58273381294964,8.341641765014119,0.1451027514757376
actuator_log_sd_0p10,702,ppo,303,500,94.0,43.2,2.1999999999999997,2.0,6.05531914893617,8.02,2.756,62.4,94.87179487179488,4.4324324324324325,8.798484838080931,0.09521380016117567
actuator_log_sd_0p10,702,ppo,404,500,93.0,39.0,3.2,2.0,7.380645161290323,9.346,3.332,58.4,94.17808219178082,5.167272727272727,8.69430221772347,0.11097676550230656
actuator_log_sd_0p10,702,ppo,555,500,89.2,32.2,2.6,4.0,8.883408071748878,12.018,3.158,50.8,93.30708661417323,5.4978902953586495,8.367794437482388,0.10345126974908492
titrant_scale_0p90,702,imitation,0,500,86.4,33.0,4.2,3.0,8.287037037037036,13.114,3.432,49.6,89.11290322580645,4.108597285067873,8.687220000000002,0.12703902865297842
titrant_scale_0p90,702,ppo,101,500,88.2,37.2,4.0,1.6,6.959183673469388,11.484,3.532,49.4,87.85425101214575,4.0368663594470044,9.018120000000001,0.1402208375189696
titrant_scale_0p90,702,ppo,202,500,89.0,41.0,5.2,1.4000000000000001,6.638202247191011,10.74,3.016,54.8,90.14598540145985,3.8704453441295548,8.676879999999999,0.16006101899719022
titrant_scale_0p90,702,ppo,303,500,91.4,37.8,4.0,2.4,5.9540481400437635,8.744,3.016,58.6,91.12627986348123,3.9962546816479403,9.04624,0.14803479603699055
titrant_scale_0p90,702,ppo,404,500,88.0,38.6,5.0,2.1999999999999997,6.943181818181818,11.236,4.654,55.2,86.23188405797102,3.563025210084034,9.03318,0.14201823365659152
titrant_scale_0p90,702,ppo,555,500,87.0,31.8,4.0,2.8000000000000003,8.480459770114942,13.076,3.59,48.2,88.38174273858921,3.995305164319249,8.73876,0.14315591289180582
titrant_scale_1p10,702,imitation,0,500,87.0,39.0,3.8,3.4000000000000004,7.786206896551724,12.298,3.778,55.6,89.92805755395683,4.336,8.1463,0.12274224221955018
titrant_scale_1p10,702,ppo,101,500,89.4,39.0,4.2,1.7999999999999998,6.953020134228188,10.936,4.072,58.0,89.65517241379311,4.276923076923077,8.508799999999999,0.1295244645184569
titrant_scale_1p10,702,ppo,202,500,87.2,41.6,5.4,3.0,5.931192660550459,10.326,3.486,64.0,89.6875,3.442508710801394,8.2236,0.16302411822096396
titrant_scale_1p10,702,ppo,303,500,91.8,40.8,4.0,2.4,5.721132897603486,8.414,3.39,66.8,91.61676646706587,3.84640522875817,8.51582,0.12621519217511065
titrant_scale_1p10,702,ppo,404,500,87.0,38.6,5.0,2.4,6.314942528735632,10.724,5.068,59.4,83.16498316498317,3.4898785425101213,8.57202,0.16170093323142384
titrant_scale_1p10,702,ppo,555,500,88.8,30.2,4.3999999999999995,1.7999999999999998,8.34009009009009,12.4,4.046,54.0,88.88888888888889,4.104166666666667,8.11906,0.1570934183485249
sensor_noise_sd_0p05,702,imitation,0,500,62.6,35.4,3.4000000000000004,29.799999999999997,6.185303514376997,11.516,3.486,54.8,77.37226277372262,3.547169811320755,7.975099999999999,0.12224941548633325
sensor_noise_sd_0p05,702,ppo,101,500,68.8,38.6,3.5999999999999996,26.0,6.034883720930233,9.362,2.726,57.4,77.35191637630662,3.779279279279279,8.66234,0.12549385207327285
sensor_noise_sd_0p05,702,ppo,202,500,72.6,40.2,5.2,20.599999999999998,6.15426997245179,9.674,2.966,61.6,81.81818181818181,3.8095238095238093,8.55396,0.17935381846572773
sensor_noise_sd_0p05,702,ppo,303,500,74.4,37.8,4.0,21.2,5.268817204301075,7.774,2.856,64.2,79.12772585669782,3.559055118110236,8.775919999999998,0.14112688322456096
sensor_noise_sd_0p05,702,ppo,404,500,72.6,40.0,4.2,21.8,5.6115702479338845,8.882,3.562,58.8,77.55102040816327,3.5350877192982457,8.516879999999999,0.1429877439465086
sensor_noise_sd_0p05,702,ppo,555,500,61.199999999999996,33.2,3.5999999999999996,31.4,6.571895424836601,11.544,3.302,49.8,73.49397590361446,4.14207650273224,8.298380000000002,0.13066137930856883
response_fraction_0p70,702,imitation,0,500,57.4,26.6,9.6,34.4,11.362369337979095,12.902,2.396,67.6,45.562130177514796,6.402597402597403,9.50348,0.22254616036296293
response_fraction_0p70,702,ppo,101,500,59.4,30.2,12.2,34.2,9.801346801346801,11.512,2.388,72.0,48.888888888888886,5.590909090909091,9.5455,0.2313397538481311
response_fraction_0p70,702,ppo,202,500,57.199999999999996,30.4,11.0,35.6,7.86013986013986,10.706,2.204,79.2,51.76767676767677,4.219512195121951,9.72754,0.25088270889266717
response_fraction_0p70,702,ppo,303,500,52.6,27.400000000000002,14.000000000000002,41.199999999999996,8.311787072243346,9.842,2.854,82.8,45.169082125603865,5.229946524064171,10.760060000000001,0.26936563932772495
response_fraction_0p70,702,ppo,404,500,56.599999999999994,27.800000000000004,12.6,37.2,9.607773851590107,10.454,2.61,76.6,46.47519582245431,5.337078651685394,10.9101,0.2653849174048269
response_fraction_0p70,702,ppo,555,500,58.599999999999994,25.0,11.4,34.2,11.573378839590443,12.38,2.3,65.6,44.81707317073171,6.183673469387755,9.33448,0.2431816924414481
combined_unseen,702,imitation,0,500,44.4,24.0,10.6,50.0,8.666666666666666,12.196,2.004,64.4,45.962732919254655,5.891891891891892,9.346604454548007,0.20821124246828754
combined_unseen,702,ppo,101,500,45.6,24.0,11.0,49.4,8.614035087719298,11.058,2.158,71.6,44.134078212290504,5.310126582278481,10.139546086591855,0.22873099392363763
combined_unseen,702,ppo,202,500,50.4,29.799999999999997,9.6,43.2,7.496031746031746,10.348,2.042,74.8,47.32620320855615,4.711864406779661,10.115625574791144,0.24828384345669882
combined_unseen,702,ppo,303,500,44.6,24.6,13.0,51.2,6.242152466367713,9.078,2.608,80.0,40.25,3.4782608695652173,11.35714262540328,0.30459599113493674
combined_unseen,702,ppo,404,500,53.2,28.599999999999998,11.4,42.8,8.345864661654135,9.7,2.27,75.0,52.8,5.318181818181818,11.11489998523652,0.26786522447673083
combined_unseen,702,ppo,555,500,43.6,20.200000000000003,11.4,51.6,9.596330275229358,12.312,2.032,64.4,44.099378881987576,5.570422535211268,9.55376833890737,0.22799773875090112
nominal,703,imitation,0,500,87.2,33.800000000000004,4.2,3.2,7.486238532110092,11.644,3.94,51.8,88.41698841698842,4.384279475982533,8.13168,0.12529750561472702
nominal,703,ppo,101,500,89.2,38.0,4.2,2.0,6.7825112107623315,10.618,3.938,54.8,87.5912408759124,3.9,8.48202,0.12484783810814266
nominal,703,ppo,202,500,88.0,44.0,5.6000000000000005,2.1999999999999997,6.181818181818182,10.534,3.506,61.8,90.61488673139158,3.767857142857143,8.469919999999998,0.15064405119986748
nominal,703,ppo,303,500,91.60000000000001,47.199999999999996,4.8,1.0,5.685589519650655,8.762,3.63,65.6,90.85365853658537,3.7013422818791946,8.649959999999998,0.13624054015245607
nominal,703,ppo,404,500,87.2,38.2,5.4,3.2,6.231651376146789,10.478,4.81,59.2,85.13513513513513,3.488095238095238,8.61524,0.1628381938069661
nominal,703,ppo,555,500,88.0,34.2,4.2,3.2,8.038636363636364,11.854,3.696,48.4,88.01652892561984,4.63849765258216,7.983839999999998,0.1410460308355338
actuator_log_sd_0p10,703,imitation,0,500,92.2,31.8,2.6,2.0,8.082429501084599,10.65,2.992,53.6,95.8955223880597,5.657587548638133,8.106686953055839,0.10146743833465072
actuator_log_sd_0p10,703,ppo,101,500,92.0,35.199999999999996,4.2,2.4,7.108695652173913,9.062,2.5,55.6,93.16546762589928,4.571428571428571,8.503500840346058,0.14214532999611124
actuator_log_sd_0p10,703,ppo,202,500,89.2,43.8,4.8,3.0,6.542600896860987,9.972,2.97,60.8,93.42105263157895,4.640845070422535,8.492715355750745,0.12411697611319991
actuator_log_sd_0p10,703,ppo,303,500,94.0,45.800000000000004,2.6,1.7999999999999998,6.193617021276595,8.002,2.932,64.4,95.65217391304348,4.785714285714286,8.49412837714804,0.1056946145548183
actuator_log_sd_0p10,703,ppo,404,500,92.0,39.6,3.5999999999999996,3.0,6.9195652173913045,9.036,3.298,60.0,93.33333333333333,4.6571428571428575,8.307551012815027,0.1196734708054269
actuator_log_sd_0p10,703,ppo,555,500,90.8,31.8,3.8,2.4,8.284140969162996,11.194,2.964,49.2,93.90243902439025,5.259740259740259,8.073735212456828,0.12497555453067118
titrant_scale_0p90,703,imitation,0,500,88.6,36.199999999999996,4.0,2.8000000000000003,7.6478555304740405,11.492,3.334,50.6,91.30434782608695,4.229437229437229,8.258479999999999,0.11524306690306929
titrant_scale_0p90,703,ppo,101,500,90.2,41.0,4.2,2.4,7.11529933481153,10.254,3.11,50.4,89.68253968253968,4.20353982300885,8.68522,0.13667110934205307
titrant_scale_0p90,703,ppo,202,500,88.2,40.0,5.4,1.0,6.2517006802721085,10.946,3.566,58.6,89.76109215017065,3.581749049429658,8.663579999999998,0.14928894368903306
titrant_scale_0p90,703,ppo,303,500,91.4,41.0,4.2,1.6,5.765864332603939,8.82,3.276,62.2,91.63987138263666,3.7263157894736842,8.8728,0.12610444663273987
titrant_scale_0p90,703,ppo,404,500,87.4,38.6,4.8,3.0,6.578947368421052,10.858,4.7,57.8,86.159169550173,3.4779116465863456,8.84274,0.14353007860990222
titrant_scale_0p90,703,ppo,555,500,88.4,31.0,4.2,2.8000000000000003,8.520361990950226,12.288,3.558,46.8,89.31623931623932,4.45933014354067,8.152,0.12017563430967747
titrant_scale_1p10,703,imitation,0,500,88.4,37.4,5.6000000000000005,2.1999999999999997,7.3076923076923075,11.182,3.832,55.2,88.40579710144928,4.340163934426229,7.82892,0.14185363611602247
titrant_scale_1p10,703,ppo,101,500,89.0,35.4,5.6000000000000005,2.1999999999999997,6.631460674157303,10.332,4.138,58.2,88.65979381443299,4.27906976744186,8.1449,0.1432834952205851
titrant_scale_1p10,703,ppo,202,500,87.8,40.400000000000006,6.0,1.7999999999999998,6.189066059225513,10.462,3.844,63.2,88.92405063291139,4.01423487544484,8.282639999999999,0.17046342812059503
titrant_scale_1p10,703,ppo,303,500,90.60000000000001,42.4,4.3999999999999995,1.4000000000000001,5.507726269315674,8.776,3.944,70.2,90.02849002849003,3.3734177215189876,8.34502,0.12612309469556193
titrant_scale_1p10,703,ppo,404,500,86.0,35.8,5.4,3.0,6.02093023255814,10.444,5.276,62.2,83.60128617363344,3.326923076923077,8.50966,0.16228957384556478
titrant_scale_1p10,703,ppo,555,500,87.4,35.6,5.0,3.0,8.00228832951945,11.954,4.244,52.0,86.92307692307692,4.433628318584071,7.791519999999999,0.1338857557712924
sensor_noise_sd_0p05,703,imitation,0,500,63.2,37.8,3.5999999999999996,30.4,6.2025316455696204,9.986,3.172,54.4,77.20588235294117,4.542857142857143,8.19024,0.1300393743001586
sensor_noise_sd_0p05,703,ppo,101,500,68.0,37.8,3.8,27.0,5.623529411764705,8.84,2.968,58.6,78.49829351535836,3.9565217391304346,8.40484,0.12863170773918667
sensor_noise_sd_0p05,703,ppo,202,500,70.8,43.4,5.4,22.0,5.677966101694915,9.47,3.284,63.0,78.0952380952381,4.032520325203252,8.42562,0.15686429087632128
sensor_noise_sd_0p05,703,ppo,303,500,77.2,48.0,4.2,17.599999999999998,5.634715025906735,7.956,3.164,68.2,83.57771260997067,4.056140350877193,8.65144,0.14547940861545702
sensor_noise_sd_0p05,703,ppo,404,500,66.8,36.4,5.0,27.200000000000003,5.263473053892215,9.072,3.838,61.4,73.28990228013029,3.5555555555555554,8.55418,0.1621211296733861
sensor_noise_sd_0p05,703,ppo,555,500,63.6,36.199999999999996,3.8,30.0,6.443396226415095,10.566,3.236,51.6,74.4186046511628,4.338541666666667,7.914959999999999,0.13421982768780724
response_fraction_0p70,703,imitation,0,500,59.4,23.200000000000003,11.799999999999999,34.2,10.282828282828282,11.386,2.378,67.4,45.40059347181009,5.516339869281046,8.5134,0.2181601921731758
response_fraction_0p70,703,ppo,101,500,59.0,28.4,13.4,34.599999999999994,9.640677966101695,10.878,2.552,72.0,46.666666666666664,5.869047619047619,9.335040000000001,0.2798118360005182
response_fraction_0p70,703,ppo,202,500,51.6,26.200000000000003,12.8,40.2,8.162790697674419,10.516,2.162,78.2,44.24552429667519,4.601156069364162,9.244299999999999,0.27989610377698315
response_fraction_0p70,703,ppo,303,500,50.8,29.4,12.8,42.4,7.5078740157480315,9.76,2.902,82.0,42.68292682926829,4.537142857142857,10.49598,0.27061762219753877
response_fraction_0p70,703,ppo,404,500,58.8,26.200000000000003,12.6,35.199999999999996,9.302721088435375,10.392,2.802,75.4,47.745358090185675,5.927777777777778,10.21768,0.26741298537536795
response_fraction_0p70,703,ppo,555,500,60.4,23.799999999999997,11.600000000000001,33.0,10.748344370860927,11.722,2.28,65.2,45.39877300613497,5.405405405405405,8.8991,0.23793528124799485
combined_unseen,703,imitation,0,500,43.0,22.400000000000002,10.6,52.2,8.846511627906978,10.922,2.242,66.4,40.66265060240964,6.325925925925926,9.406819824693855,0.2421877439990393
combined_unseen,703,ppo,101,500,48.199999999999996,24.6,12.4,47.0,7.7012448132780085,10.054,2.24,71.4,45.09803921568628,5.167701863354037,9.622699491676812,0.25013816453065635
combined_unseen,703,ppo,202,500,50.4,24.8,12.0,43.6,7.305555555555555,10.338,2.31,77.0,48.05194805194805,4.45945945945946,9.789895966016061,0.26931599814400536
