start_observations,end_observations,benchmark_seed,paired_tasks,before_mean,after_mean,mean_change_after_minus_before,median_change_after_minus_before,improved_tasks,worsened_tasks,improved_percent
0,1,101,300,1.4347270804644674,1.2584574279442966,-0.17626965252017074,-0.12151195468005305,169,131,56.333333333333336
0,1,202,300,1.4598420225197677,1.2317316963463691,-0.2281103261733989,-0.09426208358809585,177,123,59.0
0,1,303,300,1.314677572433369,1.1473470560862025,-0.1673305163471667,-0.1256247810642152,185,115,61.66666666666667
0,1,404,300,1.354118732977402,1.2032964380952564,-0.15082229488214574,-0.11420977867474583,173,127,57.666666666666664
0,1,555,300,1.3837933596275083,1.261211414369298,-0.12258194525821044,-0.01537863024079722,160,140,53.333333333333336
1,2,101,300,1.2584574279442966,1.2005413890855048,-0.057916038858791874,-0.00023791850614912624,157,143,52.33333333333333
1,2,202,300,1.2317316963463691,1.1934762837709543,-0.03825541257541456,-0.003542573307403152,177,123,59.0
1,2,303,300,1.1473470560862025,1.0959569578384034,-0.051390098247799075,-0.0016916307687293575,172,128,57.333333333333336
1,2,404,300,1.2032964380952564,1.1607061651531796,-0.04259027294207647,-1.7282278488961467e-05,157,143,52.33333333333333
1,2,555,300,1.261211414369298,1.2358320089009611,-0.025379405468336683,-0.002261260427519063,171,129,56.99999999999999
2,3,101,300,1.2005413890855048,1.1991212308055428,-0.0014201582799620324,-0.00015998806192116244,161,139,53.666666666666664
2,3,202,300,1.1934762837709543,1.1739720173108144,-0.019504266460140206,-0.0005176074912239259,179,121,59.66666666666667
2,3,303,300,1.0959569578384034,1.0956118835528248,-0.0003450742855786393,-0.0007204860871989731,177,123,59.0
2,3,404,300,1.1607061651531796,1.1642215407361072,0.003515375582927427,-6.793593962703404e-05,162,138,54.0
2,3,555,300,1.2358320089009611,1.2113243446664939,-0.024507664234467413,-0.0010328736510557546,181,119,60.333333333333336
3,5,101,300,1.1991212308055428,1.164612520029261,-0.034508710776281766,-0.00014863844710177182,174,126,57.99999999999999
3,5,202,300,1.1739720173108144,1.1456804510987149,-0.028291566212099155,-0.00024195159054685167,178,122,59.333333333333336
3,5,303,300,1.0956118835528248,1.093506627210135,-0.0021052563426898112,-0.00011155307950150295,170,130,56.666666666666664
3,5,404,300,1.1642215407361072,1.1116951733662976,-0.052526367369809555,-0.00022238840458521647,173,127,57.666666666666664
3,5,555,300,1.2113243446664939,1.1929668342240138,-0.01835751044247982,-0.00020205050844326368,177,123,59.0
5,8,101,300,1.164612520029261,1.1614777673288357,-0.003134752700425343,-3.526362622551394e-05,173,127,57.666666666666664
5,8,202,300,1.1456804510987149,1.1549136801177788,0.009233229019063783,-7.045087185164611e-05,176,124,58.666666666666664
5,8,303,300,1.093506627210135,1.0855993615250408,-0.00790726568509417,-8.144241009538922e-05,185,115,61.66666666666667
5,8,404,300,1.1116951733662976,1.103882903580313,-0.007812269785984598,-1.6113705784248644e-05,162,138,54.0
5,8,555,300,1.1929668342240138,1.1920605110077942,-0.0009063232162197798,-6.38447254905361e-05,182,118,60.66666666666667
8,12,101,300,1.1614777673288357,1.1581983331328027,-0.00327943419603274,-5.847424659616296e-05,186,114,62.0
8,12,202,300,1.1549136801177788,1.1491595559742824,-0.005754124143496338,-9.991020807973393e-05,195,105,65.0
8,12,303,300,1.0855993615250408,1.0867858814517732,0.0011865199267323456,-4.874238700591782e-05,180,120,60.0
8,12,404,300,1.103882903580313,1.1083256504598344,0.004442746879521481,-8.981726954176983e-05,179,121,59.66666666666667
8,12,555,300,1.1920605110077942,1.1915443319309107,-0.0005161790768835909,-7.630051269102989e-05,181,119,60.333333333333336
0,12,101,300,1.4347270804644674,1.1581983331328027,-0.2765287473316645,-0.21471580059007306,182,118,60.66666666666667
0,12,202,300,1.4598420225197677,1.1491595559742824,-0.31068246654548537,-0.22754502446171493,182,118,60.66666666666667
0,12,303,300,1.314677572433369,1.0867858814517732,-0.22789169098159603,-0.1562265498352926,184,116,61.33333333333333
0,12,404,300,1.354118732977402,1.1083256504598344,-0.24579308251756743,-0.21159460883110157,182,118,60.66666666666667
0,12,555,300,1.3837933596275083,1.1915443319309107,-0.19224902769659774,-0.08359560839215274,170,130,56.666666666666664
