scenario,task_seed,task_id,direction,difficulty,true_pair_count,success,strict_success,severe_failure,steps,total_volume_ml,final_abs_error,estimated_pair_count,estimated_concentration_m,benchmark_seed
nominal,7000101,1,base,near,1,1,0,0,1,0.78,0.07506134982541113,2,0.10641730494149187,101
pka_prior_narrow,7000101,1,base,near,1,1,0,0,1,0.78,0.07506134982541113,2,0.10612334142442768,101
pka_prior_wide,7000101,1,base,near,1,1,0,0,1,0.78,0.07506134982541113,2,0.1060687244077482,101
concentration_prior_narrow,7000101,1,base,near,1,1,0,0,1,0.78,0.07506134982541113,3,0.10455160577537018,101
concentration_prior_wide,7000101,1,base,near,1,1,0,0,1,0.82,0.06118535503954092,3,0.11788867007205173,101
likelihood_scale_0p05,7000101,1,base,near,1,1,0,0,1,0.78,0.07506134982541113,2,0.08390618452113507,101
likelihood_scale_0p10,7000101,1,base,near,1,1,0,0,1,0.78,0.07506134982541113,2,0.09890797130934234,101
likelihood_scale_0p40,7000101,1,base,near,1,1,0,0,1,0.78,0.07506134982541113,2,0.10814844861827516,101
pair_count_prior_favors_k1,7000101,1,base,near,1,1,0,0,1,0.78,0.07506134982541113,1,0.10830799664656099,101
pair_count_prior_favors_k3,7000101,1,base,near,1,1,0,0,1,0.78,0.07506134982541113,3,0.11036130612092376,101
nominal,7000101,2,acid,medium,3,1,0,0,16,13.34,0.09958453618099261,1,0.10682280811380399,101
pka_prior_narrow,7000101,2,acid,medium,3,1,0,0,16,13.34,0.09958453618099261,1,0.10682098717879984,101
pka_prior_wide,7000101,2,acid,medium,3,1,0,0,16,13.34,0.09958453618099261,1,0.10690464173750688,101
concentration_prior_narrow,7000101,2,acid,medium,3,1,0,0,16,13.34,0.09958453618099261,1,0.10337473248731888,101
concentration_prior_wide,7000101,2,acid,medium,3,1,0,0,16,13.34,0.09958453618099261,1,0.09316599116578371,101
likelihood_scale_0p05,7000101,2,acid,medium,3,1,0,0,16,13.34,0.09958453618099261,2,0.11961915932678772,101
likelihood_scale_0p10,7000101,2,acid,medium,3,1,0,0,16,13.34,0.09958453618099261,1,0.11152906403958399,101
likelihood_scale_0p40,7000101,2,acid,medium,3,1,0,0,16,13.34,0.09958453618099261,1,0.10579859940186365,101
pair_count_prior_favors_k1,7000101,2,acid,medium,3,1,0,0,16,13.34,0.09958453618099261,1,0.10682280811380399,101
pair_count_prior_favors_k3,7000101,2,acid,medium,3,1,0,0,16,13.34,0.09958453618099261,3,0.0928467294741166,101
nominal,7000101,3,base,near,1,1,0,0,5,4.09,0.06562585008585309,3,0.11422182262006227,101
pka_prior_narrow,7000101,3,base,near,1,1,0,0,5,4.09,0.06562585008585309,3,0.10866956118148087,101
pka_prior_wide,7000101,3,base,near,1,1,0,0,8,8.33,0.05358915325226654,1,0.1119813901100885,101
concentration_prior_narrow,7000101,3,base,near,1,1,0,0,2,4.94,0.07251086388039951,1,0.10890321263884287,101
concentration_prior_wide,7000101,3,base,near,1,1,0,0,5,4.09,0.06562585008585309,1,0.1338949320612412,101
likelihood_scale_0p05,7000101,3,base,near,1,0,0,0,4,5.97,0.10252260071711561,1,0.08449492100184217,101
likelihood_scale_0p10,7000101,3,base,near,1,1,0,0,5,4.09,0.06562585008585309,1,0.12562229613400822,101
likelihood_scale_0p40,7000101,3,base,near,1,1,0,0,5,4.09,0.06562585008585309,3,0.11404625328929888,101
pair_count_prior_favors_k1,7000101,3,base,near,1,1,0,0,5,4.09,0.06562585008585309,1,0.13404229250232086,101
pair_count_prior_favors_k3,7000101,3,base,near,1,1,0,0,5,4.09,0.06562585008585309,3,0.11422182262006227,101
nominal,7000101,4,acid,medium,2,1,1,0,4,11.34,0.011206856151866784,3,0.16229361516321583,101
pka_prior_narrow,7000101,4,acid,medium,2,1,1,0,4,11.290000000000001,0.019402378976912882,3,0.14941333007262697,101
pka_prior_wide,7000101,4,acid,medium,2,1,1,0,4,11.36,0.007935547509930085,3,0.1624232701216067,101
concentration_prior_narrow,7000101,4,acid,medium,2,1,1,0,4,11.240000000000002,0.02762072183692732,3,0.11764846430460936,101
concentration_prior_wide,7000101,4,acid,medium,2,1,1,0,4,11.36,0.007935547509930085,3,0.1817279912139808,101
likelihood_scale_0p05,7000101,4,acid,medium,2,1,1,0,4,11.21,0.0325617292720195,3,0.14762470439017827,101
likelihood_scale_0p10,7000101,4,acid,medium,2,1,1,0,4,11.36,0.007935547509930085,3,0.16081677873932596,101
