scenario,task_seed,task_id,direction,difficulty,true_pair_count,success,strict_success,severe_failure,steps,total_volume_ml,final_abs_error,estimated_pair_count,estimated_concentration_m,benchmark_seed
nominal,7000555,1,acid,medium,2,1,0,0,1,4.65,0.09681811707076271,1,0.081769063436827,555
pka_prior_narrow,7000555,1,acid,medium,2,1,0,0,1,4.65,0.09681811707076271,1,0.08287261757946383,555
pka_prior_wide,7000555,1,acid,medium,2,1,0,0,1,4.66,0.095292174315043,1,0.07613508926699743,555
concentration_prior_narrow,7000555,1,acid,medium,2,1,0,0,1,4.65,0.09681811707076271,2,0.09961390178549677,555
concentration_prior_wide,7000555,1,acid,medium,2,1,0,0,1,4.65,0.09681811707076271,2,0.05461137617566931,555
likelihood_scale_0p05,7000555,1,acid,medium,2,1,0,0,1,4.65,0.09681811707076271,1,0.058584063516356796,555
likelihood_scale_0p10,7000555,1,acid,medium,2,1,0,0,1,4.65,0.09681811707076271,1,0.06478096782170634,555
likelihood_scale_0p40,7000555,1,acid,medium,2,1,0,0,1,4.65,0.09681811707076271,1,0.10301702948090632,555
pair_count_prior_favors_k1,7000555,1,acid,medium,2,1,0,0,1,4.65,0.09681811707076271,1,0.081769063436827,555
pair_count_prior_favors_k3,7000555,1,acid,medium,2,1,1,0,2,5.6499999999999995,0.0497869689638577,3,0.09791214553906744,555
nominal,7000555,2,acid,medium,2,1,1,0,4,10.61,0.016088984387719663,2,0.13289153216787733,555
pka_prior_narrow,7000555,2,acid,medium,2,1,1,0,4,10.579999999999998,0.018978920765928997,3,0.10928304572140249,555
pka_prior_wide,7000555,2,acid,medium,2,1,1,0,4,10.64,0.013204902506970484,2,0.1391750300349193,555
concentration_prior_narrow,7000555,2,acid,medium,2,1,1,0,4,10.610000000000001,0.016088984387719663,2,0.10797789480974485,555
concentration_prior_wide,7000555,2,acid,medium,2,1,1,0,4,10.64,0.013204902506970484,1,0.15908512175780604,555
likelihood_scale_0p05,7000555,2,acid,medium,2,1,1,0,4,10.569999999999999,0.01994352838441049,3,0.08025785381539165,555
likelihood_scale_0p10,7000555,2,acid,medium,2,1,1,0,4,10.64,0.013204902506970484,3,0.09819963798810076,555
likelihood_scale_0p40,7000555,2,acid,medium,2,1,1,0,4,10.52,0.02477622949714231,3,0.13437450238829785,555
pair_count_prior_favors_k1,7000555,2,acid,medium,2,1,1,0,4,10.64,0.013204902506970484,1,0.16659302609818305,555
pair_count_prior_favors_k3,7000555,2,acid,medium,2,1,1,0,4,10.52,0.02477622949714231,3,0.12476114834226136,555
nominal,7000555,3,acid,far,1,1,0,0,10,10.77,0.08423859666421052,1,0.07720015057839928,555
pka_prior_narrow,7000555,3,acid,far,1,1,1,0,8,10.729999999999999,0.008494027463951781,1,0.057401252862606514,555
pka_prior_wide,7000555,3,acid,far,1,1,0,0,8,10.65,0.08524895096735285,2,0.07644898534740069,555
concentration_prior_narrow,7000555,3,acid,far,1,1,0,0,10,10.77,0.08423859666421052,1,0.08434304757807984,555
concentration_prior_wide,7000555,3,acid,far,1,1,0,0,10,10.77,0.08423859666421052,1,0.06829257690694743,555
likelihood_scale_0p05,7000555,3,acid,far,1,1,0,0,10,10.77,0.08423859666421052,1,0.0688658539816798,555
likelihood_scale_0p10,7000555,3,acid,far,1,1,0,0,10,10.77,0.08423859666421052,1,0.0692024369876971,555
likelihood_scale_0p40,7000555,3,acid,far,1,1,0,0,10,10.77,0.08423859666421052,1,0.0948683906794867,555
pair_count_prior_favors_k1,7000555,3,acid,far,1,1,0,0,10,10.77,0.08423859666421052,1,0.07720015057839928,555
pair_count_prior_favors_k3,7000555,3,acid,far,1,1,0,0,10,10.77,0.08423859666421052,1,0.07720015057839928,555
nominal,7000555,4,acid,far,1,1,1,0,7,12.11,0.04694880983730387,2,0.13881424927478664,555
pka_prior_narrow,7000555,4,acid,far,1,1,0,0,7,13.72,0.053423628680374424,1,0.14300970206914992,555
pka_prior_wide,7000555,4,acid,far,1,1,0,0,7,12.33,0.05128488041365076,2,0.1641044385302235,555
concentration_prior_narrow,7000555,4,acid,far,1,1,0,0,6,12.07,0.08347813430976148,2,0.11236880140531899,555
concentration_prior_wide,7000555,4,acid,far,1,1,0,0,7,13.74,0.053792337450802474,1,0.1297232049669202,555
likelihood_scale_0p05,7000555,4,acid,far,1,1,0,0,7,12.41,0.05285038228920458,1,0.114770919535433,555
likelihood_scale_0p10,7000555,4,acid,far,1,1,0,0,6,12.07,0.08347813430976148,1,0.14782163519327926,555
likelihood_scale_0p40,7000555,4,acid,far,1,1,0,0,6,12.030000000000001,0.08428274124335511,2,0.1274749043121841,555
pair_count_prior_favors_k1,7000555,4,acid,far,1,1,1,0,8,13.96,0.012896846400056727,1,0.11377523617042601,555
pair_count_prior_favors_k3,7000555,4,acid,far,1,1,0,0,8,13.579999999999998,0.0508334066070808,3,0.05275208889588938,555
nominal,7000555,5,base,medium,1,1,0,0,3,4.510000000000001,0.08945491199954514,2,0.07745938945000494,555
