regime,method,seed_runs,tasks_mean,tasks_sd,success_rate_percent_mean,success_rate_percent_sd,strict_success_rate_percent_mean,strict_success_rate_percent_sd,severe_failure_rate_percent_mean,severe_failure_rate_percent_sd,false_stop_rate_percent_mean,false_stop_rate_percent_sd,steps_mean_mean,steps_mean_sd,successful_steps_mean_mean,successful_steps_mean_sd,crossings_mean_mean,crossings_mean_sd,total_volume_mean_ml_mean,total_volume_mean_ml_sd,final_abs_error_mean_mean,final_abs_error_mean_sd,controller_time_ms_per_step_mean_mean,controller_time_ms_per_step_mean_sd
nominal,new_pf,5,1000.0,0.0,95.51999999999998,0.311448230047952,43.17999999999999,2.063249863685928,1.28,0.303315017762062,1.3599999999999999,0.5319774431308155,6.2106,0.13298232965322862,4.811103416854287,0.08301809302530523,3.1312,0.1338271272948799,7.7997260000000015,0.14818898096687197,0.07122190616492194,0.00420340857833177,59.32701975081051,1.3345255308079165
nominal,new_ppo,5,1000.0,0.0,93.20000000000002,0.34641016151377113,41.99999999999999,1.1401754250991365,3.0000000000000004,0.187082869338697,1.46,0.25099800796022265,7.9544,0.2892711530726835,5.663977226018263,0.12938440425558081,3.2158,0.19257388192587277,8.484106,0.2540668691112629,0.10776273736161657,0.0047306296005641514,0.14119136107494812,0.0027707584736965923
close_pka,new_pf,5,1000.0,0.0,93.24000000000001,0.43931765272977213,39.7,1.1467344941179713,2.32,0.3633180424916989,1.6600000000000001,0.3286335345030997,7.899199999999999,0.30756739098935687,5.595252198656046,0.17530982234651152,4.086599999999999,0.2712108036196197,8.611372000000001,0.21972970092820882,0.09238747113766242,0.00597258607067516,60.490677867020125,3.10882251476817
close_pka,new_ppo,5,1000.0,0.0,90.52000000000001,0.5540758070878037,40.14,0.9607288899580332,4.08,0.5890670590009253,1.6799999999999997,0.39623225512317894,9.843,0.4140428721763004,6.491308864660932,0.31001676086298235,4.0504,0.32391325999409154,9.630326,0.43520346337086974,0.138609179102618,0.01717367838619564,0.1428664460349511,0.005951738042990767
wide_concentration,new_pf,5,1000.0,0.0,94.55999999999999,0.5176871642217891,42.67999999999999,1.1300442469213323,1.7,0.24494897427831774,1.4599999999999997,0.3577708763999664,7.041600000000001,0.15785848092516283,5.269139875466591,0.07435836954793665,3.7856,0.20274072111936473,8.195556,0.1056527253789506,0.07940230694048026,0.005660136459017604,65.45910233151967,2.081111244100757
wide_concentration,new_ppo,5,1000.0,0.0,91.76,0.6949820141557668,41.42,1.1945710527214357,3.5799999999999996,0.28635642126552696,1.64,0.2880972058177586,8.9662,0.26160791272436695,6.131505650442198,0.0963499095868708,3.9549999999999996,0.17314733610425548,8.921664000000002,0.11186354155845449,0.12146768404780028,0.005417587390873078,0.14748025326488254,0.005044904868687222
observation_noise_0p01,new_pf,5,1000.0,0.0,92.5,0.7516648189186457,43.56,1.316434578701123,1.22,0.24899799195977468,4.4399999999999995,0.9289779329994874,6.211,0.09779314904429662,4.752627018228543,0.05872376395669568,3.0564,0.13154580951136377,7.80018,0.1491938375067819,0.07064938751821129,0.006206596634423716,61.678171958181075,1.517463680597756
observation_noise_0p01,new_ppo,5,1000.0,0.0,90.04,0.8876936408468832,42.74,1.1653325705565782,2.9000000000000004,0.3391164991562635,5.26,0.33615472627943227,7.7326,0.25499078414719223,5.528797992105806,0.14329116556508248,3.0416,0.1655590529086223,8.448626,0.21066892611393884,0.10629333035078421,0.003659386870635873,0.14481298348823474,0.002518212288878289
observation_noise_0p03,new_pf,5,1000.0,0.0,81.88,0.9884331034521254,45.64,0.5856620185738537,1.14,0.2302172886644268,13.959999999999999,0.9581231653602783,6.969200000000001,0.10974834850693661,4.669029968973423,0.07892269338855583,2.9086,0.1338424446877745,7.773359999999999,0.1397763737188801,0.0753383990763654,0.004220051657581608,65.36566072489387,2.142403383469897
observation_noise_0p03,new_ppo,5,1000.0,0.0,82.82000000000001,1.6084153692376852,44.82000000000001,1.1300442469213332,2.88,0.24899799195977468,13.059999999999999,1.3183322798141595,7.4736,0.2017295218851221,5.366661284657974,0.0905497945864496,2.8785999999999996,0.0791789113337636,8.455386,0.2361156077645016,0.10986226204286606,0.002048073312019971,0.15479887804101827,0.0067279017237705276
