method,regime,distribution,task_seed,task_id,direction,difficulty,pka_family,true_pair_count,true_success,strict_success,severe_failure,measured_success,false_stop,steps,crossings,total_volume_ml,final_true_ph,final_measured_ph,final_abs_error,decision_time_ms_total,update_time_ms_total,controller_time_ms_per_step,stop_reason,benchmark_seed
new_pf,actuator_log_sd_0p10,nominal,3000303,1,base,far,separated,3,1,1,0,1,0,9,6,16.141633616521656,6.958870237153327,6.96,0.0361297628466728,866.3765999954194,443.35290000162786,145.52549999967192,measured_success,303
new_ppo,actuator_log_sd_0p10,nominal,3000303,1,base,far,separated,3,1,0,0,1,0,9,5,16.451319888337327,7.084712582527031,7.08,0.08971258252703063,1.3168000004952773,0.22289999469649047,0.17107777724352977,measured_success,303
new_pf,actuator_log_sd_0p10,nominal,3000303,2,base,medium,single,1,1,0,0,1,0,11,0,12.808643073831748,3.5973946443027156,3.6,0.08060535569728433,292.9204999963986,469.52620000229217,69.31333636351734,measured_success,303
new_ppo,actuator_log_sd_0p10,nominal,3000303,2,base,medium,single,1,1,0,0,1,0,16,0,12.803565764206482,3.596997677840399,3.6,0.08100232215960101,8.035000020754524,2.4842999991960824,0.6574562512469129,measured_success,303
new_pf,actuator_log_sd_0p10,nominal,3000303,3,acid,medium,single,1,1,1,0,1,0,2,1,3.1508808030557915,6.676169432850015,6.68,0.002830567149985086,17.01830000092741,93.50809999159537,55.26319999626139,measured_success,303
new_ppo,actuator_log_sd_0p10,nominal,3000303,3,acid,medium,single,1,1,1,0,1,0,4,2,4.356395639915829,6.7244423164447955,6.72,0.04544231644479524,0.6826000026194379,0.09769998723641038,0.19507499746396206,measured_success,303
new_pf,actuator_log_sd_0p10,nominal,3000303,4,acid,near,single,1,1,0,0,1,0,2,1,3.985928001420069,2.1762775441182525,2.18,0.08272245588174743,133.065699992585,166.36259999359027,149.71414999308763,measured_success,303
new_ppo,actuator_log_sd_0p10,nominal,3000303,4,acid,near,single,1,1,0,0,1,0,1,1,3.3035714971622006,2.1839040980348248,2.18,0.07509590196517513,1.948599994648248,0.03339999966556206,1.98199999431381,measured_success,303
new_pf,actuator_log_sd_0p10,nominal,3000303,5,base,medium,separated,3,1,1,0,1,0,3,0,5.284548675154601,3.1955045286113375,3.2,0.0004954713886626827,37.201800012553576,238.4552000075928,91.88566667338212,measured_success,303
new_ppo,actuator_log_sd_0p10,nominal,3000303,5,base,medium,separated,3,1,1,0,1,0,2,1,5.378242425732282,3.235051187460522,3.24,0.03905118746052194,0.3692999962368049,0.04699999408330768,0.20814999516005628,measured_success,303
new_pf,actuator_log_sd_0p10,nominal,3000303,6,acid,near,single,1,1,0,0,1,0,4,2,2.3296984920788706,6.257348737114047,6.26,0.07334873711404644,382.7168000061647,199.46860000345623,145.54635000240523,measured_success,303
new_ppo,actuator_log_sd_0p10,nominal,3000303,6,acid,near,single,1,1,0,0,1,0,5,3,4.465442909813318,6.090596643254273,6.09,0.09340335674572753,2.217200002633035,0.12380000407574698,0.46820000134175643,measured_success,303
new_pf,actuator_log_sd_0p10,nominal,3000303,7,acid,medium,single,1,1,1,0,1,0,5,0,5.069624963038746,7.699755253139314,7.7,0.04875525313931384,44.57420000107959,219.2672000019229,52.7682800006005,measured_success,303
new_ppo,actuator_log_sd_0p10,nominal,3000303,7,acid,medium,single,1,0,0,0,1,1,7,0,4.83902700648359,7.7518627304589,7.75,0.10086273045889982,3.7174000026425347,0.21750000450992957,0.5621285724503521,measured_success,303
new_pf,actuator_log_sd_0p10,nominal,3000303,8,acid,medium,separated,3,1,1,0,1,0,2,2,3.095832134907228,4.506991956469104,4.51,0.011991956469104004,20.819199999095872,158.19140000530751,89.5053000022017,measured_success,303
new_ppo,actuator_log_sd_0p10,nominal,3000303,8,acid,medium,separated,3,1,0,0,1,0,1,0,2.4320136621110517,4.593863502263796,4.59,0.09886350226379559,0.2626999994390644,0.025300003471784294,0.2880000029108487,measured_success,303
new_pf,actuator_log_sd_0p10,nominal,3000303,9,acid,near,separated,2,1,0,0,1,0,1,0,3.728331441676103,1.822489882306451,1.82,0.07948988230645093,160.3019999965909,110.79549999703886,271.09749999362975,measured_success,303
new_ppo,actuator_log_sd_0p10,nominal,3000303,9,acid,near,separated,2,1,1,0,1,0,2,0,4.459244005621488,1.7548482202192943,1.75,0.011848220219294214,2.474200002325233,0.0610999995842576,1.2676500009547453,measured_success,303
new_pf,actuator_log_sd_0p10,nominal,3000303,10,acid,medium,single,1,1,0,0,1,0,8,0,13.497579896171926,1.658003928595309,1.66,0.08400392859530892,460.2761000060127,440.7210999997915,112.62465000072552,measured_success,303
new_ppo,actuator_log_sd_0p10,nominal,3000303,10,acid,medium,single,1,1,0,0,1,0,8,0,13.263129861273459,1.6685951343724423,1.67,0.09459513437244227,1.0369999872636981,2.363999985391274,0.42512499658187153,measured_success,303
new_pf,actuator_log_sd_0p10,nominal,3000303,11,acid,near,separated,3,1,0,0,1,0,1,1,2.423066271796646,2.1854138240525662,2.19,0.05758617594743365,118.12199999985751,128.58589999814285,246.70789999800036,measured_success,303
new_ppo,actuator_log_sd_0p10,nominal,3000303,11,acid,near,separated,3,1,1,0,1,0,2,2,3.768556966010178,2.288950325210931,2.29,0.04595032521093101,0.39000000106170774,0.05370000144466758,0.22185000125318766,measured_success,303
new_pf,actuator_log_sd_0p10,nominal,3000303,12,base,medium,overlapping,2,1,1,0,1,0,6,2,17.748272491193692,5.382364530700073,5.38,0.0006354692999268607,655.6890999927418,398.87510000698967,175.76069999995525,measured_success,303
new_ppo,actuator_log_sd_0p10,nominal,3000303,12,base,medium,overlapping,2,1,0,0,1,0,5,2,17.266328676278956,5.2899986444293,5.29,0.0930013555707001,2.2966999968048185,0.13669999316334724,0.48667999799363315,measured_success,303
new_pf,actuator_log_sd_0p10,nominal,3000303,13,base,medium,separated,2,0,0,0,1,1,5,2,5.828878291616514,6.715173379497148,6.72,0.10382662050285152,498.8386999903014,402.3506000012276,180.2378599983058,measured_success,303
new_ppo,actuator_log_sd_0p10,nominal,3000303,13,base,medium,separated,2,1,0,0,1,0,8,6,4.871949305625744,6.721901629356239,6.72,0.09709837064376092,1.396200001181569,0.2173000029870309,0.20168750052107498,measured_success,303
new_pf,actuator_log_sd_0p10,nominal,3000303,14,acid,medium,single,1,1,0,0,1,0,12,0,16.50186190845231,6.6030854239169265,6.6,0.08908542391692631,422.8105000220239,491.9579000052181,76.23070000227017,measured_success,303
new_ppo,actuator_log_sd_0p10,nominal,3000303,14,acid,medium,single,1,1,0,0,1,0,23,0,16.43202441770515,6.608484673695168,6.61,0.09448467369516766,8.170299988705665,0.6371999988914467,0.38293478206943965,measured_success,303
new_pf,actuator_log_sd_0p10,nominal,3000303,15,base,far,single,1,1,1,0,1,0,6,4,12.5377972563514,8.669613923450527,8.67,0.035386076549473344,398.0624999894644,466.6739000022062,144.1227333319451,measured_success,303
new_ppo,actuator_log_sd_0p10,nominal,3000303,15,base,far,single,1,1,0,0,1,0,11,4,17.699136775951246,8.62880477178119,8.63,0.07619522821880942,2.156500006094575,0.33180000173160806,0.2262090916205621,measured_success,303
new_pf,actuator_log_sd_0p10,nominal,3000303,16,base,far,separated,2,1,0,0,1,0,1,0,6.248101869302889,5.054407637547175,5.05,0.056592362452824396,139.52270000299904,90.01500000158558,229.53770000458462,measured_success,303
