method,regime,distribution,task_seed,task_id,direction,difficulty,pka_family,true_pair_count,true_success,strict_success,severe_failure,measured_success,false_stop,steps,crossings,total_volume_ml,final_true_ph,final_measured_ph,final_abs_error,decision_time_ms_total,update_time_ms_total,controller_time_ms_per_step,stop_reason,benchmark_seed
new_pf,close_pka,close_pka,3000202,1,base,near,single,1,1,0,0,1,0,2,0,3.51,8.208723242242833,8.21,0.09627675775716682,66.6376000008313,33.585899996978696,50.111749998905,measured_success,202
new_ppo,close_pka,close_pka,3000202,1,base,near,single,1,1,0,0,1,0,3,0,3.77,8.239580607740617,8.24,0.06541939225938265,0.3080000024056062,0.04260000423528254,0.11686666888029625,measured_success,202
new_pf,close_pka,close_pka,3000202,2,acid,far,single,1,1,1,0,1,0,9,7,16.000000000000004,5.690670529760961,5.69,0.0313294702390392,430.9428000196931,206.11400000052527,70.78408889113537,measured_success,202
new_ppo,close_pka,close_pka,3000202,2,acid,far,single,1,1,1,0,1,0,12,7,20.240000000000002,5.691400193584263,5.69,0.03059980641573734,1.523499988252297,0.2735999951255508,0.149758331948154,measured_success,202
new_pf,close_pka,close_pka,3000202,3,acid,far,single,1,0,0,0,0,0,50,45,14.599999999999989,4.464147591555053,4.46,0.15385240844494774,2765.075399991474,831.6214000151376,71.93393600013223,max_steps,202
new_ppo,close_pka,close_pka,3000202,3,acid,far,single,1,1,0,0,1,0,11,7,24.04,4.558198817248186,4.56,0.0598011827518139,1.2670999931287952,0.23079999664332718,0.13617272634292021,measured_success,202
new_pf,close_pka,close_pka,3000202,4,acid,medium,overlapping,2,1,0,0,1,0,3,1,5.210000000000001,3.253085659411524,3.25,0.08991434058847592,124.34719999873778,76.46529999328777,66.93749999734185,measured_success,202
new_ppo,close_pka,close_pka,3000202,4,acid,medium,overlapping,2,1,1,0,1,0,2,1,5.05,3.3330419046008757,3.33,0.00995809539912429,0.20170000061625615,0.025000001187436283,0.11335000090184622,measured_success,202
new_pf,close_pka,close_pka,3000202,5,base,medium,overlapping,2,1,1,0,1,0,5,2,9.489999999999998,6.27563724276456,6.28,0.049362757235440036,99.81070000503678,118.74060000991449,43.71026000299025,measured_success,202
new_ppo,close_pka,close_pka,3000202,5,base,medium,overlapping,2,0,0,0,0,0,50,45,28.819999999999965,6.555093569497387,6.56,0.23009356949738713,4.812400002265349,0.8282999988296069,0.11281400002189912,max_steps,202
new_pf,close_pka,close_pka,3000202,6,base,near,overlapping,2,1,0,0,1,0,3,0,1.7199999999999998,4.719881311962395,4.72,0.08811868803760525,10.5831999971997,55.30990000261227,21.96436666660399,measured_success,202
new_ppo,close_pka,close_pka,3000202,6,base,near,overlapping,2,1,1,0,1,0,1,0,2.06,4.76408500168124,4.76,0.04391499831876011,0.13069999840809032,0.015399993571918458,0.14609999198000878,measured_success,202
new_pf,close_pka,close_pka,3000202,7,base,near,single,1,1,1,0,1,0,5,3,5.49,6.039032007714926,6.04,0.023032007714926195,175.03419999411562,111.96639999252511,57.40011999732815,measured_success,202
