method,regime,distribution,task_seed,task_id,direction,difficulty,pka_family,true_pair_count,true_success,strict_success,severe_failure,measured_success,false_stop,steps,crossings,total_volume_ml,final_true_ph,final_measured_ph,final_abs_error,decision_time_ms_total,update_time_ms_total,controller_time_ms_per_step,stop_reason,benchmark_seed
new_pf,combined_unseen,nominal,3000404,1,acid,near,separated,2,1,1,0,1,0,1,1,3.306419088087789,2.385925007770468,2.47,0.03707499222953192,104.9538000006578,52.59429999568965,157.54809999634745,measured_success,404
new_ppo,combined_unseen,nominal,3000404,1,acid,near,separated,2,1,0,0,1,0,2,1,3.4880506154353417,2.369141938816881,2.35,0.05385806118311898,0.5182999957469292,0.05489999603014439,0.2865999958885368,measured_success,404
new_pf,combined_unseen,nominal,3000404,2,base,near,separated,3,0,0,0,1,1,30,2,3.457118558414581,8.541270950144419,8.66,0.16172904985558034,3000.2273000063724,1207.9376000183402,140.27216333415709,measured_success,404
new_ppo,combined_unseen,nominal,3000404,2,base,near,separated,3,0,0,0,1,1,4,2,4.3201087042780895,8.43301580274558,8.72,0.2699841972544199,0.5358999987947755,0.08250000246334821,0.15460000031453092,measured_success,404
new_pf,combined_unseen,nominal,3000404,3,base,near,separated,2,1,0,0,1,0,2,0,2.7233336097711076,3.352396872752129,3.38,0.07860312724787111,94.33520000311546,93.35469999496127,93.84494999903836,measured_success,404
new_ppo,combined_unseen,nominal,3000404,3,base,near,separated,2,1,0,0,1,0,2,0,2.5842404272760655,3.3398309619795343,3.38,0.09116903802046572,0.3625999961514026,0.043600004573818296,0.20310000036261044,measured_success,404
new_pf,combined_unseen,nominal,3000404,4,base,medium,single,1,0,0,0,0,0,50,0,7.8623065647387715,5.961788740561971,6.06,0.2972112594380292,541.8751999968663,1682.3044000047958,44.48359200003324,max_steps,404
new_ppo,combined_unseen,nominal,3000404,4,base,medium,single,1,0,0,0,1,1,8,0,7.8744879458420876,6.153620904658643,6.18,0.10537909534135714,3.112399994279258,0.20100000983802602,0.4141750005146605,measured_success,404
new_pf,combined_unseen,nominal,3000404,5,acid,medium,single,1,1,1,0,1,0,5,1,6.342589447564883,7.4885305663601205,7.51,0.0024694336398791705,47.369899999466725,255.68910000583855,60.611800001061056,measured_success,404
new_ppo,combined_unseen,nominal,3000404,5,acid,medium,single,1,1,1,0,1,0,12,0,6.2295441574832955,7.518874392401079,7.59,0.027874392401079362,2.021499996772036,0.34499999310355633,0.19720833248963268,measured_success,404
new_pf,combined_unseen,nominal,3000404,6,acid,far,single,1,0,0,1,1,1,1,1,7.848287440799737,1.5950799611503732,3.11,1.4899200388496268,143.52599999983795,71.72859999991488,215.25459999975283,measured_success,404
new_ppo,combined_unseen,nominal,3000404,6,acid,far,single,1,0,0,1,1,1,1,1,7.30486407605728,1.626010461945313,3.13,1.458989538054687,0.2390000008745119,0.043000000005122274,0.28200000087963417,measured_success,404
new_pf,combined_unseen,nominal,3000404,7,acid,far,single,1,0,0,1,1,1,2,1,9.71138509812002,2.1886226084943043,2.81,0.5693773915056957,130.81369999417802,202.30630000150995,166.559999997844,measured_success,404
new_ppo,combined_unseen,nominal,3000404,7,acid,far,single,1,0,0,1,1,1,2,1,10.56501696934178,2.016692671024898,2.69,0.7413073289751022,3.485499997623265,0.055900003644637764,1.7707000006339513,measured_success,404
new_pf,combined_unseen,nominal,3000404,8,base,medium,separated,3,1,0,0,1,0,2,1,4.401198121971817,5.460809561208201,5.31,0.08680956120820138,152.40739999717334,169.6323000069242,161.01985000204877,measured_success,404
new_ppo,combined_unseen,nominal,3000404,8,base,medium,separated,3,1,1,0,1,0,2,1,4.088680709051516,5.395802420635729,5.28,0.021802420635729014,0.3938000008929521,0.05709999823011458,0.22544999956153333,measured_success,404
new_pf,combined_unseen,nominal,3000404,9,base,medium,separated,2,0,0,1,1,1,1,1,4.258564613257611,9.344466245663654,8.74,0.6534662456636529,12.262399999599438,86.92509999673348,99.18749999633292,measured_success,404
new_ppo,combined_unseen,nominal,3000404,9,base,medium,separated,2,0,0,1,1,1,2,2,7.4869018213340865,7.910733853133063,8.63,0.7802661468669374,0.39459999970858917,2.5303000074927695,1.4624500036006793,measured_success,404
new_pf,combined_unseen,nominal,3000404,10,acid,near,single,1,1,0,0,1,0,3,1,3.1103480109569457,5.170970045761871,5.18,0.05702995423812851,31.837100003031082,169.55589999997756,67.13100000100287,measured_success,404
new_ppo,combined_unseen,nominal,3000404,10,acid,near,single,1,0,0,0,1,1,3,1,3.3629638577656715,5.103873000197442,5.13,0.12412699980255759,0.5664999989676289,0.08479999814881012,0.21709999903881302,measured_success,404
new_pf,combined_unseen,nominal,3000404,11,acid,near,single,1,0,0,0,0,0,50,0,4.30825540532173,3.3126204534538166,3.41,0.20662045345381674,442.3117000114871,1899.884699996619,46.84392800016212,max_steps,404
new_ppo,combined_unseen,nominal,3000404,11,acid,near,single,1,1,1,0,1,0,6,0,5.569814426315545,3.113340085638006,3.18,0.007340085638006144,3.191199997672811,2.1897000042372383,0.8968166669850083,measured_success,404
new_pf,combined_unseen,nominal,3000404,12,base,medium,single,1,0,0,0,1,1,16,3,11.680713526873724,9.838435371603303,9.73,0.11043537160330352,455.50709999224637,634.141799993813,68.10305624912871,measured_success,404
new_ppo,combined_unseen,nominal,3000404,12,base,medium,single,1,0,0,0,0,0,50,0,2.7006643599836457,9.620916473837568,9.49,0.10708352616243211,11.705600016284734,1.2457000048016198,0.2590260004217271,max_steps,404
new_pf,combined_unseen,nominal,3000404,13,acid,near,separated,2,0,0,0,1,1,5,0,6.20274891279474,3.7158764195370155,3.66,0.13787641953701568,29.2877000028966,143.65079999697627,34.587699999974575,measured_success,404
new_ppo,combined_unseen,nominal,3000404,13,acid,near,separated,2,1,0,0,1,0,5,0,7.2384144820300715,3.628494953647233,3.57,0.05049495364723322,0.6581000125152059,0.09959999442799017,0.1515400013886392,measured_success,404
new_pf,combined_unseen,nominal,3000404,14,base,medium,single,1,1,1,0,1,0,2,1,3.446917859015448,9.195960098517418,9.21,0.02296009851741765,145.87420000316342,125.04710000212071,135.46065000264207,measured_success,404
new_ppo,combined_unseen,nominal,3000404,14,base,medium,single,1,0,0,0,0,0,50,0,2.288767660965189,8.79382105691105,8.84,0.3791789430889505,7.018500014964957,1.1951999986195005,0.16427400027168915,max_steps,404
new_pf,combined_unseen,nominal,3000404,15,base,near,single,1,0,0,0,0,0,50,0,1.7087893372150431,2.9456782413006026,3.01,0.26432175869939734,383.03549999545794,1604.1399000023375,39.74350799995591,max_steps,404
new_ppo,combined_unseen,nominal,3000404,15,base,near,single,1,0,0,0,1,1,1,0,2.025899076308946,3.0187192529312057,3.13,0.19128074706879428,0.24929999926825985,0.0259000007645227,0.27520000003278255,measured_success,404
new_pf,combined_unseen,nominal,3000404,16,base,medium,single,1,1,1,0,1,0,5,0,10.157938108016214,3.5933001582194866,3.59,0.03269984178051333,161.14300000481308,231.57689999061404,78.54397999908542,measured_success,404
new_ppo,combined_unseen,nominal,3000404,16,base,medium,single,1,1,0,0,1,0,6,2,12.944667963240484,3.534361019815318,3.54,0.09163898018468197,2.76060000032885,0.1494999960414134,0.48501666606171057,measured_success,404
new_pf,combined_unseen,nominal,3000404,17,acid,medium,single,1,0,0,0,1,1,6,2,8.243333537369724,3.3307865795170537,3.23,0.15578657951705388,766.0571000014897,286.73539999726927,175.46541666645984,measured_success,404
new_ppo,combined_unseen,nominal,3000404,17,acid,medium,single,1,0,0,0,1,1,8,4,10.014508039587518,3.3527983331061755,3.13,0.17779833310617565,0.9155000007012859,0.16080000204965472,0.13453750034386758,measured_success,404
new_pf,combined_unseen,nominal,3000404,18,base,medium,separated,2,0,0,0,0,0,50,1,7.567939892539525,6.5624422356101135,6.62,0.4074422356101133,685.3896999818971,1860.0206000119215,50.90820599987637,max_steps,404
new_ppo,combined_unseen,nominal,3000404,18,base,medium,separated,2,1,1,0,1,0,6,2,8.953625925432371,6.109341392207314,6.12,0.045658607792685935,3.611600011936389,0.1990999953704886,0.6351166678844796,measured_success,404
new_pf,combined_unseen,nominal,3000404,19,acid,near,separated,2,1,1,0,1,0,1,1,2.29304866438484,3.197480170620274,3.24,0.007519829379726062,96.86369999690214,63.67889999819454,160.54259999509668,measured_success,404
new_ppo,combined_unseen,nominal,3000404,19,acid,near,separated,2,1,1,0,1,0,1,0,2.1182422639608833,3.2224776033356655,3.26,0.017477603335665393,0.27009999757865444,0.023500004317611456,0.2936000018962659,measured_success,404
new_pf,combined_unseen,nominal,3000404,20,base,near,separated,3,1,0,0,1,0,8,0,8.116550581119796,7.158544085664223,7.19,0.0834559143357767,79.85489998100093,339.1736000048695,52.378562498233805,measured_success,404
new_ppo,combined_unseen,nominal,3000404,20,base,near,separated,3,1,0,0,1,0,17,0,8.463178481993847,7.190570533852354,7.16,0.05142946614764643,2.248599994345568,0.3797999888774939,0.15461176371900365,measured_success,404
new_pf,combined_unseen,nominal,3000404,21,acid,near,single,1,1,1,0,1,0,3,1,3.9381702859410033,2.759176687359731,2.85,0.00882331264026881,282.0326999935787,171.6840000008233,151.238899998134,measured_success,404
new_ppo,combined_unseen,nominal,3000404,21,acid,near,single,1,1,1,0,1,0,3,1,4.148730158919152,2.7227514317599395,2.85,0.045248568240060294,2.468400001816917,0.08779999916441739,0.8520666669937782,measured_success,404
new_pf,combined_unseen,nominal,3000404,22,base,far,separated,2,0,0,0,1,1,3,1,9.7161072848059,6.154977149696366,5.95,0.11097714969636652,334.12989999487763,212.79259999573696,182.30749999687154,measured_success,404
new_ppo,combined_unseen,nominal,3000404,22,base,far,separated,2,0,0,0,1,1,3,1,10.206321738686947,6.233528052260022,6.06,0.18952805226002223,0.4167000006418675,0.0610999995842576,0.1592666667420417,measured_success,404
new_pf,combined_unseen,nominal,3000404,23,base,near,single,1,0,0,0,1,1,2,1,3.14394550718393,5.7892471703532635,5.59,0.1402471703532635,150.3904999990482,137.51050000428222,143.9505000016652,measured_success,404
new_ppo,combined_unseen,nominal,3000404,23,base,near,single,1,0,0,0,1,1,2,1,3.4240967245912284,5.902097017734555,5.69,0.2530970177345546,0.4059000057168305,0.056899996707215905,0.2314000012120232,measured_success,404
new_pf,combined_unseen,nominal,3000404,24,base,far,separated,2,1,1,0,1,0,5,1,11.992068362464464,5.463478594355024,5.45,0.017478594355024413,202.8498999934527,209.12130000942852,82.39424000057625,measured_success,404
new_ppo,combined_unseen,nominal,3000404,24,base,far,separated,2,0,0,0,1,1,4,1,12.807730570802413,5.587856773656027,5.48,0.141856773656027,0.6126000007498078,0.09819999831961468,0.17769999976735562,measured_success,404
new_pf,combined_unseen,nominal,3000404,25,base,near,separated,2,0,0,0,0,0,50,1,4.077534396623443,6.189163155798822,6.29,0.262163155798822,555.3866999907768,1765.25189998938,46.41277199960314,max_steps,404
new_ppo,combined_unseen,nominal,3000404,25,base,near,separated,2,1,0,0,1,0,2,2,3.3405586564954692,5.836851688830288,5.89,0.09014831116971145,0.30529999639838934,0.039399994420818985,0.17234999540960416,measured_success,404
new_pf,combined_unseen,nominal,3000404,26,base,far,single,1,0,0,1,0,0,50,1,6.594046032509036,12.03782652564264,12.09,1.3778265256426394,445.47639999655075,1858.7200000183657,46.08392800029833,max_steps,404
new_ppo,combined_unseen,nominal,3000404,26,base,far,single,1,0,0,0,1,1,7,1,2.530823550929182,11.131742264041616,10.57,0.471742264041616,1.2989999959245324,0.20570000197039917,0.2149571425564188,measured_success,404
new_pf,combined_unseen,nominal,3000404,27,acid,medium,single,1,0,0,1,0,0,50,1,9.074985378435887,1.8642307820049502,1.79,1.3307692179950497,5907.939899996563,1734.4374000022071,152.8475459999754,max_steps,404
new_ppo,combined_unseen,nominal,3000404,27,acid,medium,single,1,0,0,0,1,1,45,17,46.2917413826009,2.9196638928864997,3.19,0.2753361071135001,13.659500000358094,1.2211000066599809,0.3306800001559572,measured_success,404
new_pf,combined_unseen,nominal,3000404,28,acid,near,separated,3,1,1,0,1,0,2,0,3.99560883737548,2.044228333849598,2.09,0.023228333849598215,255.65089999872725,122.54070000199135,189.0958000003593,measured_success,404
new_ppo,combined_unseen,nominal,3000404,28,acid,near,separated,3,1,1,0,1,0,2,1,4.634946168793133,1.9880978249745334,2.06,0.03290217502546655,0.425300000642892,0.05160000728210434,0.23845000396249816,measured_success,404
new_pf,combined_unseen,nominal,3000404,29,acid,medium,single,1,0,0,0,1,1,2,1,3.9073926140971706,1.9030052031975195,2.08,0.2759947968024803,148.06930000486318,164.38600000401493,156.22765000443906,measured_success,404
new_ppo,combined_unseen,nominal,3000404,29,acid,medium,single,1,1,1,0,1,0,5,2,7.520647240199256,2.226309861690572,2.24,0.04730986169057205,2.959600002213847,0.14900001406203955,0.6217200032551773,measured_success,404
new_pf,combined_unseen,nominal,3000404,30,acid,medium,single,1,0,0,1,0,0,50,2,11.091109727488114,5.57040202916167,5.53,1.6014020291616702,6295.276900018507,1926.646800020535,164.43847400078084,max_steps,404
new_ppo,combined_unseen,nominal,3000404,30,acid,medium,single,1,0,0,1,1,1,9,6,13.076919894968471,4.572505788363586,3.95,0.6035057883635857,1.7370000059599988,0.2637000070535578,0.22230000144595075,measured_success,404
new_pf,combined_unseen,nominal,3000404,31,base,medium,separated,2,0,0,0,1,1,2,1,4.1469860934262845,4.583953203915769,4.4,0.13195320391576892,17.212899998412468,171.38250000425614,94.2977000013343,measured_success,404
new_ppo,combined_unseen,nominal,3000404,31,base,medium,separated,2,1,1,0,1,0,3,1,6.01592824825728,4.496459426143488,4.46,0.0444594261434883,0.6204000019351952,0.09290000889450312,0.2377666702765661,measured_success,404
new_pf,combined_unseen,nominal,3000404,32,acid,medium,single,1,1,0,0,1,0,5,1,12.133663815528148,4.455381642858535,4.52,0.07461835714146492,332.3915999935707,274.0082999880542,121.27997999632498,measured_success,404
new_ppo,combined_unseen,nominal,3000404,32,acid,medium,single,1,1,1,0,1,0,5,1,12.027721561299783,4.481763258036818,4.54,0.04823674196318262,2.828099997714162,0.15149998216656968,0.5959199959761463,measured_success,404
new_pf,combined_unseen,nominal,3000404,33,base,far,overlapping,2,0,0,1,0,0,50,4,12.213211747520628,6.157087836924267,6.06,1.5709121630757323,843.1299999792827,2046.4608000329463,57.79181600024458,max_steps,404
new_ppo,combined_unseen,nominal,3000404,33,base,far,overlapping,2,0,0,0,1,1,41,16,34.15213219706287,7.350282232692388,7.81,0.37771776730761175,12.267600010090973,1.055300010193605,0.3249487809825507,measured_success,404
new_pf,combined_unseen,nominal,3000404,34,acid,far,single,1,1,0,0,1,0,4,0,13.173584739797905,1.6568970470802244,1.67,0.07089704708022437,299.3188000036753,305.004399997415,151.08080000027257,measured_success,404
new_ppo,combined_unseen,nominal,3000404,34,acid,far,single,1,1,0,0,1,0,4,1,16.448447587636807,1.5284001697852143,1.56,0.05759983021478576,0.884300003235694,3.3865000077639706,1.0677000027499162,measured_success,404
new_pf,combined_unseen,nominal,3000404,35,base,medium,separated,2,0,0,0,1,1,3,1,3.287445331470347,4.14823956308447,3.98,0.18923956308446988,165.78170000138925,127.83639999543084,97.87269999894004,measured_success,404
new_ppo,combined_unseen,nominal,3000404,35,base,medium,separated,2,1,1,0,1,0,5,2,5.310318793920976,3.946329490222567,3.88,0.012670509777433114,0.9783999994397163,0.1545000050100498,0.22658000088995323,measured_success,404
new_pf,combined_unseen,nominal,3000404,36,acid,medium,separated,3,1,1,0,1,0,3,0,6.370413275624057,1.8606906632143443,1.9,0.02369066321434432,102.12929999397602,150.5518000049051,84.22703333296037,measured_success,404
