method,regime,distribution,task_seed,task_id,direction,difficulty,pka_family,true_pair_count,true_success,strict_success,severe_failure,measured_success,false_stop,steps,crossings,total_volume_ml,final_true_ph,final_measured_ph,final_abs_error,decision_time_ms_total,update_time_ms_total,controller_time_ms_per_step,stop_reason,benchmark_seed
new_pf,episode_bias_0p10,nominal,3000202,1,base,medium,single,1,0,0,0,1,1,2,2,6.369999999999999,7.958332393548099,8.11,0.14266760645190146,36.55140000046231,51.32400000729831,43.93770000388031,measured_success,202
new_ppo,episode_bias_0p10,nominal,3000202,1,base,medium,single,1,0,0,0,1,1,1,0,2.06,7.903078731561719,8.06,0.19792126843828228,0.20650000078603625,0.0208000055863522,0.22730000637238845,measured_success,202
new_pf,episode_bias_0p10,nominal,3000202,2,acid,medium,single,1,1,1,0,1,0,3,0,4.9399999999999995,1.9161291927545387,1.97,0.009129192754538717,127.35709999833489,85.23040000727633,70.8625000018704,measured_success,202
new_ppo,episode_bias_0p10,nominal,3000202,2,acid,medium,single,1,1,1,0,1,0,2,1,5.05,1.9003788281110312,1.95,0.006621171888968824,0.27879999834112823,0.037099998735357076,0.15794999853824265,measured_success,202
new_pf,episode_bias_0p10,nominal,3000202,3,acid,near,separated,2,1,0,0,1,0,5,1,4.3,3.6571515789313436,3.79,0.05384842106865628,21.125100000062957,102.21180000371533,24.667380000755657,measured_success,202
new_ppo,episode_bias_0p10,nominal,3000202,3,acid,near,separated,2,1,0,0,1,0,4,1,4.470000000000001,3.631311575817457,3.76,0.07968842418254285,0.5283999998937361,0.07280000136233866,0.1503000003140187,measured_success,202
new_pf,episode_bias_0p10,nominal,3000202,4,acid,medium,separated,2,1,1,0,1,0,2,1,4.6899999999999995,5.057702274051376,4.97,0.0032977259486237642,113.58189999737078,57.98829999548616,85.78509999642847,measured_success,202
new_ppo,episode_bias_0p10,nominal,3000202,4,acid,medium,separated,2,1,0,0,1,0,2,0,3.1100000000000003,5.139329502558882,5.06,0.07832950255888171,0.4155999995418824,0.04220000118948519,0.2289000003656838,measured_success,202
new_pf,episode_bias_0p10,nominal,3000202,5,base,near,single,1,1,0,0,1,0,5,3,6.2700000000000005,6.111719105569305,6.0,0.09571910556930519,265.3049000000465,134.00709998677485,79.86239999736426,measured_success,202
new_ppo,episode_bias_0p10,nominal,3000202,5,base,near,single,1,1,1,0,1,0,3,1,3.87,6.0390181525862925,5.93,0.023018152586292473,0.35149999166605994,0.04359999002190307,0.13169999389598766,measured_success,202
new_pf,episode_bias_0p10,nominal,3000202,6,base,medium,single,1,1,0,0,1,0,3,2,8.03,7.4256131850579905,7.54,0.06338681494200937,164.8970999958692,86.8793999979971,83.92549999795544,measured_success,202
new_ppo,episode_bias_0p10,nominal,3000202,6,base,medium,single,1,1,0,0,1,0,5,2,8.05,7.402117140975065,7.52,0.08688285902493487,0.5653000043821521,0.06869999197078869,0.12679999927058816,measured_success,202
new_pf,episode_bias_0p10,nominal,3000202,7,base,far,single,1,1,0,0,0,0,50,44,23.45000000000006,7.277348624271781,7.13,0.06665137572821944,1976.3349000131711,1073.963199996797,61.00596200019936,max_steps,202
new_ppo,episode_bias_0p10,nominal,3000202,7,base,far,single,1,0,0,0,0,0,50,28,32.680000000000014,6.912194799131221,6.76,0.43180520086877916,5.732400000852067,0.9712999744806439,0.13407399950665422,max_steps,202
new_pf,episode_bias_0p10,nominal,3000202,8,base,medium,separated,2,0,0,0,1,1,3,3,6.660000000000001,5.88679350728658,5.8,0.10079350728658021,194.667899995693,79.82879999326542,91.49889999631948,measured_success,202
new_ppo,episode_bias_0p10,nominal,3000202,8,base,medium,separated,2,0,0,0,1,1,3,3,5.249999999999999,5.939086371908177,5.86,0.1530863719081772,0.35339999885763973,0.05420000525191426,0.135866668036518,measured_success,202
new_pf,episode_bias_0p10,nominal,3000202,9,base,medium,separated,3,1,0,0,1,0,3,0,3.03,3.313208936537242,3.29,0.0647910634627582,9.606299994629808,56.662600007257424,22.08963333396241,measured_success,202
new_ppo,episode_bias_0p10,nominal,3000202,9,base,medium,separated,3,1,0,0,1,0,2,1,3.8,3.4301910049141737,3.41,0.05219100491417361,0.48239999887300655,0.037999998312443495,0.260199998592725,measured_success,202
new_pf,episode_bias_0p10,nominal,3000202,10,base,medium,overlapping,2,1,1,0,1,0,8,6,7.849999999999999,5.920425000421204,5.96,0.011574999578796152,383.2345999908284,252.84770000871504,79.51028749994293,measured_success,202
new_ppo,episode_bias_0p10,nominal,3000202,10,base,medium,overlapping,2,0,0,0,1,1,8,4,7.369999999999999,5.81391633191334,5.85,0.11808366808666015,0.8656999852973968,0.1480999926570803,0.12672499724430963,measured_success,202
new_pf,episode_bias_0p10,nominal,3000202,11,base,far,overlapping,3,0,0,1,0,0,50,40,17.330000000000048,7.151448864000145,7.28,1.3055511359998562,2845.390700007556,1175.3035000001546,80.41388400015421,max_steps,202
new_ppo,episode_bias_0p10,nominal,3000202,11,base,far,overlapping,3,0,0,1,0,0,50,45,17.930000000000025,9.602781608710615,9.73,1.1457816087106139,4.456699971342459,0.8587000047555193,0.10630799952195957,max_steps,202
new_pf,episode_bias_0p10,nominal,3000202,12,base,near,separated,2,1,0,0,1,0,2,0,1.76,2.772025048884119,2.78,0.05697495111588102,8.22409999818774,48.96989999542711,28.596999996807426,measured_success,202
new_ppo,episode_bias_0p10,nominal,3000202,12,base,near,separated,2,1,0,0,1,0,1,0,1.67,2.7438699276092766,2.75,0.08513007239072357,0.14399999781744555,0.018900005670730025,0.16290000348817557,measured_success,202
new_pf,episode_bias_0p10,nominal,3000202,13,base,near,separated,3,0,0,0,1,1,1,0,0.69,6.958506284047946,7.19,0.30649371595205377,5.4101000059745274,39.74680000101216,45.15690000698669,measured_success,202
