method,regime,distribution,task_seed,task_id,direction,difficulty,pka_family,true_pair_count,true_success,strict_success,severe_failure,measured_success,false_stop,steps,crossings,total_volume_ml,final_true_ph,final_measured_ph,final_abs_error,decision_time_ms_total,update_time_ms_total,controller_time_ms_per_step,stop_reason,benchmark_seed
new_pf,nominal,nominal,3000202,1,base,medium,single,1,1,0,0,1,0,4,3,8.63,8.187495694973137,8.19,0.08649569497313614,96.54139999474864,136.2911999967764,58.208149997881264,measured_success,202
new_ppo,nominal,nominal,3000202,1,base,medium,single,1,1,1,0,1,0,2,1,2.67,8.107352272616971,8.11,0.006352272616970467,0.33569999504834414,0.0478999936603941,0.19179999435436912,measured_success,202
new_pf,nominal,nominal,3000202,2,acid,medium,single,1,1,0,0,1,0,2,0,4.46,1.9925232573473552,1.99,0.08552325734735522,121.37069999880623,58.52489999961108,89.94779999920866,measured_success,202
new_ppo,nominal,nominal,3000202,2,acid,medium,single,1,1,1,0,1,0,2,1,5.05,1.9003788281110312,1.9,0.006621171888968824,0.17529999604448676,0.023799999326001853,0.0995499976852443,measured_success,202
new_pf,nominal,nominal,3000202,3,acid,near,separated,2,1,0,0,1,0,5,0,3.4899999999999998,3.775356764125439,3.78,0.064356764125439,18.247400010295678,87.78610000445042,21.20670000294922,measured_success,202
new_ppo,nominal,nominal,3000202,3,acid,near,separated,2,1,1,0,1,0,3,0,3.72,3.742645696967519,3.74,0.031645696967518955,0.4273999948054552,0.061399994592648,0.16293332979936773,measured_success,202
new_pf,nominal,nominal,3000202,4,acid,medium,separated,2,1,1,0,1,0,2,1,4.96,5.021754142113837,5.02,0.039245857886163193,107.51989999698708,71.51650000014342,89.51819999856525,measured_success,202
new_ppo,nominal,nominal,3000202,4,acid,medium,separated,2,1,0,0,1,0,2,0,3.1100000000000003,5.139329502558882,5.14,0.07832950255888171,0.33319999783998355,0.04049999552080408,0.18684999668039382,measured_success,202
new_pf,nominal,nominal,3000202,5,base,near,single,1,1,1,0,1,0,5,3,5.59,6.057765690921016,6.06,0.04176569092101623,306.9151999952737,132.02719999389956,87.78847999783466,measured_success,202
new_ppo,nominal,nominal,3000202,5,base,near,single,1,1,1,0,1,0,2,2,3.92,5.990253664710686,5.99,0.02574633528931436,0.31269999453797936,0.04159999662078917,0.17714999557938427,measured_success,202
new_pf,nominal,nominal,3000202,6,base,medium,single,1,1,0,0,1,0,4,4,8.77,7.41377106295309,7.41,0.07522893704690947,179.7309999965364,126.19460000132676,76.4813999994658,measured_success,202
new_ppo,nominal,nominal,3000202,6,base,medium,single,1,1,1,0,1,0,2,1,6.8100000000000005,7.501124891603835,7.5,0.01212489160383523,0.4273999948054552,0.045599997974932194,0.2364999963901937,measured_success,202
new_pf,nominal,nominal,3000202,7,base,far,single,1,1,0,0,1,0,15,10,22.730000000000004,7.277404551633083,7.28,0.06659544836691733,841.4929999926244,362.8350000071805,80.28853333332033,measured_success,202
