method,regime,distribution,task_seed,task_id,direction,difficulty,pka_family,true_pair_count,true_success,strict_success,severe_failure,measured_success,false_stop,steps,crossings,total_volume_ml,final_true_ph,final_measured_ph,final_abs_error,decision_time_ms_total,update_time_ms_total,controller_time_ms_per_step,stop_reason,benchmark_seed
new_pf,observation_noise_0p01,nominal,3000303,1,base,far,separated,3,1,0,0,1,0,9,6,14.1,6.940373424484816,6.94,0.054626575515183795,470.1353000054951,226.29990000132238,77.38168888964638,measured_success,303
new_ppo,observation_noise_0p01,nominal,3000303,1,base,far,separated,3,1,0,0,1,0,7,4,14.8,6.94037374050785,6.94,0.054626259492150275,0.9538000012980774,0.1568000006955117,0.1586571431419413,measured_success,303
new_pf,observation_noise_0p01,nominal,3000303,2,base,medium,single,1,1,0,0,1,0,12,0,13.01,3.6132219724039416,3.62,0.06477802759605833,162.05429999536136,225.9766999995918,32.3359166662461,measured_success,303
new_ppo,observation_noise_0p01,nominal,3000303,2,base,medium,single,1,1,0,0,1,0,17,0,12.89999999999999,3.60455495397078,3.59,0.07344504602921997,2.07570000202395,0.3512000112095848,0.142758824307855,measured_success,303
new_pf,observation_noise_0p01,nominal,3000303,3,acid,medium,single,1,1,1,0,1,0,2,0,3.07,6.721255384087158,6.71,0.042255384087157566,6.244299998797942,31.322700007876847,18.783500003337394,measured_success,303
new_ppo,observation_noise_0p01,nominal,3000303,3,acid,medium,single,1,1,1,0,1,0,2,0,3.1100000000000003,6.699447854987801,6.69,0.02044785498780044,0.2406999992672354,0.028800001018680632,0.13475000014295802,measured_success,303
new_pf,observation_noise_0p01,nominal,3000303,4,acid,near,single,1,0,0,0,1,1,1,1,3.49,2.1573728281875564,2.17,0.10162717181244352,42.18419999961043,32.82680000120308,75.01100000081351,measured_success,303
new_ppo,observation_noise_0p01,nominal,3000303,4,acid,near,single,1,1,1,0,1,0,1,1,3.06,2.21980992999596,2.24,0.039190070004039956,0.11159999849041924,0.014199998986441642,0.12579999747686088,measured_success,303
new_pf,observation_noise_0p01,nominal,3000303,5,base,medium,separated,3,1,0,0,1,0,2,0,5.11,3.122596713099414,3.12,0.07340328690058628,72.09700001112651,67.61930000357097,69.85815000734874,measured_success,303
new_ppo,observation_noise_0p01,nominal,3000303,5,base,medium,separated,3,0,0,0,1,1,4,2,6.619999999999999,3.090928520097102,3.1,0.105071479902898,0.5396999986260198,0.07830000686226413,0.15450000137207098,measured_success,303
new_pf,observation_noise_0p01,nominal,3000303,6,acid,near,single,1,1,0,0,1,0,6,4,2.28,6.2347495948107206,6.23,0.05074959481072039,255.14880000264384,131.13529999827733,64.38068333348686,measured_success,303
new_ppo,observation_noise_0p01,nominal,3000303,6,acid,near,single,1,1,0,0,1,0,5,2,4.48,6.234780297716595,6.24,0.05078029771659498,0.5957999965175986,0.09779999527381733,0.1387199983582832,measured_success,303
new_pf,observation_noise_0p01,nominal,3000303,7,acid,medium,single,1,1,0,0,1,0,4,0,4.9,7.738491479670838,7.73,0.08749147967083815,17.106100007367786,86.19429999089334,25.825099999565282,measured_success,303
new_ppo,observation_noise_0p01,nominal,3000303,7,acid,medium,single,1,1,0,0,1,0,7,0,4.86,7.747294339848162,7.75,0.09629433984816238,0.8060000036493875,0.13180000678403303,0.13397143006191722,measured_success,303
new_pf,observation_noise_0p01,nominal,3000303,8,acid,medium,separated,3,1,0,0,1,0,4,2,4.8100000000000005,4.5638170439120245,4.56,0.06881704391202437,69.4727999944007,123.8998999906471,48.34317499626195,measured_success,303
new_ppo,observation_noise_0p01,nominal,3000303,8,acid,medium,separated,3,1,0,0,1,0,3,2,3.72,4.558348280418517,4.56,0.06334828041851726,0.24000000121304765,0.03339999238960445,0.09113333120088403,measured_success,303
new_pf,observation_noise_0p01,nominal,3000303,9,acid,near,separated,2,1,1,0,1,0,2,0,4.51,1.7504901451284023,1.75,0.007490145128402181,110.1522999961162,57.594500001869164,83.87339999899268,measured_success,303
new_ppo,observation_noise_0p01,nominal,3000303,9,acid,near,separated,2,1,1,0,1,0,2,0,4.16,1.7814114397869871,1.78,0.03841143978698702,0.6213999949977733,0.050499998906161636,0.3359499969519675,measured_success,303
new_pf,observation_noise_0p01,nominal,3000303,10,acid,medium,single,1,1,0,0,1,0,8,0,13.650000000000002,1.6512727877041016,1.65,0.07727278770410151,245.88749999384163,159.71739998349221,50.70061249716673,measured_success,303
new_ppo,observation_noise_0p01,nominal,3000303,10,acid,medium,single,1,1,0,0,1,0,8,0,14.02,1.635425042507232,1.63,0.06142504250723202,0.543100009963382,0.08209999214159325,0.07815000026312191,measured_success,303
new_pf,observation_noise_0p01,nominal,3000303,11,acid,near,separated,3,1,1,0,1,0,1,1,2.23,2.236797586784239,2.23,0.00620241321576076,49.796699997386895,56.38360000011744,106.18029999750433,measured_success,303
new_ppo,observation_noise_0p01,nominal,3000303,11,acid,near,separated,3,1,1,0,1,0,3,3,4.6,2.2021792938986122,2.21,0.04082070610138766,0.3730999887920916,0.053699994168709964,0.14226666098693386,measured_success,303
new_pf,observation_noise_0p01,nominal,3000303,12,base,medium,overlapping,2,1,1,0,1,0,6,2,17.959999999999997,5.33680179938661,5.34,0.046198200613390306,280.7948000045144,167.29369999666233,74.68141666686279,measured_success,303
new_ppo,observation_noise_0p01,nominal,3000303,12,base,medium,overlapping,2,1,1,0,1,0,6,2,17.77,5.38253581445559,5.39,0.0004641855444100784,0.36860000545857474,0.058999998145736754,0.07126666726738524,measured_success,303
new_pf,observation_noise_0p01,nominal,3000303,13,base,medium,separated,2,1,0,0,1,0,1,0,2.57,6.744588481698569,6.75,0.07441151830143067,5.8576000010361895,59.3730000036885,65.23060000472469,measured_success,303
new_ppo,observation_noise_0p01,nominal,3000303,13,base,medium,separated,2,1,0,0,1,0,4,3,4.12,6.918489748755718,6.91,0.09948974875571803,0.545299997611437,0.06990000838413835,0.15380000149889383,measured_success,303
new_pf,observation_noise_0p01,nominal,3000303,14,acid,medium,single,1,1,0,0,1,0,12,0,16.48,6.604778711013871,6.61,0.09077871101387114,208.1085000099847,241.96929999743588,37.506483333951714,measured_success,303
new_ppo,observation_noise_0p01,nominal,3000303,14,acid,medium,single,1,0,0,0,1,1,20,0,16.349999999999994,6.614789718477365,6.61,0.10078971847736451,2.1271000005071983,0.3817000033450313,0.12544000019261148,measured_success,303
new_pf,observation_noise_0p01,nominal,3000303,15,base,far,single,1,1,0,0,1,0,13,7,13.029999999999996,8.767897977192092,8.78,0.06289797719209211,683.8522999896668,356.9587000165484,80.06238461586271,measured_success,303
new_ppo,observation_noise_0p01,nominal,3000303,15,base,far,single,1,1,0,0,1,0,10,5,15.01,8.76615459014559,8.76,0.06115459014558944,1.1521000051288866,0.17559999832883477,0.13277000034577213,measured_success,303
new_pf,observation_noise_0p01,nominal,3000303,16,base,far,separated,2,1,1,0,1,0,1,0,6.39,5.10622450271228,5.11,0.004775497287719865,53.44009999680566,45.73600000003353,99.17609999683918,measured_success,303
new_ppo,observation_noise_0p01,nominal,3000303,16,base,far,separated,2,1,0,0,1,0,1,0,6.25,5.055115234182638,5.06,0.05588476581736135,0.14910000027157366,0.020499996026046574,0.16959999629762024,measured_success,303
new_pf,observation_noise_0p01,nominal,3000303,17,base,medium,separated,2,1,0,0,1,0,5,5,9.66,6.3156291747874125,6.31,0.09762917478741251,340.6222999910824,180.70999999326887,104.26645999687025,measured_success,303
new_ppo,observation_noise_0p01,nominal,3000303,17,base,medium,separated,2,1,1,0,1,0,4,2,7.01,6.211596872730448,6.21,0.006403127269551945,0.7014999937382527,0.08779999916441739,0.19732499822566751,measured_success,303
new_pf,observation_noise_0p01,nominal,3000303,18,acid,medium,separated,3,1,0,0,1,0,3,0,8.23,1.8018530755936668,1.8,0.07185307559366683,172.2386000037659,99.47960000135936,90.57273333504175,measured_success,303
new_ppo,observation_noise_0p01,nominal,3000303,18,acid,medium,separated,3,1,1,0,1,0,2,0,8.43,1.778889910248639,1.77,0.04888991024863909,0.38049999420763925,0.0461999952676706,0.21334999473765492,measured_success,303
new_pf,observation_noise_0p01,nominal,3000303,19,base,medium,single,1,1,1,0,1,0,12,7,16.069999999999997,7.005979832519181,7.0,0.036979832519180356,669.8761000079685,307.34799999481766,81.43534166689885,measured_success,303
new_ppo,observation_noise_0p01,nominal,3000303,19,base,medium,single,1,1,0,0,1,0,4,2,9.81,6.8803196061673475,6.87,0.0886803938326528,0.49250000301981345,0.07840000762371346,0.14272500266088173,measured_success,303
