method,regime,distribution,task_seed,task_id,direction,difficulty,pka_family,true_pair_count,true_success,strict_success,severe_failure,measured_success,false_stop,steps,crossings,total_volume_ml,final_true_ph,final_measured_ph,final_abs_error,decision_time_ms_total,update_time_ms_total,controller_time_ms_per_step,stop_reason,benchmark_seed
new_pf,random_walk_drift_0p01,nominal,3000555,1,acid,medium,single,1,1,0,0,1,0,7,0,14.700000000000001,6.268620556441174,6.24,0.09462055644117395,236.0128000000259,436.47980000969255,96.07037142995978,measured_success,555
new_ppo,random_walk_drift_0p01,nominal,3000555,1,acid,medium,single,1,0,0,0,1,1,8,0,14.67,6.276858004690689,6.26,0.10285800469068906,3.576300005079247,0.2170000079786405,0.47416250163223594,measured_success,555
new_pf,random_walk_drift_0p01,nominal,3000555,2,base,medium,separated,2,1,0,0,1,0,3,0,7.079999999999999,6.2262121263496155,6.21,0.06978787365038475,501.82520000089426,235.05760000261944,245.62760000117123,measured_success,555
new_ppo,random_walk_drift_0p01,nominal,3000555,2,base,medium,separated,2,1,1,0,1,0,2,1,7.75,6.3385842064547955,6.33,0.042584206454795215,0.40580001223133877,0.05559999408433214,0.23070000315783545,measured_success,555
new_pf,random_walk_drift_0p01,nominal,3000555,3,acid,medium,single,1,1,1,0,1,0,3,0,7.06,1.8589149725591385,1.86,0.033914972559138556,496.172299994214,290.967200002342,262.37983333218534,measured_success,555
new_ppo,random_walk_drift_0p01,nominal,3000555,3,acid,medium,single,1,1,0,0,1,0,2,0,6.92,1.875778195404965,1.88,0.05077819540496509,0.41290000081062317,0.056599994422867894,0.23474999761674553,measured_success,555
new_pf,random_walk_drift_0p01,nominal,3000555,4,acid,far,single,1,1,0,0,1,0,4,0,13.379999999999999,1.807903256898876,1.8,0.09190325689887602,477.63689999555936,317.09569999657106,198.6831499980326,measured_success,555
new_ppo,random_walk_drift_0p01,nominal,3000555,4,acid,far,single,1,1,0,0,1,0,4,0,13.54,1.7922132534267279,1.79,0.07621325342672791,2.6989999969373457,0.1038999980664812,0.7007249987509567,measured_success,555
new_pf,random_walk_drift_0p01,nominal,3000555,5,acid,far,single,1,0,0,0,0,0,50,47,14.179999999999989,4.947791165388377,4.88,0.14820883461162282,7775.188800005708,2511.167300021043,205.72712200053502,max_steps,555
new_ppo,random_walk_drift_0p01,nominal,3000555,5,acid,far,single,1,0,0,0,0,0,50,44,32.34999999999998,5.422569711108732,5.36,0.326569711108732,20.139400010521058,1.385600036883261,0.4305000009480864,max_steps,555
new_pf,random_walk_drift_0p01,nominal,3000555,6,base,medium,single,1,1,0,0,1,0,4,4,6.27,8.337099103987427,8.38,0.08690089601257256,629.9193999948329,373.92360000376357,250.96074999964912,measured_success,555
new_ppo,random_walk_drift_0p01,nominal,3000555,6,base,medium,single,1,1,1,0,1,0,9,1,3.109999999999999,8.452424420974033,8.52,0.028424420974033637,1.2201999925309792,0.20219999714754522,0.15804444329761383,measured_success,555
new_pf,random_walk_drift_0p01,nominal,3000555,7,base,far,separated,2,0,0,1,0,0,50,40,21.160000000000046,8.520683572241069,8.41,0.5513164277589304,8120.283499985817,3391.4630000290344,230.23493000029703,max_steps,555
new_ppo,random_walk_drift_0p01,nominal,3000555,7,base,far,separated,2,0,0,1,0,0,50,45,21.47999999999993,10.076088442837772,9.96,1.004088442837773,14.0232999692671,5.403400005889125,0.3885339995031245,max_steps,555
new_pf,random_walk_drift_0p01,nominal,3000555,8,acid,medium,single,1,1,1,0,1,0,5,3,6.5,2.841627254085971,2.88,0.04737274591402896,636.9224000154645,354.0160999982618,198.18770000274526,measured_success,555
new_ppo,random_walk_drift_0p01,nominal,3000555,8,acid,medium,single,1,0,0,0,1,1,6,3,8.92,2.7605867695542656,2.8,0.12841323044573416,0.9495999984210357,0.15249998978106305,0.18368333136701645,measured_success,555
new_pf,random_walk_drift_0p01,nominal,3000555,9,acid,near,separated,3,1,0,0,1,0,4,0,2.71,4.555076614321299,4.57,0.07307661432129908,43.525899993255734,244.2483999984688,71.94357499793114,measured_success,555
new_ppo,random_walk_drift_0p01,nominal,3000555,9,acid,near,separated,3,1,1,0,1,0,2,0,3.1100000000000003,4.500191237254569,4.51,0.018191237254568726,0.39140000444604084,0.04859999899053946,0.22000000171829015,measured_success,555
new_pf,random_walk_drift_0p01,nominal,3000555,10,base,near,separated,3,1,0,0,1,0,4,1,5.62,6.307108912036355,6.32,0.06910891203635483,232.32610001286957,288.7492999943788,130.2688500018121,measured_success,555
new_ppo,random_walk_drift_0p01,nominal,3000555,10,base,near,separated,3,1,1,0,1,0,1,1,2.06,6.2755523166709235,6.29,0.03755231667092307,0.23260000307345763,0.023699998564552516,0.25630000163801014,measured_success,555
new_pf,random_walk_drift_0p01,nominal,3000555,11,base,far,single,1,0,0,1,0,0,50,45,23.160000000000057,9.249005923962581,9.37,2.4810059239625817,7942.634499988344,2728.0106999896816,213.4129039995605,max_steps,555
new_ppo,random_walk_drift_0p01,nominal,3000555,11,base,far,single,1,0,0,1,0,0,50,48,20.909999999999993,4.2661651408939605,4.39,2.5018348591060393,15.546199996606447,3.2220999855780974,0.3753659996436909,max_steps,555
new_pf,random_walk_drift_0p01,nominal,3000555,12,acid,medium,single,1,1,0,0,1,0,3,0,4.699999999999999,4.99463254927927,4.97,0.07863254927926988,32.31899999809684,153.89850000065053,62.072499999582455,measured_success,555
new_ppo,random_walk_drift_0p01,nominal,3000555,12,acid,medium,single,1,1,1,0,1,0,3,1,4.97,4.874051380435091,4.85,0.04194861956490925,0.6009999924572185,0.08070000330917537,0.22723333192213127,measured_success,555
new_pf,random_walk_drift_0p01,nominal,3000555,13,base,near,single,1,1,0,0,1,0,4,0,3.0300000000000002,2.605835727884738,2.6,0.05516427211526187,39.02540000126464,227.4286000028951,66.61350000103994,measured_success,555
new_ppo,random_walk_drift_0p01,nominal,3000555,13,base,near,single,1,1,1,0,1,0,3,0,3.3299999999999996,2.6589691622894023,2.65,0.002030837710597755,0.5001999961677939,0.06830000347690657,0.18949999988156682,measured_success,555
new_pf,random_walk_drift_0p01,nominal,3000555,14,base,far,separated,3,1,1,0,1,0,2,0,6.1899999999999995,5.458732031209873,5.46,0.040267968790126396,168.1849999949918,202.07070000469685,185.12784999984433,measured_success,555
new_ppo,random_walk_drift_0p01,nominal,3000555,14,base,far,separated,3,1,1,0,1,0,1,0,6.25,5.481332128727841,5.48,0.01766787127215874,0.23949999740580097,0.030700000934302807,0.2701999983401038,measured_success,555
new_pf,random_walk_drift_0p01,nominal,3000555,15,acid,medium,single,1,1,1,0,1,0,6,1,16.380000000000003,4.5008793927475725,4.5,0.03312060725242727,822.367500004475,423.8779999941471,207.70758333310368,measured_success,555
new_ppo,random_walk_drift_0p01,nominal,3000555,15,acid,medium,single,1,1,0,0,1,0,15,0,15.049999999999994,4.622244299681604,4.61,0.08824429968160441,4.365799992228858,0.3848999986075796,0.3167133327224292,measured_success,555
new_pf,random_walk_drift_0p01,nominal,3000555,16,base,medium,overlapping,2,1,0,0,1,0,5,0,10.3,4.290857939452774,4.28,0.0881420605472254,350.26630001084413,312.0115999990958,132.45558000198798,measured_success,555
new_ppo,random_walk_drift_0p01,nominal,3000555,16,base,medium,overlapping,2,1,0,0,1,0,4,1,10.82,4.471148756041355,4.45,0.09214875604135564,0.7279000055859797,0.10850000398932025,0.20910000239382498,measured_success,555
new_pf,random_walk_drift_0p01,nominal,3000555,17,acid,medium,single,1,1,1,0,1,0,4,4,6.83,2.9848577786929047,2.94,0.03585777869290485,678.4129000006942,291.89190000033705,242.5762000002578,measured_success,555
new_ppo,random_walk_drift_0p01,nominal,3000555,17,acid,medium,single,1,1,0,0,1,0,4,4,5.52,3.0025117080789103,2.96,0.05351170807891048,2.8968000115128234,0.12210000568302348,0.7547250042989617,measured_success,555
new_pf,random_walk_drift_0p01,nominal,3000555,18,base,medium,overlapping,2,1,1,0,1,0,12,0,17.78,4.180869242663293,4.14,0.04013075733670668,575.6922999935341,635.0090999840177,100.89178333146265,measured_success,555
new_ppo,random_walk_drift_0p01,nominal,3000555,18,base,medium,overlapping,2,1,1,0,1,0,19,0,18.139999999999993,4.2155384639869755,4.14,0.0054615360130245705,9.684599986940157,0.4765000121551566,0.5347947367944902,measured_success,555
new_pf,random_walk_drift_0p01,nominal,3000555,19,acid,medium,single,1,1,1,0,1,0,5,3,8.64,3.734688719635048,3.72,0.0083112803649521,825.6063000080758,392.03139999881387,243.52754000137793,measured_success,555
new_ppo,random_walk_drift_0p01,nominal,3000555,19,acid,medium,single,1,1,1,0,1,0,8,5,12.929999999999998,3.730727524029594,3.72,0.012272475970406038,1.3247999813756905,0.20390000281622633,0.1910874980239896,measured_success,555
new_pf,random_walk_drift_0p01,nominal,3000555,20,base,medium,separated,2,1,1,0,1,0,4,2,3.11,6.606639828911966,6.62,0.003360171088034214,193.97899999603396,259.6680999995442,113.41177499889454,measured_success,555
new_ppo,random_walk_drift_0p01,nominal,3000555,20,base,medium,separated,2,1,0,0,1,0,3,2,3.8600000000000003,6.535738133052305,6.54,0.07426186694769488,0.4754999972647056,0.07809999806340784,0.1845333317760378,measured_success,555
new_pf,random_walk_drift_0p01,nominal,3000555,21,base,medium,single,1,1,0,0,1,0,3,1,4.4399999999999995,5.8785243157772555,5.87,0.08752431577725517,369.67050000384916,298.4690999946906,222.71319999951325,measured_success,555
new_ppo,random_walk_drift_0p01,nominal,3000555,21,base,medium,single,1,1,0,0,1,0,5,1,5.48,5.87855360456156,5.88,0.0875536045615597,3.8650000060442835,0.12959999730810523,0.7989200006704777,measured_success,555
new_pf,random_walk_drift_0p01,nominal,3000555,22,acid,far,single,1,1,0,0,1,0,9,5,16.36,4.965880769651378,5.01,0.08611923034862201,1244.8769999900833,575.4842000096687,202.262355555528,measured_success,555
new_ppo,random_walk_drift_0p01,nominal,3000555,22,acid,far,single,1,1,0,0,1,0,10,5,19.189999999999998,5.0000854408198965,5.04,0.051914559180103126,1.602199990884401,0.26399998751003295,0.18661999783944339,measured_success,555
new_pf,random_walk_drift_0p01,nominal,3000555,23,acid,near,separated,3,1,0,0,1,0,3,1,4.4,5.709251417377862,5.7,0.0727485826221379,175.29589999321615,222.8157999998075,132.70389999767454,measured_success,555
new_ppo,random_walk_drift_0p01,nominal,3000555,23,acid,near,separated,3,1,1,0,1,0,1,0,2.06,5.786214783111989,5.79,0.004214783111988751,0.22929999977350235,0.02179999864893034,0.2510999984224327,measured_success,555
new_pf,random_walk_drift_0p01,nominal,3000555,24,base,near,separated,2,0,0,0,1,1,2,0,1.1099999999999999,2.518971693645999,2.54,0.11502830635400096,25.088899994443636,158.11670000402955,91.6027999992366,measured_success,555
new_ppo,random_walk_drift_0p01,nominal,3000555,24,base,near,separated,2,1,1,0,1,0,1,0,1.67,2.585763323415695,2.59,0.04823667658430475,0.25069999537663534,0.030999995942693204,0.28169999131932855,measured_success,555
new_pf,random_walk_drift_0p01,nominal,3000555,25,acid,medium,separated,2,1,1,0,1,0,4,1,8.43,3.4165648432399056,3.44,0.033435156760094564,345.6187000047066,254.64970000030007,150.06710000125167,measured_success,555
new_ppo,random_walk_drift_0p01,nominal,3000555,25,acid,medium,separated,2,1,1,0,1,0,7,0,7.85,3.483873114486328,3.51,0.03387311448632779,4.196700007014442,0.21099999867146835,0.6296714293837015,measured_success,555
new_pf,random_walk_drift_0p01,nominal,3000555,26,base,medium,separated,3,1,1,0,1,0,3,0,9.68,7.634189199369393,7.65,0.038810800630606934,359.03400000097463,255.87860000086948,204.97086666728137,measured_success,555
new_ppo,random_walk_drift_0p01,nominal,3000555,26,base,medium,separated,3,0,0,0,1,1,3,0,9.48,7.571204540430356,7.59,0.10179545956964375,0.46120000479277223,0.06919999577803537,0.1768000001902692,measured_success,555
new_pf,random_walk_drift_0p01,nominal,3000555,27,acid,near,separated,2,1,1,0,1,0,2,1,1.72,7.758508453404758,7.76,0.04749154659524191,23.070900002494454,193.95389999408508,108.51239999828977,measured_success,555
new_ppo,random_walk_drift_0p01,nominal,3000555,27,acid,near,separated,2,1,1,0,1,0,2,2,3.16,7.818344730649704,7.82,0.012344730649703983,0.47199999971780926,0.06340000254567713,0.2677000011317432,measured_success,555
new_pf,random_walk_drift_0p01,nominal,3000555,28,base,near,single,1,1,0,0,1,0,3,1,4.720000000000001,6.26363116478389,6.26,0.09063116478388977,185.50220000179252,238.15329999342794,141.21849999840683,measured_success,555
new_ppo,random_walk_drift_0p01,nominal,3000555,28,base,near,single,1,1,0,0,1,0,2,1,3.1100000000000003,6.25479236100891,6.27,0.08179236100890996,0.4903000080958009,0.05570000212173909,0.27300000510877,measured_success,555
new_pf,random_walk_drift_0p01,nominal,3000555,29,base,far,single,1,1,1,0,1,0,8,4,20.3,9.961223304228447,9.96,0.01077669577155227,548.2599999886588,602.6531000024988,143.8641374988947,measured_success,555
new_ppo,random_walk_drift_0p01,nominal,3000555,29,base,far,single,1,1,0,0,1,0,49,1,16.929999999999996,10.036169139362983,10.06,0.06416913936298307,14.23640005668858,3.21319999784464,0.3561142868272086,measured_success,555
new_pf,random_walk_drift_0p01,nominal,3000555,30,acid,far,separated,2,1,0,0,1,0,6,0,22.48,1.8229436881649996,1.8,0.07994368816499953,472.4268999998458,426.1653000066872,149.7653666677555,measured_success,555
