method,regime,distribution,task_seed,task_id,direction,difficulty,pka_family,true_pair_count,true_success,strict_success,severe_failure,measured_success,false_stop,steps,crossings,total_volume_ml,final_true_ph,final_measured_ph,final_abs_error,decision_time_ms_total,update_time_ms_total,controller_time_ms_per_step,stop_reason,benchmark_seed
new_pf,response_fraction_0p70,nominal,3000555,1,acid,medium,single,1,1,0,0,1,0,7,1,15.229999999999997,6.095685840711525,6.15,0.07831415928847552,136.30600001488347,307.4738000141224,63.39711428985798,measured_success,555
new_ppo,response_fraction_0p70,nominal,3000555,1,acid,medium,single,1,1,1,0,1,0,10,1,15.049999999999997,6.161294909363299,6.2,0.012705090636701222,3.694000013638288,0.2628999936860055,0.3956900007324293,measured_success,555
new_pf,response_fraction_0p70,nominal,3000555,2,base,medium,separated,2,0,0,0,1,1,3,1,8.75,6.510716207002293,6.35,0.21471620700229277,384.3399999968824,177.0970999932615,187.14569999671463,measured_success,555
new_ppo,response_fraction_0p70,nominal,3000555,2,base,medium,separated,2,0,0,0,1,1,3,1,8.55,6.4753570695437705,6.34,0.1793570695437703,0.5548999906750396,0.08350000280188397,0.21279999782564119,measured_success,555
new_pf,response_fraction_0p70,nominal,3000555,3,acid,medium,single,1,1,1,0,1,0,3,1,7.73,1.7854608276476909,1.86,0.03953917235230908,370.9009000012884,198.44129999546567,189.78073333225134,measured_success,555
new_ppo,response_fraction_0p70,nominal,3000555,3,acid,medium,single,1,0,0,0,1,1,3,1,8.86,1.6850704137842576,1.82,0.13992958621574236,0.6304000053205527,0.08840000373311341,0.23960000301788872,measured_success,555
new_pf,response_fraction_0p70,nominal,3000555,4,acid,far,single,1,1,1,0,1,0,4,1,14.57,1.7064870217763,1.8,0.009512978223700008,396.08790000056615,220.36799999477807,154.11397499883606,measured_success,555
new_ppo,response_fraction_0p70,nominal,3000555,4,acid,far,single,1,0,0,0,1,1,4,1,16.25,1.6050024149389914,1.74,0.11099758506100854,0.7282000005943701,2.13870000152383,0.71672500052955,measured_success,555
new_pf,response_fraction_0p70,nominal,3000555,5,acid,far,single,1,0,0,0,1,1,30,5,12.379999999999987,4.935212951752071,5.09,0.16078704824792922,3249.9098999687703,1146.2326000037137,146.53808333241614,measured_success,555
new_ppo,response_fraction_0p70,nominal,3000555,5,acid,far,single,1,0,0,0,1,1,25,13,47.85000000000001,4.724809198659589,5.13,0.37119080134041127,3.499599995848257,0.6187000180943869,0.16473200055770576,measured_success,555
new_pf,response_fraction_0p70,nominal,3000555,6,base,medium,single,1,1,1,0,1,0,17,2,7.120000000000001,8.381838105638998,8.35,0.04216189436100137,2000.2376000047661,734.0709999916726,160.84168235273168,measured_success,555
new_ppo,response_fraction_0p70,nominal,3000555,6,base,medium,single,1,0,0,0,1,1,8,3,5.050000000000001,8.604278027694512,8.51,0.18027802769451284,1.4915999927325174,0.23979999241419137,0.2164249981433386,measured_success,555
new_pf,response_fraction_0p70,nominal,3000555,7,base,far,separated,2,0,0,0,1,1,49,3,18.27000000000003,9.530189216976627,9.13,0.45818921697662773,6031.209500019031,2203.6268999872846,168.0578857144146,measured_success,555
new_ppo,response_fraction_0p70,nominal,3000555,7,base,far,separated,2,0,0,1,1,1,11,5,18.259999999999998,9.822389268861905,9.1,0.7503892688619054,1.807300010113977,0.3060000017285347,0.19211818289477378,measured_success,555
new_pf,response_fraction_0p70,nominal,3000555,8,acid,medium,single,1,1,1,0,1,0,13,1,6.8000000000000025,2.888706208159652,2.86,0.0002937918403476125,1610.7166999863693,563.9212999958545,167.27984615247877,measured_success,555
new_ppo,response_fraction_0p70,nominal,3000555,8,acid,medium,single,1,0,0,0,1,1,5,2,11.469999999999999,3.0314381303754985,2.79,0.14243813037549868,0.988599997072015,0.14709999959450215,0.22713999933330342,measured_success,555
new_pf,response_fraction_0p70,nominal,3000555,9,acid,near,separated,3,1,0,0,1,0,4,0,2.87,4.5331100100300645,4.56,0.05111001003006432,30.81519999250304,191.94040000002133,55.68889999813109,measured_success,555
new_ppo,response_fraction_0p70,nominal,3000555,9,acid,near,separated,3,1,1,0,1,0,2,0,3.1100000000000003,4.500191237254569,4.57,0.018191237254568726,0.4789000013261102,0.06270000449148938,0.2708000029087998,measured_success,555
new_pf,response_fraction_0p70,nominal,3000555,10,base,near,separated,3,0,0,0,1,1,2,1,2.64,6.431680651257238,6.3,0.193680651257238,167.7828000028967,104.78539999894565,136.28410000092117,measured_success,555
new_ppo,response_fraction_0p70,nominal,3000555,10,base,near,separated,3,1,1,0,1,0,5,1,4.28,6.244241805069974,6.27,0.006241805069973516,4.821099995751865,0.1548000000184402,0.9951799991540611,measured_success,555
new_pf,response_fraction_0p70,nominal,3000555,11,base,far,single,1,0,0,1,0,0,50,20,21.770000000000067,5.558951483086048,6.41,1.2090485169139518,5121.09209998016,2246.3564000136103,147.3489699998754,max_steps,555
new_ppo,response_fraction_0p70,nominal,3000555,11,base,far,single,1,0,0,1,1,1,4,2,14.11,4.675806420747989,6.79,2.0921935792520108,0.6477999995695427,0.09439999848837033,0.18554999951447826,measured_success,555
new_pf,response_fraction_0p70,nominal,3000555,12,acid,medium,single,1,0,0,0,1,1,3,1,5.26,4.704959226407839,4.87,0.21104077359216156,28.325300008873455,194.8015000016312,74.37560000350156,measured_success,555
new_ppo,response_fraction_0p70,nominal,3000555,12,acid,medium,single,1,1,0,0,1,0,7,2,6.43,4.982512743335475,4.92,0.06651274333547441,1.5073000104166567,0.2195999913965352,0.2467000002590274,measured_success,555
new_pf,response_fraction_0p70,nominal,3000555,13,base,near,single,1,1,1,0,1,0,4,0,3.31,2.6553763011572036,2.62,0.005623698842796454,37.03790000145091,166.77790000539972,50.953950001712656,measured_success,555
new_ppo,response_fraction_0p70,nominal,3000555,13,base,near,single,1,1,1,0,1,0,3,1,3.5199999999999996,2.6935172858670233,2.63,0.03251728586702329,0.5381999872042798,0.07779999577905983,0.2053333276611132,measured_success,555
