method,regime,distribution,task_seed,task_id,direction,difficulty,pka_family,true_pair_count,true_success,strict_success,severe_failure,measured_success,false_stop,steps,crossings,total_volume_ml,final_true_ph,final_measured_ph,final_abs_error,decision_time_ms_total,update_time_ms_total,controller_time_ms_per_step,stop_reason,benchmark_seed
new_pf,titrant_scale_0p90,nominal,3000101,1,acid,medium,single,1,1,1,0,1,0,2,1,6.28,2.711848200595388,2.71,0.04915179940461201,118.79929999849992,141.34309999644756,130.07119999747374,measured_success,101
new_ppo,titrant_scale_0p90,nominal,3000101,1,acid,medium,single,1,1,0,0,1,0,5,3,12.51,2.6812844379463767,2.68,0.0797155620536234,0.7448000033036806,0.11780000932049006,0.17252000252483413,measured_success,101
new_pf,titrant_scale_0p90,nominal,3000101,2,acid,medium,single,1,1,0,0,1,0,10,0,17.520000000000003,3.4324500001794833,3.43,0.06845000017948344,317.68799999554176,475.51509999175323,79.3203099987295,measured_success,101
new_ppo,titrant_scale_0p90,nominal,3000101,2,acid,medium,single,1,0,0,0,1,1,8,0,17.259999999999998,3.46478402272721,3.46,0.10078402272721032,1.5480000001844019,0.2367000124650076,0.22308750158117618,measured_success,101
new_pf,titrant_scale_0p90,nominal,3000101,3,acid,far,single,1,1,1,0,1,0,8,5,13.999999999999998,3.054660939126264,3.05,0.042339060873735956,741.1007000046084,457.303499984846,149.8005249986818,measured_success,101
new_ppo,titrant_scale_0p90,nominal,3000101,3,acid,far,single,1,1,1,0,1,0,6,4,13.409999999999998,3.1015237950253027,3.1,0.004523795025302757,0.8060000109253451,0.12230000720592216,0.15471666968854456,measured_success,101
new_pf,titrant_scale_0p90,nominal,3000101,4,base,far,separated,2,1,1,0,1,0,14,10,18.66,8.11731623451687,8.12,0.003683765483129875,1678.3490999951027,891.2768999944092,183.54471428496512,measured_success,101
new_ppo,titrant_scale_0p90,nominal,3000101,4,base,far,separated,2,1,1,0,1,0,12,8,18.12,8.117477952415584,8.12,0.0035220475844166543,3.680900001199916,2.3776999878464267,0.5048833324205285,measured_success,101
new_pf,titrant_scale_0p90,nominal,3000101,5,base,near,separated,2,1,1,0,1,0,1,0,0.63,2.721240564195562,2.72,0.007759435804437942,5.746599999838509,67.2980999952415,73.04469999508001,measured_success,101
new_ppo,titrant_scale_0p90,nominal,3000101,5,base,near,separated,2,1,1,0,1,0,2,1,2.7199999999999998,2.7317680619303752,2.73,0.002768061930375154,0.49140000191982836,0.06049999501556158,0.27594999846769497,measured_success,101
