method,regime,distribution,task_seed,task_id,direction,difficulty,pka_family,true_pair_count,true_success,strict_success,severe_failure,measured_success,false_stop,steps,crossings,total_volume_ml,final_true_ph,final_measured_ph,final_abs_error,decision_time_ms_total,update_time_ms_total,controller_time_ms_per_step,stop_reason,benchmark_seed
new_pf,wide_concentration,wide_concentration,3000404,1,acid,near,separated,2,1,1,0,1,0,1,1,2.47,2.3907637563818174,2.39,0.04023624361818268,53.43189999985043,33.52190000441624,86.95380000426667,measured_success,404
new_ppo,wide_concentration,wide_concentration,3000404,1,acid,near,separated,2,1,1,0,1,0,1,0,2.06,2.441902670413109,2.44,0.010902670413108773,0.14940000255592167,0.021200001356191933,0.1706000039121136,measured_success,404
new_pf,wide_concentration,wide_concentration,3000404,2,base,near,separated,3,1,0,0,1,0,7,5,4.43,8.755256420607889,8.76,0.053256420607889154,381.07489999674726,202.85229999717558,83.41817142770326,measured_success,404
new_ppo,wide_concentration,wide_concentration,3000404,2,base,near,separated,3,1,1,0,1,0,7,3,4.920000000000001,8.724476109729792,8.72,0.022476109729792526,0.6458000061684288,0.11340000492054969,0.10845714444128264,measured_success,404
new_pf,wide_concentration,wide_concentration,3000404,3,base,near,separated,2,1,0,0,1,0,3,0,2.88,3.3374092080832476,3.34,0.08959079191675245,135.86470000154804,75.0985000122455,70.32106667126452,measured_success,404
new_ppo,wide_concentration,wide_concentration,3000404,3,base,near,separated,2,1,0,0,1,0,3,0,3.3299999999999996,3.373455050981563,3.37,0.053544949018437205,0.34869999217335135,0.04949999856762588,0.1327333302469924,measured_success,404
new_pf,wide_concentration,wide_concentration,3000404,4,base,medium,single,1,1,0,0,1,0,9,1,12.06,6.338516461094818,6.34,0.07951646109481736,156.385100010084,196.09689998469548,39.16466666608661,measured_success,404
new_ppo,wide_concentration,wide_concentration,3000404,4,base,medium,single,1,1,0,0,1,0,12,0,9.839999999999998,6.170757873597632,6.17,0.08824212640236873,1.3211000186856836,0.21010001364629716,0.12760000269433172,measured_success,404
new_pf,wide_concentration,wide_concentration,3000404,5,acid,medium,single,1,1,1,0,1,0,5,0,5.81,7.5320397551443445,7.53,0.04103975514434488,21.089000001666136,101.3225999995484,24.482320000242908,measured_success,404
new_ppo,wide_concentration,wide_concentration,3000404,5,acid,medium,single,1,1,1,0,1,0,5,1,6.050000000000001,7.462758961997659,7.46,0.028241038002340346,0.6460999939008616,0.09899999713525176,0.14901999820722267,measured_success,404
new_pf,wide_concentration,wide_concentration,3000404,6,acid,far,single,1,1,1,0,1,0,7,5,16.59,3.0771114930221426,3.08,0.007888506977857368,411.68379998998716,162.11880000628298,81.97179999946717,measured_success,404
new_ppo,wide_concentration,wide_concentration,3000404,6,acid,far,single,1,1,0,0,1,0,20,10,32.32000000000001,3.1827498025870993,3.18,0.09774980258709931,2.0751999763888307,0.36159999581286684,0.12183999861008488,measured_success,404
new_pf,wide_concentration,wide_concentration,3000404,7,acid,far,single,1,1,1,0,1,0,5,4,11.330000000000002,2.792250796828011,2.79,0.0342507968280108,315.1606999890646,150.00509999663336,93.03315999713959,measured_success,404
new_ppo,wide_concentration,wide_concentration,3000404,7,acid,far,single,1,1,1,0,1,0,3,1,10.139999999999999,2.744702598317178,2.74,0.013297401682821786,0.37680000241380185,0.05099999543745071,0.14259999928375086,measured_success,404
new_pf,wide_concentration,wide_concentration,3000404,8,base,medium,separated,3,1,0,0,1,0,2,0,2.77,5.290075065016454,5.29,0.0849249349835457,6.502000003820285,65.93280000379309,36.21740000380669,measured_success,404
new_ppo,wide_concentration,wide_concentration,3000404,8,base,medium,separated,3,1,0,0,1,0,1,0,2.75,5.284849414324743,5.28,0.09015058567525713,0.2100000056088902,0.02099999983329326,0.23100000544218346,measured_success,404
new_pf,wide_concentration,wide_concentration,3000404,9,base,medium,separated,2,1,1,0,1,0,11,6,10.910000000000002,8.651080091804833,8.65,0.03991990819516822,519.6657999913441,279.54069998668274,72.65513636163881,measured_success,404
new_ppo,wide_concentration,wide_concentration,3000404,9,base,medium,separated,2,1,0,0,1,0,5,4,8.98,8.629065413036372,8.63,0.061934586963628746,0.6127000087872148,0.09359999967273325,0.1412600016919896,measured_success,404
new_pf,wide_concentration,wide_concentration,3000404,10,acid,near,single,1,1,1,0,1,0,2,0,2.0,5.266224087176699,5.27,0.03822408717669923,7.834199997887481,44.96859999198932,26.4013999949384,measured_success,404
new_ppo,wide_concentration,wide_concentration,3000404,10,acid,near,single,1,1,1,0,1,0,1,0,2.06,5.24657576842543,5.25,0.018575768425430184,0.15320000238716602,0.022700005501974374,0.1759000078891404,measured_success,404
new_pf,wide_concentration,wide_concentration,3000404,11,acid,near,single,1,1,0,0,1,0,7,0,4.7700000000000005,3.1829283251661895,3.18,0.07692832516618964,28.396200003044214,134.6417999957339,23.2911428569683,measured_success,404
new_ppo,wide_concentration,wide_concentration,3000404,11,acid,near,single,1,1,0,0,1,0,4,0,4.7,3.188722458367976,3.19,0.08272245836797598,0.57409999135416,0.09069999941857532,0.16619999769318383,measured_success,404
new_pf,wide_concentration,wide_concentration,3000404,12,base,medium,single,1,1,1,0,1,0,7,5,7.3500000000000005,9.750442856361477,9.75,0.02244285636147758,229.84689999429975,193.7402999974438,60.51245714167765,measured_success,404
new_ppo,wide_concentration,wide_concentration,3000404,12,base,medium,single,1,1,0,0,1,0,26,0,1.5200000000000005,9.638111447784052,9.64,0.08988855221594783,2.29760001093382,0.4152000037720427,0.10433846210407165,measured_success,404
new_pf,wide_concentration,wide_concentration,3000404,13,acid,near,separated,2,1,0,0,1,0,8,0,6.620000000000001,3.66963640645971,3.67,0.09163640645971016,35.29010000056587,154.32999999757158,23.70251249976718,measured_success,404
new_ppo,wide_concentration,wide_concentration,3000404,13,acid,near,separated,2,1,0,0,1,0,6,0,6.81,3.653277180385844,3.65,0.0752771803858443,0.7016000090516172,0.11600000289035961,0.13626666865699613,measured_success,404
new_pf,wide_concentration,wide_concentration,3000404,14,base,medium,single,1,1,1,0,1,0,3,0,3.6000000000000005,9.171135949909281,9.17,0.0018640500907185498,13.572200005000923,64.33470000774832,25.968966670916416,measured_success,404
new_ppo,wide_concentration,wide_concentration,3000404,14,base,medium,single,1,0,0,0,0,0,50,0,2.6399999999999966,8.84648035702573,8.85,0.3265196429742705,4.6842000156175345,0.8100000413833186,0.10988400114001706,max_steps,404
new_pf,wide_concentration,wide_concentration,3000404,15,base,near,single,1,1,0,0,1,0,7,0,3.8,3.1187839756456306,3.12,0.08721602435436937,25.33040001435438,122.13419999898179,21.066371430476597,measured_success,404
new_ppo,wide_concentration,wide_concentration,3000404,15,base,near,single,1,1,0,0,1,0,4,0,3.76,3.116155232231338,3.12,0.08984476776866179,0.3576000017346814,0.06949999078642577,0.1067749981302768,measured_success,404
