variant,task_id,task_seed,direction,difficulty,true_pair_count,success,strict_success,severe_failure,steps,crossings,total_volume_ml,final_abs_error,controller_ms_per_step,benchmark_seed
full,1,5000101,base,near,3,1,0,0,5,0,2.81,0.08475406827367671,18.125040002632886,101
no_ph_rate_bonus,1,5000101,base,near,3,1,0,0,7,0,2.72,0.09393508429611241,22.332257142157427,101
no_uncertainty_factor,1,5000101,base,near,3,1,0,0,4,0,2.71,0.09495458208604113,15.454249998583691,101
no_buffering_factor,1,5000101,base,near,3,1,0,0,5,0,2.9000000000000004,0.07556441412916115,15.444660001958255,101
no_required_volume_term,1,5000101,base,near,3,1,0,0,5,0,2.81,0.08475406827367671,19.455400000151712,101
linear_clip_instead_of_tanh,1,5000101,base,near,3,1,0,0,5,0,2.82,0.08373338753744708,21.042239999223966,101
full,2,5000101,base,medium,1,1,1,0,1,1,5.97,0.04296974268002529,67.81639999826439,101
no_ph_rate_bonus,2,5000101,base,medium,1,1,1,0,6,3,8.24,0.028616983539819785,51.77753333191504,101
no_uncertainty_factor,2,5000101,base,medium,1,1,1,0,8,6,14.310000000000002,0.011958386557859413,51.629512500767305,101
no_buffering_factor,2,5000101,base,medium,1,1,1,0,5,3,7.66,0.02861650356782519,41.77433999720961,101
no_required_volume_term,2,5000101,base,medium,1,1,1,0,4,1,6.180000000000001,0.028615278796817023,34.43869999864546,101
linear_clip_instead_of_tanh,2,5000101,base,medium,1,1,0,0,5,4,14.16,0.0726330593501654,72.53347999794642,101
full,3,5000101,acid,medium,2,1,0,0,5,1,10.239999999999998,0.08787874891552727,25.339340000937227,101
no_ph_rate_bonus,3,5000101,acid,medium,2,1,1,0,5,0,9.0,0.008715953576296176,26.60022000054596,101
no_uncertainty_factor,3,5000101,acid,medium,2,1,0,0,6,1,11.24,0.06425281858519094,29.436700001194065,101
no_buffering_factor,3,5000101,acid,medium,2,1,0,0,6,1,10.65,0.05363942694148571,30.621866670117015,101
no_required_volume_term,3,5000101,acid,medium,2,1,0,0,6,0,8.65,0.06736325479044991,32.5503500001408,101
linear_clip_instead_of_tanh,3,5000101,acid,medium,2,1,0,0,6,1,10.680000000000001,0.05845791044632653,27.366416667064186,101
full,4,5000101,acid,near,2,1,1,0,1,0,2.34,0.036876241323361425,86.9343000013032,101
