scenario,candidate,baseline,baseline_method,matched_tasks,success_difference_pp,success_difference_cluster_ci95_low,success_difference_cluster_ci95_high,success_p_value_exact,strict_success_005_difference_pp,strict_success_005_p_value_exact,steps_mean_difference,steps_relative_change_percent,steps_p_value,overshoots_mean_difference,overshoots_relative_change_percent,overshoots_p_value,total_added_ml_mean_difference,total_added_ml_relative_change_percent,total_added_ml_p_value,final_abs_error_mean_difference,final_abs_error_relative_change_percent,final_abs_error_p_value,success_p_value_holm,strict_success_005_p_value_holm,steps_p_value_holm,overshoots_p_value_holm,total_added_ml_p_value_holm,final_abs_error_p_value_holm,clear_success_gain
actuator_over,sac_precision_efficient,sac_history_robust,sac_history_robust,1000,-0.5,-1.7,0.7,0.30175781249999994,0.0,1.0,-0.436,-4.672096013716244,2.1615057216789734e-06,-0.681,-14.291710388247642,1.3534778752942323e-37,-5.037944873176344,-18.139356401428365,1.2828089497657313e-67,0.0017885352896762194,3.2451617541129028,0.38666368977441345,1.0,1.0,0.00014049787190913328,9.474345127059626e-36,7.568572803617815e-66,1.0,False
actuator_random,sac_precision_efficient,sac_history_robust,sac_history_robust,1000,-0.5,-1.2,0.2,0.125,-3.3000000000000003,0.1511016207879773,-0.007,-0.07661996497372672,0.33157938529014874,-0.492,-12.835898773806418,3.768725621549963e-23,-3.0396452617841265,-12.62108004685071,9.125330846514231e-41,0.00421212555295948,8.194601129615709,0.05788779730814485,1.0,1.0,1.0,1.8843628107749816e-21,4.471412114791973e-39,1.0,False
actuator_under,sac_precision_efficient,sac_history_robust,sac_history_robust,1000,0.1,-0.8,1.1,1.0,0.4,0.8878047283992617,-0.153,-1.5521964086435904,0.13929034670832155,-0.495,-14.891696750902517,5.6725835150689575e-34,-1.8164189124818053,-8.732969240347932,8.196894908139086e-36,-0.00033534664100122935,-0.5944049982947646,0.9071515064955805,1.0,1.0,1.0,3.573727614493443e-32,3.442695861418416e-34,1.0,False
analyte_high,sac_precision_efficient,sac_history_robust,sac_history_robust,1000,0.0,-1.0,0.9,1.0,-4.1000000000000005,0.07439813778883098,0.145,1.2817113055776501,0.0023051410865789477,-0.406,-14.371681415929208,5.794586377509687e-18,-2.5286403171184344,-4.735156044877947,2.625011066150836e-36,0.0021800679394204836,4.311842469458204,0.025230835653855577,1.0,1.0,0.12217247758868423,2.1439969596785842e-16,1.1550048691063679e-34,1.0,False
analyte_low,sac_precision_efficient,sac_history_robust,sac_history_robust,1000,-1.5,-2.9025,-0.1,0.008130058646202087,0.8,0.7447143167863719,0.309,3.420790435071417,0.545966153293233,-0.112,-2.3759015697921106,6.6378125884064525e-18,-1.830212135370532,-14.49365563960737,4.407891234109928e-19,0.005405792406477846,8.324213397181744,0.6897387655909708,0.5691041052341461,1.0,1.0,2.3896125318263227e-16,7.052625974575885e-18,1.0,False
bias_010,sac_precision_efficient,sac_history_robust,sac_history_robust,1000,3.5000000000000004,-1.5,8.3,0.06385172657857457,4.1000000000000005,0.04082311221286863,-0.164,-1.684470008216942,0.5979081338313408,-0.661,-16.141636141636134,1.0191250647577742e-27,-2.6847598726337853,-10.749470120680769,3.912122507678737e-37,-0.0040861026647131095,-3.998929915529314,0.0468478118211983,1.0,1.0,1.0,6.012837882070867e-26,1.7995763535322189e-35,1.0,False
close_pka,sac_precision_efficient,sac_history_robust,sac_history_robust,1000,-0.6,-1.6,0.3,0.210113525390625,-3.6999999999999997,0.10413920996009964,0.268,2.8130576256953996,0.09238290863448195,-0.267,-7.198705850633591,6.86209830509744e-17,-1.8874994924940827,-7.486951936096772,1.2419392751545685e-20,0.001452290907160859,2.7915008269553008,0.470891518331094,1.0,1.0,1.0,2.195871457631181e-15,2.1112967677627664e-19,1.0,False
close_random_actuator,sac_precision_efficient,sac_history_robust,sac_history_robust,1000,-0.1,-0.5,0.3,1.0,1.0,0.6800065630378809,0.324,3.2497492477432277,0.050125364480642046,-0.372,-9.657320872274141,3.1331065968009616e-19,-1.3562243268777097,-5.115054112492279,4.1065617012779755e-13,-0.0010451044523661465,-2.0586447251481013,0.47298155215616056,1.0,1.0,1.0,1.221911572752375e-17,4.1065617012779755e-12,1.0,False
drift_001,sac_precision_efficient,sac_history_robust,sac_history_robust,1000,2.3,-2.1025,6.602499999999986,0.12235234244799681,1.3,0.5866437401645231,0.072,0.7793051196016795,0.5393042590648778,-0.602,-14.632960622265433,2.3729556276870215e-23,-2.0154239613342426,-8.31775814367077,1.0344899161007283e-22,-0.0008492650741725943,-1.3253219757842307,0.9637234086376439,1.0,1.0,1.0,1.2576664826741214e-21,1.9655308405913838e-21,1.0,False
high_conc_under,sac_precision_efficient,sac_history_robust,sac_history_robust,1000,0.0,-0.7,0.8,1.0,-1.7000000000000002,0.4816684458770926,0.66,4.823503617627714,2.5158088059203386e-11,-0.348,-13.690007867820608,9.736705325953496e-20,-1.6385484190710635,-3.1768343272800377,1.7345446277396155e-33,0.0006481376202159241,1.177482182333368,0.3060580474372533,1.0,1.0,1.886856604440254e-09,4.1867832901600035e-18,6.244360659862615e-32,1.0,False
