seed,algorithm,reward_variant,environment_steps,success_rate_percent,successful_steps_mean,overshoot_rate_percent,final_abs_error_mean
101,reinforce,full,25012,94.5,8.673015873015872,41.83357423084865,0.06299628988248047
101,reinforce,step_penalty_minus_0p005,25017,94.2,8.237791932059448,37.54841411075055,0.07462405731451406
101,reinforce,no_dense,25006,93.2,9.003218884120171,32.84574468085106,0.08276019805676595
101,reinforce,no_overshoot,25033,69.8,10.87679083094556,9.54832355969381,0.7529853489499232
101,reinforce,no_volume_shaping,25003,86.5,11.945664739884393,20.248645987198426,0.22623854292063203
101,reinforce,no_terminal,25025,80.9,13.098887515451175,15.002858182196123,0.3430499370998467
101,reinforce,simple_progress,25035,89.9,9.218020022246941,30.855855855855857,0.14425594125588817
202,reinforce,full,25008,95.2,8.495798319327731,38.81196490857203,0.06109734656766813
202,reinforce,step_penalty_minus_0p005,25002,94.8,8.755274261603375,40.26984950700571,0.0597531710683064
202,reinforce,no_dense,25011,86.9,13.001150747986191,18.871978513876456,0.22378532633714113
202,reinforce,no_overshoot,25005,95.3,8.681007345225604,33.46803440058025,0.06252519299861727
202,reinforce,no_volume_shaping,25014,82.4,10.24635922330097,18.47714509993358,0.49008294816479575
202,reinforce,no_terminal,25005,72.9,11.176954732510287,11.98226967256089,0.7366845252928035
202,reinforce,simple_progress,25003,87.6,8.872146118721462,26.854670725845217,0.251448488648229
303,reinforce,full,25003,77.8,9.641388174807197,16.514614445929457,0.8727358021765124
303,reinforce,step_penalty_minus_0p005,25007,94.1,8.600425079702445,43.90739236393176,0.06172734761264901
303,reinforce,no_dense,25003,91.7,9.069792802617231,30.043936731107205,0.10754252878808791
303,reinforce,no_overshoot,25015,94.8,8.690928270042194,43.16648202235875,0.0619650823520173
303,reinforce,no_volume_shaping,25006,94.8,8.523206751054852,45.26466673492372,0.06341088402236883
303,reinforce,no_terminal,25000,64.9,12.224961479198768,8.168175515863306,0.7451218246264951
303,reinforce,simple_progress,25011,89.9,8.991101223581758,30.382873610539317,0.19885300079800913
404,reinforce,full,25014,83.6,9.988038277511961,16.93104564584008,0.3539532866129534
404,reinforce,step_penalty_minus_0p005,25001,91.6,14.503275109170305,18.591428746102586,0.11366370797123716
404,reinforce,no_dense,25013,93.1,8.597207303974221,37.53475440222428,0.06738136597915187
404,reinforce,no_overshoot,25000,90.1,9.756936736958934,24.733391263132948,0.09912867525349706
404,reinforce,no_volume_shaping,25000,85.7,8.793465577596265,25.696685244939864,0.443108712576808
404,reinforce,no_terminal,25005,64.2,10.998442367601246,7.804918855613184,0.9951038992629826
404,reinforce,simple_progress,25040,90.1,8.95338512763596,28.708992981883465,0.16016632569232095
555,reinforce,full,25020,94.4,9.346398305084746,35.72433192686357,0.07867540176136116
555,reinforce,step_penalty_minus_0p005,25022,93.7,10.472785485592317,32.01156546881454,0.0810609924797267
555,reinforce,no_dense,25006,95.0,8.507368421052632,42.8872719603501,0.06252416546063047
555,reinforce,no_overshoot,25045,72.3,18.489626556016596,9.432469098583057,0.4016650304421092
555,reinforce,no_volume_shaping,25030,66.6,14.027027027027026,8.07472959685349,0.7091013370129914
555,reinforce,no_terminal,25015,65.9,9.704097116843702,7.9605928662532435,1.1554035745699907
555,reinforce,simple_progress,25002,88.3,9.129105322763307,22.481844016419323,0.2577748031861217
