particle_count,task_seed,task_id,acid_type,initial_ph,target_ph,update_posteriors_ms,select_best_action_ms,decision_cycle_ms
1000,7101,1,triprotic,2.24,4.25,23.34005,2.3369,28.95135
1000,7202,1,monoprotic,2.55,4.03,19.47255,1.579435,19.9693
1000,7303,1,monoprotic,2.36,4.78,18.77525,1.704595,26.18775
1000,7404,1,monoprotic,2.65,2.47,18.62735,50.138855,79.6131
1000,7555,1,diprotic,2.21,6.53,30.80975,2.0563700000000003,22.38985
10000,7101,1,triprotic,2.24,4.25,167.23485,1.65059,171.6493
10000,7202,1,monoprotic,2.55,4.03,165.4523,1.6142299999999998,195.6362
10000,7303,1,monoprotic,2.36,4.78,169.58345,1.72016,194.20645
10000,7404,1,monoprotic,2.65,2.47,162.40405,51.884415000000004,207.0014
10000,7555,1,diprotic,2.21,6.53,198.7184,1.576595,181.09745
100000,7101,1,triprotic,2.24,4.25,1814.08395,2.0131699999999997,2016.14985
100000,7202,1,monoprotic,2.55,4.03,1794.4518,1.60547,1888.2951
100000,7303,1,monoprotic,2.36,4.78,2058.89635,1.9857749999999998,1972.9983
100000,7404,1,monoprotic,2.65,2.47,1935.4852,55.83190499999999,2217.2276
100000,7555,1,diprotic,2.21,6.53,2076.0759,1.6777950000000001,2044.2849
