particle_count,task_seed,task_id,acid_type,initial_ph,target_ph,update_posteriors_ms,select_best_action_ms,decision_cycle_ms
1000,7101,1,triprotic,2.24,4.25,19.172666666666668,1.50421,19.7264
1000,7101,2,monoprotic,2.55,8.96,28.2687,1.73922,22.032866666666667
1000,7101,3,diprotic,1.69,10.81,20.505966666666666,1.72831,24.450833333333335
1000,7202,1,monoprotic,2.55,4.03,19.664033333333332,1.5035,26.674599999999998
1000,7202,2,diprotic,1.95,8.35,24.971833333333333,1.7654299999999998,24.291566666666668
1000,7202,3,monoprotic,3.29,7.27,22.32513333333333,1.9968949999999999,27.471233333333334
1000,7303,1,monoprotic,2.36,4.78,32.28353333333333,1.98522,28.3839
1000,7303,2,triprotic,1.6,8.74,18.214833333333335,1.579675,26.4303
1000,7303,3,monoprotic,2.72,9.42,31.536966666666668,2.4519349999999998,27.995033333333335
1000,7404,1,monoprotic,2.65,2.47,26.942533333333333,59.160715,86.99376666666666
1000,7404,2,diprotic,1.68,4.31,23.651933333333332,2.296565,31.601333333333333
1000,7404,3,triprotic,1.59,8.44,29.224933333333336,2.269015,30.33236666666667
1000,7555,1,diprotic,2.21,6.53,30.26386666666667,2.265815,30.09176666666667
1000,7555,2,diprotic,1.62,4.34,24.900566666666666,2.8708400000000003,28.822100000000002
1000,7555,3,monoprotic,2.46,3.35,23.2915,1.563755,30.82626666666667
10000,7101,1,triprotic,2.24,4.25,172.5752,1.5512000000000001,185.55103333333332
10000,7101,2,monoprotic,2.55,8.96,169.74913333333333,1.778935,201.73983333333334
10000,7101,3,diprotic,1.69,10.81,180.37186666666665,2.188975,182.80593333333334
10000,7202,1,monoprotic,2.55,4.03,151.43856666666667,2.090895,185.4149666666667
10000,7202,2,diprotic,1.95,8.35,170.57416666666668,1.83963,173.93123333333332
10000,7202,3,monoprotic,3.29,7.27,175.1639,2.16685,169.94856666666666
10000,7303,1,monoprotic,2.36,4.78,183.0983,1.542055,180.77093333333335
10000,7303,2,triprotic,1.6,8.74,161.12356666666668,1.686185,166.856
10000,7303,3,monoprotic,2.72,9.42,194.2011,1.56582,181.46873333333335
10000,7404,1,monoprotic,2.65,2.47,170.49176666666668,55.56729,245.14083333333335
10000,7404,2,diprotic,1.68,4.31,162.8223,1.98519,193.93723333333332
10000,7404,3,triprotic,1.59,8.44,179.86393333333334,2.378305,152.38623333333334
10000,7555,1,diprotic,2.21,6.53,172.25923333333333,1.745815,203.24246666666667
10000,7555,2,diprotic,1.62,4.34,187.96023333333335,2.043205,176.8312
10000,7555,3,monoprotic,2.46,3.35,172.5914,1.386915,173.2649
100000,7101,1,triprotic,2.24,4.25,1946.5114,2.00494,1887.5717666666667
100000,7101,2,monoprotic,2.55,8.96,2121.2885333333334,1.495495,2119.384666666667
100000,7101,3,diprotic,1.69,10.81,2152.4427666666666,2.007,2085.1873333333333
100000,7202,1,monoprotic,2.55,4.03,2203.9816,2.1320900000000003,2051.046333333333
100000,7202,2,diprotic,1.95,8.35,2055.9258333333332,1.8722,2113.4371666666666
100000,7202,3,monoprotic,3.29,7.27,2059.2273666666665,2.6066849999999997,2045.8205333333333
100000,7303,1,monoprotic,2.36,4.78,2029.4238666666668,1.540915,1873.8275999999998
100000,7303,2,triprotic,1.6,8.74,2065.7121333333334,1.9304400000000002,2063.938166666667
100000,7303,3,monoprotic,2.72,9.42,2010.1114,2.0743400000000003,2068.4859666666666
100000,7404,1,monoprotic,2.65,2.47,2133.5682666666667,54.74234,2122.8488
100000,7404,2,diprotic,1.68,4.31,1974.1558333333332,2.335485,2041.7164333333333
100000,7404,3,triprotic,1.59,8.44,2192.0347333333334,2.0309999999999997,1983.3941333333332
100000,7555,1,diprotic,2.21,6.53,1986.7081,1.4425050000000001,2004.1060333333335
100000,7555,2,diprotic,1.62,4.34,2113.0048666666667,1.81977,2013.1503333333333
100000,7555,3,monoprotic,2.46,3.35,1956.3383666666666,1.4103249999999998,1964.7202
