method,seed,tasks,pair_count_accuracy_percent,concentration_relative_error_median_percent,pka_matched_mae_median,local_rmse_0p10ml_median_ph,full_curve_rmse_median_ph
pf_pka_only_k3,101,3,33.33333333333333,5.4087480027559245,1.5846919044905734,0.909639564530059,2.2813030714396856
pf_pka_only_k3,202,3,0.0,137.98259473979832,1.849812068428172,0.07062840160759147,4.873396840244636
pf_pka_only_k3,303,3,0.0,55.21075280203672,0.5806689996953343,0.010569320881786684,1.0709108145021011
pf_pka_only_k3,404,3,66.66666666666666,5.163631946067677,0.18901399721730794,0.5168532414922902,0.7532859381620217
pf_pka_only_k3,555,3,0.0,82.57283203709645,1.6386298936731167,1.993238451316722,4.706931879827229
pymc_pka_only_k3,101,3,33.33333333333333,5.408748002755895,1.6385980009761658,0.9085304554432292,1.8976248988699587
pymc_pka_only_k3,202,3,0.0,137.98259473979826,1.819831621137355,0.0711427003493555,4.912583295727849
pymc_pka_only_k3,303,3,0.0,55.210752802036744,0.9192731325385071,0.010689695458560364,2.15144618956939
pymc_pka_only_k3,404,3,66.66666666666666,5.163631946067663,0.14587003453167835,0.5168610528175561,0.7804896533528866
pymc_pka_only_k3,555,3,0.0,82.57283203709642,1.6248010043836838,1.990601800043101,3.732879298781356
pf_pka_conc_k3,101,3,33.33333333333333,65.39623579033535,0.21255056583070875,0.05346305184038715,0.27928147358915084
pf_pka_conc_k3,202,3,0.0,18.748106559293934,0.16967860291520043,0.061516072703983286,2.3854920599308493
pf_pka_conc_k3,303,3,0.0,24.04075446268209,0.2713679069439545,0.011953826737780835,0.4508618171941371
pf_pka_conc_k3,404,3,66.66666666666666,15.07875917231985,0.22310369273714206,0.10616556472488119,0.24050222581951755
pf_pka_conc_k3,555,3,0.0,33.33333384910288,0.27246200960970146,0.039416010529782074,0.9860354882223634
pymc_pka_conc_k3,101,3,33.33333333333333,66.65506918025311,0.04849988405341114,0.014875252973888215,0.02457501186503842
pymc_pka_conc_k3,202,3,0.0,21.209505775799606,0.4125730043622309,0.06336101695836283,2.5828100266100558
pymc_pka_conc_k3,303,3,0.0,22.70736106190529,0.3545070670419177,0.012065960678182662,0.4296978638806345
pymc_pka_conc_k3,404,3,66.66666666666666,13.741329065273097,0.2198999312184986,0.0540231796100515,0.06771552303899078
pymc_pka_conc_k3,555,3,0.0,33.33472511311519,0.27415678697416235,0.0697348833405982,0.92269530048074
pf_pka_conc_variable_k,101,3,66.66666666666666,0.10868072850726555,0.11889027436249755,0.018572264038140496,0.043764096467455584
pf_pka_conc_variable_k,202,3,33.33333333333333,11.147318445404473,0.10649577734319582,0.05381822804085795,2.2088517011263087
pf_pka_conc_variable_k,303,3,0.0,4.315987444645462,0.11688941992202273,0.009358430272748755,0.4812926047959706
pf_pka_conc_variable_k,404,3,33.33333333333333,49.99828728312964,0.27551344517727827,0.052669891079379486,0.40631525336501634
pf_pka_conc_variable_k,555,3,66.66666666666666,0.10143669000495724,0.26680963906267374,0.11093189192487868,0.11187686289737057
pymc_pka_conc_variable_k,101,3,66.66666666666666,0.2051642109683778,0.3166891354857251,0.014426144869042784,0.07791721574317363
pymc_pka_conc_variable_k,202,3,66.66666666666666,17.56430815855437,0.24690167651563355,0.006605564836465875,2.4818943550810353
pymc_pka_conc_variable_k,303,3,0.0,10.270969088339449,0.08451506429835542,0.010616716958051145,0.44338618803272856
pymc_pka_conc_variable_k,404,3,66.66666666666666,8.462884689955409,0.21605693139958682,0.016127859719931643,0.36860143139854484
pymc_pka_conc_variable_k,555,3,33.33333333333333,1.0996949499188906,0.2170231779041606,0.08832036946019034,0.2513394483008876
