label,training_seed,benchmark_seed,paired_tasks,full_only_success,candidate_only_success,success_difference_pp,exact_mcnemar_p
step_cost_0,303,pooled,15000,984,268,-4.77333333333333,2.1949718180375132e-96
step_cost_0,303,101,3000,186,59,-4.233333333333333,1.6672554387256314e-16
step_cost_0,303,202,3000,202,50,-5.066666666666664,7.678980212098379e-23
step_cost_0,303,303,3000,196,56,-4.666666666666675,2.1783059550067027e-19
step_cost_0,303,404,3000,208,52,-5.199999999999994,2.8230747365772286e-23
step_cost_0,303,555,3000,192,51,-4.700000000000005,2.0072656631577882e-20
step_cost_0p0025,303,pooled,15000,1012,219,-5.286666666666662,4.1638045775532343e-122
step_cost_0p0025,303,101,3000,196,47,-4.966666666666663,8.133762764462194e-23
step_cost_0p0025,303,202,3000,202,45,-5.233333333333334,6.198367196041322e-25
step_cost_0p0025,303,303,3000,201,42,-5.300000000000004,4.615077623735409e-26
step_cost_0p0025,303,404,3000,206,44,-5.399999999999993,3.0427639710825464e-26
step_cost_0p0025,303,555,3000,207,41,-5.533333333333335,7.363038267668796e-28
step_cost_0p005,303,pooled,15000,595,282,-2.08666666666667,1.7255712047832748e-26
step_cost_0p005,303,101,3000,120,61,-1.9666666666666721,1.3777507151026671e-05
step_cost_0p005,303,202,3000,110,52,-1.9333333333333313,6.058495675071261e-06
step_cost_0p005,303,303,3000,115,60,-1.8333333333333313,3.896006794522573e-05
step_cost_0p005,303,404,3000,125,56,-2.299999999999991,3.1429833094033525e-07
step_cost_0p005,303,555,3000,125,53,-2.400000000000002,6.890434052233722e-08
step_cost_0p01,303,pooled,15000,984,268,-4.77333333333333,2.1949718180375132e-96
step_cost_0p01,303,101,3000,186,59,-4.233333333333333,1.6672554387256314e-16
step_cost_0p01,303,202,3000,202,50,-5.066666666666664,7.678980212098379e-23
step_cost_0p01,303,303,3000,196,56,-4.666666666666675,2.1783059550067027e-19
step_cost_0p01,303,404,3000,208,52,-5.199999999999994,2.8230747365772286e-23
step_cost_0p01,303,555,3000,192,51,-4.700000000000005,2.0072656631577882e-20
