task_seed,task_id,acid_type,difficulty,direction,pka_family,true_pair_count,initial_ph,target_ph,overshoot_cap_events,overshoot_cap_applied_steps,overshoot_cap_final_ml,true_success,strict_success,severe_failure,measured_success,false_stop,steps,overshoots,final_abs_error,total_volume_ml,acid_added_ml,base_added_ml,final_true_ph,final_measured_ph,stop_reason,label,training_seed,benchmark_seed,checkpoint_sha256,checkpoint_reward_variant,step_cost
1000101,1,triprotic,near,acid,separated,3,6.428,6.221,0,0,,0,0,0,1,1,32,0,0.10144301236054432,0.9600000000000006,0.9600000000000006,0.0,6.322443012360544,6.32,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,2,monoprotic,medium,acid,single,1,3.513,1.532,0,0,,1,0,0,1,0,4,0,0.07886277889542503,7.7299999999999995,7.7299999999999995,0.0,1.610862778895425,1.61,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,3,triprotic,medium,acid,separated,3,4.577,3.473,0,0,,1,0,0,1,0,13,0,0.09570646691780293,11.650000000000004,11.650000000000004,0.0,3.568706466917803,3.5700000000000003,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,4,diprotic,medium,base,separated,2,2.611,3.353,2,1,0.35,1,1,0,1,0,3,2,0.027739118681862518,2.83,0.7,2.13,3.3252608813181377,3.33,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,5,diprotic,medium,acid,separated,2,4.465,3.519,0,0,,1,0,0,1,0,2,0,0.06541611214886967,3.64,3.64,0.0,3.58441611214887,3.58,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,6,monoprotic,medium,base,single,1,2.331,3.555,3,1,0.18,1,0,0,1,0,5,3,0.06808402158432747,5.8500000000000005,0.96,4.890000000000001,3.6230840215843276,3.62,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,7,monoprotic,medium,base,single,1,2.88,4.116,0,0,,1,0,0,1,0,2,0,0.0858050920890534,5.01,0.0,5.01,4.030194907910946,4.03,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,8,diprotic,far,acid,separated,2,4.65,1.806,0,0,,1,0,0,1,0,9,0,0.07454107429388124,26.130000000000003,26.130000000000003,0.0,1.8805410742938813,1.8800000000000001,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,9,diprotic,near,acid,separated,2,4.682,3.988,1,0,1.095,1,0,0,1,0,1,1,0.05989922443055251,2.19,2.19,0.0,3.9281007755694475,3.93,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,10,diprotic,near,acid,separated,2,5.979,5.703,0,0,,0,0,0,1,1,50,0,0.10122375368834557,1.500000000000001,1.500000000000001,0.0,5.804223753688346,5.8,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,11,diprotic,far,acid,separated,2,5.248,2.912,0,0,,1,0,0,1,0,7,0,0.06629611220314047,14.29,14.29,0.0,2.9782961122031404,2.98,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,12,diprotic,near,base,separated,2,4.5,4.786,0,0,,0,0,0,1,1,10,0,0.1008001762543369,0.30000000000000004,0.0,0.30000000000000004,4.685199823745663,4.69,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,13,monoprotic,near,acid,single,1,6.315,5.788,2,1,0.515,1,1,0,1,0,3,2,0.017722532682260095,3.55,2.52,1.03,5.80572253268226,5.8100000000000005,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,14,triprotic,medium,acid,separated,3,4.463,3.136,3,1,0.28,1,1,0,1,0,4,3,0.01669856891657151,9.02,5.85,3.17,3.1193014310834286,3.12,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,15,triprotic,medium,base,separated,3,2.742,4.211,0,0,,1,0,0,1,0,19,0,0.09160473991927809,15.479999999999992,0.0,15.479999999999992,4.119395260080722,4.12,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,16,diprotic,far,base,separated,2,4.167,7.392,0,0,,1,0,0,1,0,5,0,0.08420700231619005,17.869999999999997,0.0,17.869999999999997,7.30779299768381,7.3100000000000005,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,17,diprotic,near,base,separated,2,5.327,5.746,0,0,,0,0,0,0,0,50,0,0.10422038492160723,3.649999999999997,0.0,3.649999999999997,5.641779615078393,5.64,max_steps,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,18,diprotic,medium,acid,separated,2,4.002,3.06,0,0,,1,0,0,1,0,12,0,0.07589174323407866,10.500000000000004,10.500000000000004,0.0,3.1358917432340787,3.14,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,19,monoprotic,near,base,single,1,9.028,9.235,0,0,,1,0,0,1,0,9,0,0.08571762168889308,0.18,0.0,0.18,9.149282378311106,9.15,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,20,monoprotic,medium,base,single,1,7.457,8.225,1,0,1.73,1,1,0,1,0,2,1,0.015237634646824816,4.38,0.92,3.46,8.240237634646824,8.24,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,21,monoprotic,medium,base,single,1,3.462,5.362,7,1,0.015,1,1,0,1,0,12,7,0.029944763768694926,14.2,6.180000000000001,8.02,5.391944763768695,5.39,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,22,monoprotic,medium,acid,single,1,5.939,4.334,0,0,,1,1,0,1,0,6,0,0.028785345833769682,9.28,9.28,0.0,4.362785345833769,4.36,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,23,monoprotic,far,acid,single,1,4.433,2.114,0,0,,1,0,0,1,0,3,0,0.061679486881374146,9.34,9.34,0.0,2.175679486881374,2.18,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,24,diprotic,far,base,separated,2,4.779,7.437,8,3,0.01,1,0,0,1,0,11,8,0.09486251667169388,13.269999999999998,4.359999999999999,8.909999999999998,7.342137483328306,7.34,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,25,monoprotic,medium,acid,single,1,3.227,2.036,0,0,,1,1,0,1,0,1,0,0.0008507608549677137,3.81,3.81,0.0,2.0368507608549677,2.04,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,26,triprotic,near,base,separated,3,3.711,4.052,0,0,,1,0,0,1,0,8,0,0.0814183791556502,0.7199999999999999,0.0,0.7199999999999999,3.9705816208443494,3.97,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,27,diprotic,near,base,separated,2,4.161,4.675,0,0,,1,0,0,1,0,17,0,0.0933891873237469,1.4200000000000002,0.0,1.4200000000000002,4.581610812676253,4.58,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,28,monoprotic,medium,acid,single,1,4.05,2.437,1,0,2.645,1,0,0,1,0,4,1,0.08616965836585111,9.469999999999999,5.29,4.18,2.3508303416341487,2.35,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,29,monoprotic,far,base,single,1,7.854,10.672,4,3,0.185,1,0,0,1,0,8,4,0.0696028869229508,17.33,8.459999999999999,8.87,10.60239711307705,10.6,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,30,monoprotic,far,acid,single,1,5.234,2.581,2,1,0.2,1,1,0,1,0,3,2,0.006558264475209352,7.45,7.05,0.4,2.5875582644752093,2.59,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,31,monoprotic,near,base,single,1,2.316,2.691,0,0,,1,0,0,1,0,5,0,0.050212081964892796,1.29,0.0,1.29,2.640787918035107,2.64,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,32,monoprotic,medium,base,single,1,6.744,8.651,2,0,0.46,1,1,0,1,0,2,2,0.026517394139535355,6.14,0.92,5.22,8.624482605860464,8.620000000000001,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,33,diprotic,medium,base,separated,2,3.43,5.281,1,0,2.23,1,0,0,1,0,2,1,0.07376601479237888,5.16,0.7,4.46,5.354766014792379,5.3500000000000005,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,34,diprotic,near,base,separated,2,1.828,2.165,0,0,,1,0,0,1,0,9,0,0.0932613381446652,3.1899999999999995,0.0,3.1899999999999995,2.071738661855335,2.07,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,35,monoprotic,medium,acid,single,1,5.671,4.922,1,0,0.52,1,0,0,1,0,2,1,0.07666585746517551,3.52,3.52,0.0,4.845334142534824,4.8500000000000005,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,36,monoprotic,medium,base,single,1,2.411,3.951,2,0,0.91,1,1,0,1,0,4,3,0.0013217814665842376,7.2700000000000005,1.82,5.45,3.9523217814665843,3.95,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,37,monoprotic,medium,base,single,1,6.704,7.658,4,3,0.135,1,0,0,1,0,5,4,0.0827420677348707,6.75,2.43,4.32,7.57525793226513,7.58,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,38,diprotic,far,acid,separated,2,4.708,2.273,1,0,3.425,1,1,0,1,0,7,2,0.0007120882777917892,9.41,6.85,2.5599999999999996,2.273712088277792,2.27,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,39,monoprotic,far,base,single,1,7.763,9.882,4,3,0.135,1,1,0,1,0,7,5,0.002261698676674584,11.7,2.04,9.66,9.884261698676674,9.88,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,40,monoprotic,medium,acid,single,1,2.707,1.914,1,0,0.71,1,0,0,1,0,2,1,0.060821338577070394,4.390000000000001,4.390000000000001,0.0,1.8531786614229295,1.85,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,41,diprotic,near,acid,separated,2,5.652,5.206,0,0,,0,0,0,0,0,50,0,0.2933718429886776,1.500000000000001,1.500000000000001,0.0,5.499371842988678,5.5,max_steps,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,42,monoprotic,medium,acid,single,1,8.011,6.757,3,1,0.25,1,0,0,1,0,5,3,0.0755378386764658,7.41,4.33,3.08,6.681462161323534,6.68,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,43,triprotic,medium,acid,separated,3,3.653,2.272,0,0,,1,0,0,1,0,9,0,0.0971388322270399,12.06,12.06,0.0,2.3691388322270397,2.37,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,44,diprotic,medium,acid,separated,2,7.123,5.895,0,0,,1,1,0,1,0,1,0,0.04445767635847986,3.24,3.24,0.0,5.939457676358479,5.94,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,45,monoprotic,medium,acid,single,1,5.706,4.014,4,4,0.16,1,0,0,1,0,8,4,0.05043691798022554,13.32,7.670000000000001,5.65,4.064436917980226,4.0600000000000005,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,46,monoprotic,far,acid,single,1,5.206,1.81,1,0,2.595,1,1,0,1,0,2,1,0.04884936215199165,12.2,12.2,0.0,1.7611506378480084,1.76,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,47,triprotic,near,base,overlapping,3,4.427,5.054,6,3,0.015,1,1,0,1,0,9,6,0.017274618015973076,6.309999999999999,2.9899999999999998,3.3199999999999994,5.036725381984027,5.04,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,48,diprotic,near,acid,separated,2,3.077,2.384,1,0,0.78,1,1,0,1,0,2,1,0.022566546614314564,4.53,4.53,0.0,2.3614334533856853,2.36,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,49,triprotic,medium,acid,separated,3,4.704,3.462,0,0,,1,0,0,1,0,6,0,0.061782486165480766,8.430000000000001,8.430000000000001,0.0,3.523782486165481,3.52,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,50,monoprotic,near,acid,single,1,7.39,6.756,1,0,1.24,1,1,0,1,0,2,1,0.012914059311130544,3.71,2.48,1.23,6.74308594068887,6.74,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,51,diprotic,medium,base,overlapping,2,5.447,7.059,5,2,0.09,1,1,0,1,0,9,5,0.004965213263401047,13.7,5.77,7.93,7.063965213263401,7.0600000000000005,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,52,diprotic,near,base,separated,2,5.329,5.903,1,0,1.24,1,1,0,1,0,3,1,0.046841304016473906,3.13,0.65,2.48,5.9498413040164735,5.95,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,53,diprotic,medium,acid,separated,2,4.001,2.751,2,0,0.2,1,0,0,1,0,2,2,0.07067886610639862,4.21,3.81,0.4,2.8216788661063985,2.82,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,54,diprotic,far,base,overlapping,2,4.202,7.697,44,40,0.01,0,0,1,0,0,50,44,0.8764682721529171,16.79999999999999,7.159999999999997,9.639999999999995,6.820531727847083,6.82,max_steps,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,55,diprotic,medium,base,separated,2,3.849,5.579,6,2,0.035,1,1,0,1,0,8,6,0.021753396450811202,9.24,3.27,5.97,5.5572466035491885,5.5600000000000005,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,56,monoprotic,near,base,single,1,3.747,4.388,3,2,0.125,1,0,0,1,0,6,3,0.05037998853839731,3.7300000000000004,1.4200000000000002,2.31,4.438379988538397,4.44,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,57,monoprotic,medium,base,single,1,8.145,10.1,3,3,0.355,1,0,0,1,0,6,3,0.08535741256013374,10.809999999999999,2.04,8.77,10.185357412560133,10.19,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,58,diprotic,far,base,overlapping,2,4.791,8.78,43,43,0.01,0,0,0,0,0,50,43,0.15828802510871576,26.290000000000028,6.139999999999995,20.15000000000003,8.938288025108715,8.94,max_steps,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,59,monoprotic,near,acid,single,1,7.083,6.394,1,0,1.24,1,0,0,1,0,1,1,0.09457674489853574,2.48,2.48,0.0,6.299423255101464,6.3,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,60,monoprotic,near,base,single,1,5.221,5.839,1,0,1.24,1,0,0,1,0,2,1,0.07985404279820862,3.7199999999999998,1.24,2.48,5.918854042798209,5.92,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,61,triprotic,medium,acid,separated,3,4.419,2.699,0,0,,1,0,0,1,0,4,0,0.09505422728751878,10.379999999999999,10.379999999999999,0.0,2.7940542272875186,2.79,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,62,triprotic,medium,base,separated,3,7.11,9.086,4,1,0.205,1,0,0,1,0,6,4,0.0677534569014977,10.49,2.98,7.51,9.018246543098503,9.02,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,63,monoprotic,near,acid,single,1,6.044,5.466,2,0,0.52,1,0,0,1,0,3,2,0.05970864768813744,3.97,2.93,1.04,5.525708647688138,5.53,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,64,diprotic,far,base,separated,2,3.475,6.874,0,0,,1,0,0,1,0,2,0,0.08758607662212992,7.94,0.0,7.94,6.78641392337787,6.79,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,65,diprotic,medium,base,separated,2,3.813,4.533,0,0,,1,1,0,1,0,1,0,0.01269763422431236,2.53,0.0,2.53,4.520302365775688,4.5200000000000005,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,66,diprotic,near,base,overlapping,2,1.845,2.504,0,0,,1,0,0,1,0,6,0,0.08433218784809293,4.6899999999999995,0.0,4.6899999999999995,2.419667812151907,2.42,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,67,triprotic,medium,acid,separated,3,4.849,3.077,0,0,,1,0,0,1,0,3,0,0.08997548632249597,8.34,8.34,0.0,3.166975486322496,3.17,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,68,diprotic,medium,base,overlapping,2,3.437,5.055,1,0,0.52,1,0,0,1,0,8,1,0.09245441909513374,14.829999999999997,0.78,14.049999999999997,5.1474544190951335,5.15,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,69,monoprotic,medium,base,single,1,6.3,7.675,9,5,0.01,1,1,0,1,0,13,9,0.049828202614389916,11.02,5.430000000000001,5.589999999999999,7.72482820261439,7.72,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,70,diprotic,near,acid,separated,2,2.873,2.236,0,0,,1,1,0,1,0,4,0,0.005059286518160899,5.12,5.12,0.0,2.241059286518161,2.24,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,71,monoprotic,far,acid,single,1,6.601,4.483,45,42,0.01,0,0,0,0,0,50,45,0.16992659601805027,14.749999999999993,7.689999999999996,7.059999999999997,4.313073403981949,4.3100000000000005,max_steps,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,72,diprotic,medium,base,overlapping,2,4.8,5.822,5,1,0.035,1,1,0,1,0,8,5,0.04793914086943385,6.109999999999999,2.9,3.2099999999999995,5.869939140869434,5.87,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,73,triprotic,far,acid,separated,3,5.466,2.4,0,0,,1,1,0,1,0,6,0,0.03314192918131065,14.739999999999998,14.739999999999998,0.0,2.4331419291813106,2.43,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,74,monoprotic,far,base,single,1,6.571,9.574,6,6,0.015,1,0,0,1,0,12,6,0.08824770209275279,15.739999999999998,3.63,12.11,9.485752297907247,9.49,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,75,monoprotic,far,base,single,1,1.759,4.097,4,1,0.045,1,1,0,1,0,10,4,0.004284634661741116,17.870000000000005,0.7899999999999999,17.080000000000005,4.092715365338259,4.09,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,76,diprotic,near,acid,separated,2,4.672,4.281,0,0,,1,0,0,1,0,25,0,0.09517620769581914,0.7500000000000004,0.7500000000000004,0.0,4.376176207695819,4.38,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,77,triprotic,medium,acid,separated,3,4.569,3.245,0,0,,1,0,0,1,0,2,0,0.08611641081597643,6.93,6.93,0.0,3.3311164108159765,3.33,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,78,monoprotic,medium,base,single,1,7.205,7.912,2,2,0.25,1,0,0,1,0,5,2,0.05403083154635002,4.56,1.74,2.82,7.85796916845365,7.86,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,79,monoprotic,near,acid,single,1,2.985,2.285,2,1,0.36,1,0,0,1,0,4,2,0.0619222265418653,5.47,3.33,2.1399999999999997,2.3469222265418654,2.35,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,80,monoprotic,medium,acid,single,1,7.381,5.657,4,1,0.12,1,1,0,1,0,9,4,0.018925864870825038,13.15,7.63,5.5200000000000005,5.675925864870825,5.68,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,81,diprotic,near,acid,separated,2,4.451,3.793,0,0,,1,1,0,1,0,3,0,0.003849431117584956,4.05,4.05,0.0,3.796849431117585,3.8000000000000003,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,82,triprotic,near,acid,separated,3,2.069,1.514,0,0,,1,0,0,1,0,1,0,0.08733197434412499,2.97,2.97,0.0,1.601331974344125,1.6,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,83,diprotic,medium,base,separated,2,3.603,4.898,3,0,0.295,1,1,0,1,0,4,3,0.00030644163087067966,7.180000000000001,1.82,5.36,4.89830644163087,4.9,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000101,84,monoprotic,medium,base,single,1,4.118,5.194,0,0,,1,0,0,1,0,5,0,0.06035630727455743,6.840000000000001,0.0,6.840000000000001,5.1336436927254425,5.13,measured_success,step_cost_0p01,303,101,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
