environment_steps,tasks,success_rate_percent,strict_success_rate_percent,severe_failure_rate_percent,false_stop_rate_percent,successful_steps_mean,steps_mean,overshoots_mean,total_volume_mean_ml,final_abs_error_mean,actor_loss,critic_loss,entropy,post_final_batch
0,500,88.4,29.799999999999997,3.2,2.6,8.081447963800905,12.176,3.568,8.04256,0.11482017455474004,,,,
10001,500,86.2,30.4,4.2,2.8000000000000003,8.904872389791183,13.848,4.062,8.420939999999998,0.13553225261527313,-0.07248630669588844,4.949609531296624,4.648829062779744,
20001,500,86.8,33.0,5.2,2.8000000000000003,7.357142857142857,11.846,3.93,8.964979999999999,0.16499848591737656,-0.03487502038478851,4.565195659796397,4.563040905528599,
30005,500,84.0,30.4,5.800000000000001,3.8,8.307142857142857,13.346,3.536,9.076940000000002,0.18113314274219788,-0.06664335787192815,3.6264536587728395,4.473863455984327,
40005,500,86.6,31.8,5.4,2.4,7.471131639722864,11.942,4.026,8.846919999999999,0.17170694286270496,-0.03760704087714354,4.053839031192991,4.413992722829183,
50003,500,85.2,36.8,5.6000000000000005,3.8,7.2018779342723,11.524,3.656,8.93068,0.15423005473628637,-0.010603399636844793,4.5037516421741906,4.376697288619147,
60001,500,85.6,34.8,6.0,3.0,6.7453271028037385,11.49,3.87,8.98138,0.1616511202133068,-0.07832426239555287,3.645015945037206,4.077294952339596,
70003,500,86.4,35.4,5.0,3.5999999999999996,6.962962962962963,11.46,3.968,8.387979999999999,0.14875439237110488,-0.025060727778408263,3.524612953265508,4.077534867657556,
80002,500,88.0,38.0,4.8,2.0,7.1022727272727275,11.236,3.426,8.5672,0.14441595568378346,-0.0008919729799446133,3.610071705447303,3.9136616388956704,
90001,500,87.6,33.2,4.6,3.0,7.378995433789954,11.606,4.198,8.219520000000001,0.14568550052683896,-0.035624199314042926,2.603530142456293,4.006637595593929,
100000,500,87.4,44.4,4.8,2.4,6.931350114416476,11.362,4.226,8.699860000000001,0.1508059622056767,-0.03061493703474601,2.8504108786582947,3.929115960995356,1
