environment_steps,tasks,success_rate_percent,strict_success_rate_percent,severe_failure_rate_percent,false_stop_rate_percent,successful_steps_mean,steps_mean,overshoots_mean,total_volume_mean_ml,final_abs_error_mean,actor_loss,critic_loss,entropy,post_final_batch
0,500,88.4,29.799999999999997,3.2,2.6,8.081447963800905,12.176,3.568,8.04256,0.11482017455474004,,,,
10000,500,88.4,29.4,3.8,3.4000000000000004,7.540723981900452,11.138,3.144,8.584200000000001,0.14514199820308235,-0.04005114848001136,4.673868079980214,4.70674314101537,
20004,500,83.2,29.799999999999997,9.0,3.4000000000000004,8.307692307692308,11.392,2.626,11.68732,0.35132011631047355,-0.060003498478585646,3.9643742974537113,4.724763777520922,
30007,500,82.0,31.4,10.6,3.0,8.482926829268292,11.962,3.044,12.18592,0.3427741211485639,-0.004876205490695106,4.728991541597578,4.576892594496409,
40013,500,80.2,28.199999999999996,7.6,3.0,8.508728179551122,14.182,3.36,10.45462,0.25510356697910835,-0.06033762751354112,4.564513968096839,4.426462703280979,
50011,500,86.0,32.800000000000004,5.0,3.0,8.102325581395348,12.582,4.828,9.203079999999998,0.1594742213661653,-0.014788009562633105,3.847005930211809,4.351825992266337,
60012,500,88.4,37.4,4.0,2.8000000000000003,7.608597285067873,11.126,3.086,8.70492,0.1476970561261171,-0.047003057850007385,3.394743707444933,4.066177970833248,
70004,500,86.0,37.2,5.4,4.2,7.065116279069767,10.626,2.84,9.44962,0.18565702527834452,-0.0386599350895267,3.698904886841774,4.038045227527618,
80002,500,86.0,36.6,5.4,2.4,7.158139534883721,12.002,3.608,8.56502,0.16130335229597556,-0.030791182691852253,3.5499285707871118,4.047702345583174,
90000,500,88.0,37.2,3.2,2.4,6.993181818181818,11.234,3.09,8.79968,0.12122121596594002,-0.04657344478699896,2.9924152625931635,4.055816584163242,
100005,500,89.2,37.6,4.2,2.1999999999999997,6.096412556053812,9.976,2.942,8.09892,0.1278045797948202,-0.0323205201420933,3.48093518614769,3.9226795732975006,1
