method,benchmark_seed,task_id,true_k,estimated_k,k_correct,true_concentration_m,estimated_concentration_m,concentration_relative_error_percent,pka_matched_mae,full_curve_rmse_0_33ml_ph,true_pkas,estimated_pkas
PF,404,2684,2,2,1,0.06584317897357159,0.10641494691486346,61.61878659834566,1.0843422750211207,2.5305473960628144,"[3.3947900735136654, 4.798625552442783]","[4.019060470759301, 6.343039705239389]"
PF,202,790,2,3,0,0.030862297264345553,0.09613755023798128,211.5048416990222,0.5295015661717508,3.61930577824475,"[4.0495501780283005, 5.597499315968612]","[3.3329699270257263, 5.255076434627685, 7.06246848519247]"
PF,202,1106,1,3,0,0.048966024596752734,0.10195151754677466,108.20868834333704,0.04092235693074908,2.778336090247855,[7.1760284887418475],"[3.2431907111412914, 5.2294831358797405, 7.216950845672597]"
PF,101,2684,2,3,0,0.15651504880639894,0.10452739979906352,33.215751075566835,0.7545044558325513,1.3451389699359744,"[3.963548823925442, 4.418316695200419]","[3.3510470051019223, 5.314823788042002, 7.149664714456341]"
PF,303,2526,1,1,1,0.13758801263897394,0.11525649188564162,16.230716851713993,3.2605755633614084,3.1654429993873614,[8.458023131556091],[5.197447568194683]
PF,404,790,2,2,1,0.07174916154714953,0.0998635404406334,39.18426123350401,0.45920751969526474,2.1045867354899226,"[3.8518396582785597, 5.779224609599835]","[4.080458200963915, 6.469021106305009]"
PF,555,1737,1,3,0,0.08255077271199855,0.10512654829501714,27.347745928170156,0.24615459061390332,2.6214677867130907,[6.99063830755514],"[3.379574292971689, 5.394429854833576, 7.2367928981690435]"
PF,202,1,3,3,1,0.09622503649789675,0.10398886851715217,8.068411612839569,2.8583575135545516,3.037343429992194,"[1.9244087184203733, 2.3320804640730364, 2.6112072018556782]","[3.343314267676393, 5.100333694172347, 6.999120963164002]"
PF,101,3000,1,2,0,0.16958177600951124,0.09871590080232337,41.78861483513019,1.0758512687578312,2.537819660793663,[7.698747422440217],"[3.999035575647198, 6.622896153682386]"
PF,202,2526,3,2,0,0.055395815292556105,0.10260405191468958,85.21986069311835,1.771413169471453,3.155635529174324,"[2.888946350111958, 3.304561494483748, 3.650018204276066]","[3.996363798817673, 6.501042238885047]"
PF,202,1579,3,3,1,0.1535759629916498,0.10145858060459731,33.93589815216474,0.23245752066424621,3.8193216086168142,"[3.1777457049576725, 5.667921690088857, 7.302549406951195]","[3.5062541035384656, 5.349721973900294, 7.251884959727812]"
PF,555,1422,3,2,0,0.07606902868101931,0.10314569039231715,35.59485664637386,2.504610329395902,2.1756058020294065,"[2.115824693729396, 2.503629653532519, 2.807150217121589]","[3.9589937824897805, 6.361006746956132]"
