method,benchmark_seed,task_id,repeats,median_wall_ms,median_process_cpu_ms
imitation,101,1,1,0.1499,0.0
imitation,101,159,1,0.1511,0.0
imitation,101,317,1,0.1763,0.0
imitation,101,475,1,0.1497,0.0
imitation,101,632,1,0.1576,0.0
imitation,101,790,1,0.1835,0.0
imitation,101,948,1,0.1521,0.0
imitation,101,1106,1,0.1726,0.0
imitation,101,1264,1,0.1558,0.0
imitation,101,1422,1,0.1482,0.0
imitation,101,1579,1,0.1549,0.0
imitation,101,1737,1,0.1513,0.0
imitation,101,1895,1,0.1552,0.0
imitation,101,2053,1,0.1505,0.0
imitation,101,2211,1,0.23,0.0
imitation,101,2369,1,0.1494,0.0
imitation,101,2526,1,0.1561,0.0
imitation,101,2684,1,0.2052,0.0
imitation,101,2842,1,0.1554,0.0
imitation,101,3000,1,0.1536,0.0
imitation,202,1,1,0.1573,0.0
imitation,202,159,1,0.1488,0.0
imitation,202,317,1,0.1556,0.0
imitation,202,475,1,0.1518,0.0
imitation,202,632,1,0.1522,0.0
imitation,202,790,1,0.3518,0.0
imitation,202,948,1,0.1485,0.0
imitation,202,1106,1,0.235,0.0
imitation,202,1264,1,0.1825,0.0
imitation,202,1422,1,0.1702,0.0
imitation,202,1579,1,0.1513,0.0
imitation,202,1737,1,0.1492,0.0
imitation,202,1895,1,0.1556,0.0
imitation,202,2053,1,0.1497,0.0
imitation,202,2211,1,0.1593,0.0
imitation,202,2369,1,0.1651,0.0
imitation,202,2526,1,0.1516,0.0
imitation,202,2684,1,0.1637,0.0
imitation,202,2842,1,0.1499,0.0
imitation,202,3000,1,0.1487,0.0
imitation,303,1,1,0.1865,0.0
imitation,303,159,1,0.1525,0.0
imitation,303,317,1,0.1469,0.0
imitation,303,475,1,0.1562,0.0
imitation,303,632,1,0.1479,0.0
imitation,303,790,1,0.1517,0.0
imitation,303,948,1,0.1829,0.0
imitation,303,1106,1,0.9915,0.0
imitation,303,1264,1,0.1697,0.0
imitation,303,1422,1,0.1692,0.0
imitation,303,1579,1,0.1485,0.0
imitation,303,1737,1,0.4034,0.0
imitation,303,1895,1,0.1547,0.0
imitation,303,2053,1,0.1552,0.0
imitation,303,2211,1,0.1504,0.0
imitation,303,2369,1,0.1544,0.0
imitation,303,2526,1,0.167,0.0
imitation,303,2684,1,0.1657,0.0
imitation,303,2842,1,0.149,0.0
imitation,303,3000,1,0.15,0.0
imitation,404,1,1,0.1527,0.0
imitation,404,159,1,0.1601,0.0
imitation,404,317,1,0.1538,0.0
imitation,404,475,1,0.1693,0.0
imitation,404,632,1,0.1491,0.0
imitation,404,790,1,0.155,0.0
imitation,404,948,1,0.1501,0.0
imitation,404,1106,1,0.1587,0.0
imitation,404,1264,1,0.1542,0.0
imitation,404,1422,1,0.152,0.0
imitation,404,1579,1,0.1492,0.0
imitation,404,1737,1,0.1501,0.0
imitation,404,1895,1,0.154,0.0
imitation,404,2053,1,0.1499,0.0
imitation,404,2211,1,0.1572,0.0
imitation,404,2369,1,0.1567,0.0
imitation,404,2526,1,0.1548,0.0
imitation,404,2684,1,0.3412,0.0
imitation,404,2842,1,0.1695,0.0
imitation,404,3000,1,0.2011,15.625
imitation,555,1,1,0.1627,0.0
imitation,555,159,1,0.1476,0.0
imitation,555,317,1,0.1772,0.0
imitation,555,475,1,0.1583,0.0
imitation,555,632,1,0.1495,0.0
imitation,555,790,1,0.1519,0.0
imitation,555,948,1,0.1841,0.0
imitation,555,1106,1,0.1527,0.0
imitation,555,1264,1,0.1703,0.0
imitation,555,1422,1,0.152,0.0
imitation,555,1579,1,0.1682,0.0
imitation,555,1737,1,0.1607,0.0
imitation,555,1895,1,0.1502,0.0
imitation,555,2053,1,0.1553,0.0
imitation,555,2211,1,0.1706,0.0
imitation,555,2369,1,0.149,0.0
imitation,555,2526,1,0.1552,0.0
imitation,555,2684,1,0.1737,0.0
imitation,555,2842,1,0.148,0.0
imitation,555,3000,1,0.1489,0.0
