method,benchmark_seed,task_id,repeats,median_wall_ms,median_process_cpu_ms
pf_1000,101,1,1,22.1012,31.25
pf_1000,101,159,1,21.1207,31.25
pf_1000,101,317,1,25.3265,15.625
pf_1000,101,475,1,21.1444,15.625
pf_1000,101,632,1,23.3703,15.625
pf_1000,101,790,1,26.4802,31.25
pf_1000,101,948,1,61.5466,62.5
pf_1000,101,1106,1,22.0126,0.0
pf_1000,101,1264,1,25.2361,31.25
pf_1000,101,1422,1,20.9519,31.25
pf_1000,101,1579,1,23.1916,31.25
pf_1000,101,1737,1,22.8857,15.625
pf_1000,101,1895,1,52.3413,62.5
pf_1000,101,2053,1,21.0667,15.625
pf_1000,101,2211,1,21.8331,15.625
pf_1000,101,2369,1,21.7947,15.625
pf_1000,101,2526,1,52.7139,46.875
pf_1000,101,2684,1,53.3371,46.875
pf_1000,101,2842,1,55.2901,46.875
pf_1000,101,3000,1,21.722,15.625
pf_1000,202,1,1,22.9171,31.25
pf_1000,202,159,1,21.0035,31.25
pf_1000,202,317,1,56.8153,46.875
pf_1000,202,475,1,20.9923,15.625
pf_1000,202,632,1,52.6286,46.875
pf_1000,202,790,1,51.5736,46.875
pf_1000,202,948,1,51.3501,46.875
pf_1000,202,1106,1,22.6302,31.25
pf_1000,202,1264,1,22.2049,15.625
pf_1000,202,1422,1,55.6018,46.875
pf_1000,202,1579,1,22.4228,15.625
pf_1000,202,1737,1,22.3188,15.625
pf_1000,202,1895,1,22.2519,15.625
pf_1000,202,2053,1,22.3615,15.625
pf_1000,202,2211,1,55.0034,62.5
pf_1000,202,2369,1,51.9344,46.875
pf_1000,202,2526,1,22.7468,31.25
pf_1000,202,2684,1,55.2123,31.25
pf_1000,202,2842,1,50.1535,46.875
pf_1000,202,3000,1,22.1795,15.625
pf_1000,303,1,1,24.4622,31.25
pf_1000,303,159,1,24.2337,31.25
pf_1000,303,317,1,52.4666,62.5
pf_1000,303,475,1,22.2873,15.625
pf_1000,303,632,1,22.9726,31.25
pf_1000,303,790,1,22.1035,31.25
pf_1000,303,948,1,21.8194,15.625
pf_1000,303,1106,1,21.7536,15.625
pf_1000,303,1264,1,21.2572,15.625
pf_1000,303,1422,1,48.1084,46.875
pf_1000,303,1579,1,22.2345,31.25
pf_1000,303,1737,1,21.8347,15.625
pf_1000,303,1895,1,23.7616,15.625
pf_1000,303,2053,1,24.6674,31.25
pf_1000,303,2211,1,22.5871,31.25
pf_1000,303,2369,1,21.6119,15.625
pf_1000,303,2526,1,50.1609,62.5
pf_1000,303,2684,1,21.744,31.25
pf_1000,303,2842,1,23.7498,31.25
pf_1000,303,3000,1,45.1275,46.875
pf_1000,404,1,1,55.9844,46.875
pf_1000,404,159,1,50.8038,46.875
pf_1000,404,317,1,23.6842,31.25
pf_1000,404,475,1,23.0544,31.25
pf_1000,404,632,1,21.2089,15.625
pf_1000,404,790,1,51.2272,46.875
pf_1000,404,948,1,22.7932,15.625
pf_1000,404,1106,1,22.7619,15.625
pf_1000,404,1264,1,51.7678,46.875
pf_1000,404,1422,1,21.1093,15.625
pf_1000,404,1579,1,21.2438,15.625
pf_1000,404,1737,1,22.735,15.625
pf_1000,404,1895,1,59.5514,62.5
pf_1000,404,2053,1,24.3882,31.25
pf_1000,404,2211,1,51.2639,46.875
pf_1000,404,2369,1,24.408,15.625
pf_1000,404,2526,1,23.0322,31.25
pf_1000,404,2684,1,21.9433,0.0
pf_1000,404,2842,1,54.84,46.875
pf_1000,404,3000,1,21.8727,15.625
pf_1000,555,1,1,22.8494,31.25
pf_1000,555,159,1,49.4503,46.875
pf_1000,555,317,1,51.2186,46.875
pf_1000,555,475,1,23.1845,15.625
pf_1000,555,632,1,21.6242,31.25
pf_1000,555,790,1,23.0197,31.25
pf_1000,555,948,1,24.1588,15.625
pf_1000,555,1106,1,52.0194,46.875
pf_1000,555,1264,1,23.3192,31.25
pf_1000,555,1422,1,22.0471,31.25
pf_1000,555,1579,1,24.6239,15.625
pf_1000,555,1737,1,22.2361,15.625
pf_1000,555,1895,1,21.0885,31.25
pf_1000,555,2053,1,21.8501,15.625
pf_1000,555,2211,1,23.6555,31.25
pf_1000,555,2369,1,21.886,0.0
pf_1000,555,2526,1,21.6582,31.25
pf_1000,555,2684,1,22.7464,31.25
pf_1000,555,2842,1,21.2437,31.25
pf_1000,555,3000,1,51.0765,46.875
