method,repeat,order_position,benchmark_seed,task_seed,task_id,pka_values,analyte_conc_m,initial_volume_ml,initial_base_moles,before_ph,observed_ph,target_ph,reagent,previous_volume_ml,wall_ns,process_cpu_ns,selected_k,posterior_concentration_m,posterior_pka_values,posterior_pka_sd,pair_probabilities
pf_1000,1,1,404,1000404,2684,"(3.3947900735136654, 4.798625552442783)",0.06584317897357159,8.041775340978855,0.0007751311284685453,4.79,4.79,1.859,acid,0.01,21943300,0,2,0.10641494691486346,"[4.019060470759301, 6.343039705239389]","[1.8104783996858973, 1.868778653824614]","[0.3335780930960843, 0.33359922152276994, 0.3328226853811458]"
pf_1000,1,2,202,1000202,790,"(4.0495501780283005, 5.597499315968612)",0.030862297264345553,12.539728678587245,0.0007377819169979483,6.59,6.57,2.681,acid,0.01,51573600,46875000,3,0.09613755023798128,"[3.3329699270257263, 5.255076434627685, 7.06246848519247]","[1.3844507248328757, 1.642407628194053, 1.4435801316600938]","[0.3328758201898271, 0.3335494868847677, 0.3335746929254053]"
pf_1000,1,3,202,1000202,1106,"(7.1760284887418475,)",0.048966024596752734,9.74085566081746,0.00039398371702839037,7.85,7.85,5.042,acid,0.01,22630200,31250000,3,0.10195151754677466,"[3.2431907111412914, 5.2294831358797405, 7.216950845672597]","[1.352194997540063, 1.5947815868495197, 1.3736744632621753]","[0.3335936031110683, 0.3325561192751192, 0.33385027761381253]"
pf_1000,1,4,101,1000101,2684,"(3.963548823925442, 4.418316695200419)",0.15651504880639894,12.727226273243534,0.0012667580544639299,3.88,3.88,3.626,acid,0.01,53337100,46875000,3,0.10452739979906352,"[3.3510470051019223, 5.314823788042002, 7.149664714456341]","[1.3876211395319562, 1.6105898077002072, 1.4116050298073852]","[0.332941680252807, 0.3334479174937984, 0.3336104022533947]"
pf_1000,1,5,303,1000303,2526,"(8.458023131556091,)",0.13758801263897394,8.050358540947101,0.0006509410189265067,8.61,8.61,5.367,acid,0.01,50160900,62500000,1,0.11525649188564162,[5.197447568194683],[2.1987007180625873],"[0.3345381636283669, 0.33295035205125995, 0.33251148432037314]"
pf_1000,1,6,404,1000404,790,"(3.8518396582785597, 5.779224609599835)",0.07174916154714953,12.064709534689499,0.0010888654237003437,5.38,5.38,5.83,base,0.01,51227200,46875000,2,0.0998635404406334,"[4.080458200963915, 6.469021106305009]","[1.854670105193094, 1.8187596449646322]","[0.33311292282176636, 0.3337559401366713, 0.33313113704156233]"
pf_1000,1,7,555,1000555,1737,"(6.99063830755514,)",0.08255077271199855,8.033894111664527,6.468146755935671e-05,6.02,6.02,3.5,acid,0.01,22236100,15625000,3,0.10512654829501714,"[3.379574292971689, 5.394429854833576, 7.2367928981690435]","[1.5291614600951269, 1.729389082177595, 1.390916978125737]","[0.3332576989002865, 0.33335428591451055, 0.33338801518520295]"
pf_1000,1,8,202,1000202,1,"(1.9244087184203733, 2.3320804640730364, 2.6112072018556782)",0.09622503649789675,8.52414914273476,0.0015425773360628742,2.51,2.51,2.84,base,0.01,22917100,31250000,3,0.10398886851715217,"[3.343314267676393, 5.100333694172347, 6.999120963164002]","[1.3510557489024153, 1.6580870698154482, 1.4755381108667471]","[0.3332488519583651, 0.3333434677904033, 0.33340768025123163]"
pf_1000,1,9,101,1000101,3000,"(7.698747422440217,)",0.16958177600951124,8.708322893888175,0.00054958742712192,7.47,7.47,7.922,base,0.01,21722000,15625000,2,0.09871590080232337,"[3.999035575647198, 6.622896153682386]","[1.7639542836131759, 1.6990485685341203]","[0.33328645325396555, 0.33367249365290086, 0.3330410530931336]"
pf_1000,1,10,202,1000202,2526,"(2.888946350111958, 3.304561494483748, 3.650018204276066)",0.055395815292556105,9.20911938922874,0.0011632665493525364,3.74,3.74,2.856,acid,0.01,22746800,31250000,2,0.10260405191468958,"[3.996363798817673, 6.501042238885047]","[1.8379548360184959, 1.8489461624161163]","[0.3333775010374987, 0.3334553810871898, 0.3331671178753115]"
