method,benchmark_seed,task_id,repeats,median_wall_ms,median_process_cpu_ms
ppo,101,1,1,0.1842,0.0
ppo,101,159,1,0.1503,0.0
ppo,101,317,1,0.1547,0.0
ppo,101,475,1,0.1487,0.0
ppo,101,632,1,0.165,0.0
ppo,101,790,1,0.1613,0.0
ppo,101,948,1,0.1519,0.0
ppo,101,1106,1,0.1498,0.0
ppo,101,1264,1,0.1576,0.0
ppo,101,1422,1,0.1826,0.0
ppo,101,1579,1,0.1495,0.0
ppo,101,1737,1,0.1712,15.625
ppo,101,1895,1,0.2038,0.0
ppo,101,2053,1,0.1548,0.0
ppo,101,2211,1,0.2491,0.0
ppo,101,2369,1,0.1484,0.0
ppo,101,2526,1,0.2239,0.0
ppo,101,2684,1,0.168,0.0
ppo,101,2842,1,0.1507,0.0
ppo,101,3000,1,0.1541,0.0
ppo,202,1,1,0.1517,0.0
ppo,202,159,1,0.1537,0.0
ppo,202,317,1,0.1534,0.0
ppo,202,475,1,0.1536,0.0
ppo,202,632,1,0.1477,0.0
ppo,202,790,1,0.2288,0.0
ppo,202,948,1,0.1479,0.0
ppo,202,1106,1,0.2115,0.0
ppo,202,1264,1,0.1517,0.0
ppo,202,1422,1,0.1495,0.0
ppo,202,1579,1,0.1508,0.0
ppo,202,1737,1,0.1551,0.0
ppo,202,1895,1,0.2682,0.0
ppo,202,2053,1,0.1528,0.0
ppo,202,2211,1,0.1489,0.0
ppo,202,2369,1,0.1523,0.0
ppo,202,2526,1,0.1521,0.0
ppo,202,2684,1,0.1486,0.0
ppo,202,2842,1,0.1528,0.0
ppo,202,3000,1,0.1505,0.0
ppo,303,1,1,0.1606,0.0
ppo,303,159,1,0.175,0.0
ppo,303,317,1,0.1764,0.0
ppo,303,475,1,0.1508,0.0
ppo,303,632,1,0.1878,0.0
ppo,303,790,1,0.1619,0.0
ppo,303,948,1,0.1715,0.0
ppo,303,1106,1,0.2001,0.0
ppo,303,1264,1,0.1679,0.0
ppo,303,1422,1,0.1503,0.0
ppo,303,1579,1,0.148,0.0
ppo,303,1737,1,0.1668,0.0
ppo,303,1895,1,0.1775,0.0
ppo,303,2053,1,0.1528,0.0
ppo,303,2211,1,0.1501,0.0
ppo,303,2369,1,0.1793,0.0
ppo,303,2526,1,0.162,0.0
ppo,303,2684,1,0.1673,0.0
ppo,303,2842,1,0.2107,0.0
ppo,303,3000,1,0.1488,0.0
ppo,404,1,1,0.1513,0.0
ppo,404,159,1,0.151,0.0
ppo,404,317,1,0.1744,0.0
ppo,404,475,1,0.1485,0.0
ppo,404,632,1,0.1493,0.0
ppo,404,790,1,0.1544,0.0
ppo,404,948,1,0.1519,0.0
ppo,404,1106,1,0.1498,0.0
ppo,404,1264,1,0.1509,0.0
ppo,404,1422,1,0.1503,0.0
ppo,404,1579,1,0.1513,0.0
ppo,404,1737,1,0.1672,0.0
ppo,404,1895,1,0.1533,0.0
ppo,404,2053,1,0.1534,0.0
ppo,404,2211,1,0.1535,0.0
ppo,404,2369,1,0.1547,0.0
ppo,404,2526,1,0.1569,0.0
ppo,404,2684,1,0.4068,0.0
ppo,404,2842,1,0.1575,0.0
ppo,404,3000,1,0.2004,0.0
ppo,555,1,1,0.1524,0.0
ppo,555,159,1,0.147,0.0
ppo,555,317,1,0.1518,0.0
ppo,555,475,1,0.3275,0.0
ppo,555,632,1,0.145,0.0
ppo,555,790,1,0.1507,0.0
ppo,555,948,1,0.1558,0.0
ppo,555,1106,1,0.1573,0.0
ppo,555,1264,1,0.413,0.0
ppo,555,1422,1,0.1776,0.0
ppo,555,1579,1,0.1671,0.0
ppo,555,1737,1,0.1589,0.0
ppo,555,1895,1,0.1494,0.0
ppo,555,2053,1,0.1498,0.0
ppo,555,2211,1,0.1512,0.0
ppo,555,2369,1,0.1594,0.0
ppo,555,2526,1,0.3721,0.0
ppo,555,2684,1,0.8596,0.0
ppo,555,2842,1,0.1559,0.0
ppo,555,3000,1,0.1494,0.0
