method,repeat,order_position,benchmark_seed,task_seed,task_id,pka_values,analyte_conc_m,initial_volume_ml,initial_base_moles,before_ph,observed_ph,target_ph,reagent,previous_volume_ml,wall_ns,process_cpu_ns
ppo,1,1,404,1000404,2684,"(3.3947900735136654, 4.798625552442783)",0.06584317897357159,8.041775340978855,0.0007751311284685453,4.79,4.79,1.859,acid,0.01,406800,0
ppo,1,2,202,1000202,790,"(4.0495501780283005, 5.597499315968612)",0.030862297264345553,12.539728678587245,0.0007377819169979483,6.59,6.57,2.681,acid,0.01,228800,0
ppo,1,3,202,1000202,1106,"(7.1760284887418475,)",0.048966024596752734,9.74085566081746,0.00039398371702839037,7.85,7.85,5.042,acid,0.01,211500,0
ppo,1,4,101,1000101,2684,"(3.963548823925442, 4.418316695200419)",0.15651504880639894,12.727226273243534,0.0012667580544639299,3.88,3.88,3.626,acid,0.01,168000,0
ppo,1,5,303,1000303,2526,"(8.458023131556091,)",0.13758801263897394,8.050358540947101,0.0006509410189265067,8.61,8.61,5.367,acid,0.01,162000,0
ppo,1,6,404,1000404,790,"(3.8518396582785597, 5.779224609599835)",0.07174916154714953,12.064709534689499,0.0010888654237003437,5.38,5.38,5.83,base,0.01,154400,0
ppo,1,7,555,1000555,1737,"(6.99063830755514,)",0.08255077271199855,8.033894111664527,6.468146755935671e-05,6.02,6.02,3.5,acid,0.01,158900,0
ppo,1,8,202,1000202,1,"(1.9244087184203733, 2.3320804640730364, 2.6112072018556782)",0.09622503649789675,8.52414914273476,0.0015425773360628742,2.51,2.51,2.84,base,0.01,151700,0
ppo,1,9,101,1000101,3000,"(7.698747422440217,)",0.16958177600951124,8.708322893888175,0.00054958742712192,7.47,7.47,7.922,base,0.01,154100,0
ppo,1,10,202,1000202,2526,"(2.888946350111958, 3.304561494483748, 3.650018204276066)",0.055395815292556105,9.20911938922874,0.0011632665493525364,3.74,3.74,2.856,acid,0.01,152100,0
ppo,1,11,202,1000202,1579,"(3.1777457049576725, 5.667921690088857, 7.302549406951195)",0.1535759629916498,10.995184983924172,0.005026329169229376,8.92,8.93,9.277,base,0.01,150800,0
ppo,1,12,555,1000555,1422,"(2.115824693729396, 2.503629653532519, 2.807150217121589)",0.07606902868101931,8.238831484754328,0.000594542204166807,2.23,2.23,4.202,base,0.01,177600,0
ppo,1,13,101,1000101,2842,"(3.140700703534308, 5.001005053420105, 6.764491975680406)",0.06712965980189593,9.614322595226724,0.0014802623269586435,6.45,6.44,4.327,acid,0.01,150700,0
ppo,1,14,303,1000303,2053,"(3.8627651516768173, 5.33486429622776)",0.0704899805149234,15.4429995464187,0.0016088151006950345,5.34,5.34,3.528,acid,0.01,152800,0
ppo,1,15,555,1000555,948,"(4.909127838258006, 7.264699362135895)",0.07534738020694738,11.840170739615491,0.0011750973076075633,6.95,6.95,5.218,acid,0.01,155800,0
ppo,1,16,202,1000202,2684,"(4.577871379799451,)",0.049354754728436985,8.881910444780361,0.00019131808858951571,4.47,4.46,2.589,acid,0.01,148600,0
ppo,1,17,555,1000555,2211,"(4.191472670325491, 6.6377760518731295)",0.0426334539111618,9.561600003893933,6.283591353466129e-05,3.48,3.48,5.51,base,0.01,151200,0
ppo,1,18,202,1000202,1422,"(3.682202315621854,)",0.08727459201605034,13.17443842635386,0.00037197815779545766,3.37,3.37,3.849,base,0.01,149500,0
ppo,1,19,555,1000555,1,"(2.6619855552302107, 5.019769183222547, 7.18498757392706)",0.05312122109092176,15.263157629955955,0.0013317312868228138,5.26,5.26,4.769,acid,0.01,152400,0
ppo,1,20,404,1000404,1106,"(8.119038067029956,)",0.05319907334764119,15.452727842115475,0.00048808334373413214,8.28,8.29,11.417,base,0.01,149800,0
ppo,1,21,202,1000202,2211,"(2.962549981219621, 4.031298435475328)",0.030800611422609914,10.700453167756812,0.0002518728847380254,3.24,3.24,1.83,acid,0.01,148900,0
ppo,1,22,101,1000101,632,"(4.429256909988458, 6.808335215132788)",0.04967688109437773,8.45231925831571,0.0004558737236480732,5.93,5.92,5.424,acid,0.01,165000,0
ppo,1,23,101,1000101,1895,"(3.434757555586809, 5.38419356465918, 7.864443336954745)",0.037683262320780495,13.811814893277887,0.0014723918619696454,8.55,8.56,9.034,base,0.01,203800,0
ppo,1,24,303,1000303,1895,"(2.2308142332019427, 3.8684993430504564)",0.09125094492334315,14.353003406979628,0.0022369309592120907,4.26,4.26,3.929,acid,0.01,177500,0
ppo,1,25,404,1000404,2526,"(4.013748933379667, 6.305202195419911)",0.06057550926928873,8.196913859782544,0.000964762958648913,7.52,7.54,9.229,base,0.01,156900,0
ppo,1,26,101,1000101,790,"(3.2212491755875794, 4.397944878175743, 5.705709342497994)",0.10511578831682555,10.040589617672065,0.0018810000150372016,4.77,4.77,5.288,base,0.01,161300,0
ppo,1,27,404,1000404,2842,"(3.3468249997546864, 4.90622690602577)",0.08019315607628244,14.92059071560752,0.000752048154578938,3.52,3.52,3.018,acid,0.01,157500,0
ppo,1,28,101,1000101,1264,"(6.7973720951131575,)",0.08518331841023738,9.126425985179107,0.00033617661635827707,6.68,6.68,3.077,acid,0.01,157600,0
ppo,1,29,404,1000404,2369,"(3.4685298447917976, 4.464249464873871, 6.257714329725227)",0.17314324298754255,10.953086867156621,0.0017232981870859364,3.86,3.86,2.885,acid,0.01,154700,0
ppo,1,30,202,1000202,317,"(4.061330952453406, 5.2898756309050095)",0.10984958076855228,15.943517483958798,0.0011181023394541535,4.19,4.2,5.463,base,0.01,153400,0
ppo,1,31,404,1000404,2053,"(3.7919399778157334, 5.090196456682513, 6.81133974369312)",0.09329217892218565,11.904918287208844,0.001765092694227148,5.25,5.25,8.479,base,0.01,153400,0
ppo,1,32,101,1000101,948,"(3.9535010118720386, 6.323210701345227)",0.03633027155734308,11.911834059883542,0.00034056598544781984,4.49,4.48,2.494,acid,0.01,151900,0
ppo,1,33,404,1000404,1895,"(2.3792584327893014,)",0.05903324062847452,8.314518573607039,4.7596328024483975e-05,1.97,1.97,3.622,base,0.01,153300,0
ppo,1,34,555,1000555,1579,"(6.158636815286901,)",0.09407324280959979,12.651411335830586,0.00011460081660065973,5.19,5.19,5.963,base,0.01,167100,0
ppo,1,35,303,1000303,2842,"(3.764556976769614, 5.3084541641996115)",0.07094098651869922,14.729803467616764,3.669221537996713e-05,2.63,2.63,3.771,base,0.01,210700,0
ppo,1,36,404,1000404,1737,"(3.968715075704214,)",0.049661237760811265,12.952998546260789,0.00016039069901837907,3.5,3.51,3.83,base,0.01,167200,0
ppo,1,37,303,1000303,159,"(4.042140438985008,)",0.09873193342431864,9.742908207184485,0.0008767969510074327,5.06,5.05,4.744,acid,0.01,175000,0
ppo,1,38,101,1000101,317,"(2.547821426595555, 3.024634481078176)",0.04869886549526234,14.506773681834426,0.0009683928608489749,3.12,3.12,2.461,acid,0.01,154700,0
ppo,1,39,404,1000404,1,"(2.395542874288007,)",0.03435788244861229,15.157758840399428,0.0003867359966348887,2.94,2.94,3.143,base,0.01,151300,0
ppo,1,40,404,1000404,1264,"(2.679114411154587, 4.623150612549284, 5.841311930268676)",0.04864077363440658,9.507057003784507,0.0013271626997182738,6.68,6.67,5.134,acid,0.01,150900,0
ppo,1,41,101,1000101,475,"(2.604648765231752, 4.94242753260208)",0.1401980227255406,11.141933438931382,0.0022169368947427596,4.81,4.81,5.474,base,0.01,148700,0
ppo,1,42,101,1000101,2053,"(2.2669148851510847, 2.6077817088635395, 2.847186129097305)",0.1304894682172804,10.709909396857928,0.0021951024671846525,2.62,2.62,4.456,base,0.01,154800,0
ppo,1,43,202,1000202,159,"(3.9956567356854293, 5.291244606411548)",0.17248380139854214,14.907646527873439,0.0011547700594150233,3.86,3.87,5.408,base,0.01,153700,0
ppo,1,44,404,1000404,632,"(7.2505340657266695,)",0.16895321402007207,14.894650935118984,0.0013673210938666012,7.33,7.33,4.493,acid,0.01,149300,0
ppo,1,45,404,1000404,1422,"(6.979524355238352,)",0.056811695021597546,8.835954749710197,0.0002036263733566515,6.81,6.82,7.397,base,0.01,150300,0
ppo,1,46,101,1000101,1422,"(3.0721435154223338, 4.2857132774621505)",0.11605700207995368,14.999066490187852,0.0011498481593319966,3.24,3.24,3.569,base,0.01,182600,0
ppo,1,47,202,1000202,475,"(3.361182545251126, 5.7103982333598555)",0.09227389968443848,15.094325219636204,0.0011499851315923612,3.99,3.99,7.921,base,0.01,153600,0
ppo,1,48,101,1000101,159,"(5.110597024908919,)",0.08281932463450377,12.977927445262102,0.0006028014458778654,5.22,5.22,8.932,base,0.01,150300,0
ppo,1,49,303,1000303,1422,"(4.7047811494863705, 6.200951787846143)",0.10949471867128201,10.024959237256653,0.00015380201662782664,3.92,3.91,2.333,acid,0.01,150300,0
ppo,1,50,303,1000303,1264,"(2.6094581217533745, 3.7950267765752908, 5.531304543314491)",0.030189539759761057,12.37138369148207,0.0006686918327864607,4.28,4.27,3.92,acid,0.01,167900,0
ppo,1,51,404,1000404,1579,"(3.4282883076921236, 5.628727942827487, 6.751457386671085)",0.03104250890631701,13.69454338688585,0.0012541151215404907,8.03,8.01,7.546,acid,0.01,151300,0
ppo,1,52,555,1000555,1895,"(2.310890222752545,)",0.050234131575798514,13.514012639903875,0.00039970836398358825,2.57,2.57,4.682,base,0.01,149400,0
ppo,1,53,303,1000303,3000,"(3.2192514785438116, 4.427090391909266, 6.077683835702965)",0.07118105653668573,15.842167462639406,5.449076150920436e-05,2.33,2.33,3.311,base,0.01,148800,0
ppo,1,54,202,1000202,2842,"(3.601173651399014, 5.249317365279029, 6.210892048479246)",0.15800088798482254,14.25202635658351,0.001228265934737013,3.65,3.65,5.173,base,0.01,152800,0
ppo,1,55,202,1000202,948,"(3.559029132946093, 5.769850237658069, 7.9458048136920905)",0.06801700095076234,9.32123248645031,0.00012702215864195622,3.0,3.0,3.693,base,0.01,147900,0
ppo,1,56,555,1000555,632,"(4.446910261108392, 5.860245765079793)",0.11825068905687264,11.3134480068266,0.002497196864024699,6.68,6.68,8.183,base,0.01,145000,0
ppo,1,57,101,1000101,1737,"(3.8127688093499366,)",0.05028484779423099,15.505210076711563,0.0005010003631944423,4.07,4.07,5.119,base,0.01,171200,15625000
ppo,1,58,555,1000555,2526,"(3.049030429638447,)",0.1719539599434053,14.137560166821967,0.0013123828950454535,3.13,3.13,4.733,base,0.01,372100,0
ppo,1,59,303,1000303,2369,"(5.037185640865046,)",0.08291712917611893,8.59452891967884,0.00040240344268617923,5.15,5.15,3.969,acid,0.01,179300,0
ppo,1,60,303,1000303,790,"(2.2399263218226997, 3.658828950521066)",0.14885456516877088,14.838601555415263,0.0015395909079044523,2.52,2.52,2.018,acid,0.01,161900,0
ppo,1,61,303,1000303,1106,"(3.606903236044145, 5.536995817388389)",0.07426201718906171,10.512443529231064,4.673210799807045e-05,2.61,2.62,3.737,base,0.01,200100,0
ppo,1,62,101,1000101,2211,"(6.9586759113359165,)",0.06692298381776815,10.753156834113902,0.00040512674754783685,7.07,7.07,6.632,acid,0.01,249100,0
ppo,1,63,555,1000555,1264,"(1.8352311696827652, 3.6116536722951755)",0.0508601498163102,14.004102559697698,0.0013198774593016715,4.38,4.39,6.678,base,0.01,413000,0
ppo,1,64,404,1000404,3000,"(3.291273836367277, 3.7712920518616246, 4.013835323248265)",0.031043351915272348,14.146798165018577,0.0002454878545477993,3.14,3.14,2.799,acid,0.01,200400,0
ppo,1,65,555,1000555,2684,"(3.9806547984579312,)",0.04991056394861833,12.247648736965607,0.0004741763325461402,4.52,4.53,6.299,base,0.01,859600,0
ppo,1,66,101,1000101,2526,"(2.4404259545988514, 4.302645595920821, 5.898115404874311)",0.06125656029329333,11.161570857360296,0.00030684106593085824,2.44,2.44,1.868,acid,0.01,223900,0
ppo,1,67,404,1000404,317,"(3.327423268174809, 5.3234357144786335, 7.624800545577019)",0.0648619307527631,14.172371306844953,0.0016281926723388585,5.82,5.82,4.604,acid,0.01,174400,0
ppo,1,68,555,1000555,475,"(5.946298894981457,)",0.09347923672506389,10.629534213079303,0.0006192493455557991,6.16,6.17,7.891,base,0.01,327500,0
ppo,1,69,303,1000303,317,"(4.2849469089844305, 6.466808153718205)",0.15475235944295154,11.851634955967324,0.0008703248773094726,4.23,4.23,7.283,base,0.01,176400,0
ppo,1,70,555,1000555,2369,"(7.939625416189755,)",0.07588280655640195,11.342426485615569,5.2704745221447054e-05,6.75,6.76,7.719,base,0.01,159400,0
ppo,1,71,303,1000303,632,"(8.322664072743997,)",0.04376434453172055,11.719774137592578,8.381872943547515e-05,7.61,7.61,3.977,acid,0.01,187800,0
ppo,1,72,202,1000202,1737,"(7.804540119936352,)",0.08422844038466198,10.311832880479015,0.000507203871381264,7.95,7.95,8.355,base,0.01,155100,0
ppo,1,73,555,1000555,317,"(2.291275812340863, 2.820356144884941)",0.039881489280086176,14.059698672407675,0.0008879427069592543,3.14,3.14,2.26,acid,0.01,151800,0
ppo,1,74,303,1000303,475,"(2.459734296613616, 4.68460814111473, 6.22971263691246)",0.110226298850227,10.501477189749984,0.0019183829086170654,4.9,4.9,3.922,acid,0.01,150800,0
