method,benchmark_seed,task_id,repeats,median_wall_ms,median_process_cpu_ms
pymc,101,1,1,13080.8723,12984.375
pymc,101,159,1,16860.8548,16703.125
pymc,101,317,1,13640.9211,13015.625
pymc,101,475,1,16794.2187,16406.25
pymc,101,632,1,16830.9177,16765.625
pymc,101,790,1,13402.7354,13046.875
pymc,101,948,1,16051.9117,15453.125
pymc,101,1106,1,12766.1074,12406.25
pymc,101,1264,1,13699.2626,13265.625
pymc,101,1422,1,14588.6074,14437.5
pymc,101,1579,1,14545.4451,14250.0
pymc,101,1737,1,14612.5138,14531.25
pymc,101,1895,1,14311.4972,14000.0
pymc,101,2053,1,12050.8005,11312.5
pymc,101,2211,1,14596.525,14390.625
pymc,101,2369,1,14227.862,14015.625
pymc,101,2526,1,14610.5512,14500.0
pymc,101,2684,1,15285.4878,14500.0
pymc,101,2842,1,11987.939,11593.75
pymc,101,3000,1,14055.4359,13921.875
pymc,202,1,1,13490.1523,12843.75
pymc,202,159,1,14552.3638,14406.25
pymc,202,317,1,15662.995,14906.25
pymc,202,475,1,15257.7302,15000.0
pymc,202,632,1,12062.6067,11703.125
pymc,202,790,1,14586.9083,14281.25
pymc,202,948,1,12360.4515,12250.0
pymc,202,1106,1,15308.239,14281.25
pymc,202,1264,1,13110.2721,12937.5
pymc,202,1422,1,15538.691,15312.5
pymc,202,1579,1,16954.5207,16796.875
pymc,202,1737,1,13817.5624,13640.625
pymc,202,1895,1,16758.9808,16656.25
pymc,202,2053,1,15238.4951,15187.5
pymc,202,2211,1,16457.4977,16203.125
pymc,202,2369,1,12500.7243,12375.0
pymc,202,2526,1,13120.7412,12937.5
pymc,202,2684,1,14784.5843,14546.875
pymc,202,2842,1,12650.0953,12593.75
pymc,202,3000,1,14202.9002,13718.75
pymc,303,1,1,14826.17,14609.375
pymc,303,159,1,16013.4737,15046.875
pymc,303,317,1,12355.2255,12265.625
pymc,303,475,1,12213.1226,12109.375
pymc,303,632,1,13790.5293,13687.5
pymc,303,790,1,13307.5362,13140.625
pymc,303,948,1,16632.0527,16140.625
pymc,303,1106,1,16136.9242,15625.0
pymc,303,1264,1,14621.8691,14500.0
pymc,303,1422,1,13762.7495,13562.5
pymc,303,1579,1,14460.9771,14296.875
pymc,303,1737,1,13753.2997,13656.25
pymc,303,1895,1,16411.823,16031.25
pymc,303,2053,1,12487.8744,12328.125
pymc,303,2211,1,13718.8085,13640.625
pymc,303,2369,1,13186.6235,13078.125
pymc,303,2526,1,14727.9268,14265.625
pymc,303,2684,1,16791.2618,16671.875
pymc,303,2842,1,15198.1623,14265.625
pymc,303,3000,1,16095.0244,15671.875
pymc,404,1,1,13846.1115,13296.875
pymc,404,159,1,13040.5447,13000.0
pymc,404,317,1,13925.3232,13859.375
pymc,404,475,1,14562.0575,14515.625
pymc,404,632,1,13097.2314,13046.875
pymc,404,790,1,13967.2889,13812.5
pymc,404,948,1,13140.5667,13015.625
pymc,404,1106,1,13457.6003,13187.5
pymc,404,1264,1,13620.8831,13390.625
pymc,404,1422,1,16056.2492,15781.25
pymc,404,1579,1,14496.3221,14375.0
pymc,404,1737,1,12985.3821,12437.5
pymc,404,1895,1,14353.7742,13953.125
pymc,404,2053,1,14242.4314,13609.375
pymc,404,2211,1,12424.0902,12343.75
pymc,404,2369,1,15589.1089,15328.125
pymc,404,2526,1,14705.4063,14468.75
pymc,404,2684,1,15206.6148,14515.625
pymc,404,2842,1,16714.591,16296.875
pymc,404,3000,1,12445.8683,12328.125
pymc,555,1,1,14563.5191,13921.875
pymc,555,159,1,16142.3085,15781.25
pymc,555,317,1,12514.3366,12328.125
pymc,555,475,1,14498.7102,14437.5
pymc,555,632,1,14644.8122,14546.875
pymc,555,790,1,13473.7755,12906.25
pymc,555,948,1,14681.0544,14187.5
pymc,555,1106,1,13253.3431,12875.0
pymc,555,1264,1,14008.256,13812.5
pymc,555,1422,1,14716.8429,14437.5
pymc,555,1579,1,16001.7398,15468.75
pymc,555,1737,1,13505.8761,13468.75
pymc,555,1895,1,15423.0141,15375.0
pymc,555,2053,1,13963.2653,13890.625
pymc,555,2211,1,15731.9243,15359.375
pymc,555,2369,1,14462.4566,14328.125
pymc,555,2526,1,12397.7556,12250.0
pymc,555,2684,1,13668.9142,13250.0
pymc,555,2842,1,14892.6876,14640.625
pymc,555,3000,1,13283.1146,13156.25
