method,repeat,order_position,benchmark_seed,task_seed,task_id,pka_values,analyte_conc_m,initial_volume_ml,initial_base_moles,before_ph,observed_ph,target_ph,reagent,previous_volume_ml,wall_ns,process_cpu_ns,selected_k,posterior_concentration_m,posterior_pka_values,posterior_pka_sd,pair_probabilities,recommended_volume_ml,inference_seed
pymc,1,1,404,1000404,2684,"(3.3947900735136654, 4.798625552442783)",0.06584317897357159,8.041775340978855,0.0007751311284685453,4.79,4.79,1.859,acid,0.01,15206614800,14515625000,3,0.10884097656117565,"[3.318725804379209, 5.197385659633381, 7.158874084902932]","[1.3774094162614283, 1.539979726330936, 1.453380254355562]","[0.33301882019995466, 0.3332722015903829, 0.33370897820966244]",9.94,30671167
pymc,1,2,202,1000202,790,"(4.0495501780283005, 5.597499315968612)",0.030862297264345553,12.539728678587245,0.0007377819169979483,6.59,6.57,2.681,acid,0.01,14586908300,14281250000,1,0.10317575666632238,[5.2443211809686945],[2.142979633716515],"[0.3335823855455537, 0.3328353339298193, 0.333582280524627]",7.76,30465455
pymc,1,3,202,1000202,1106,"(7.1760284887418475,)",0.048966024596752734,9.74085566081746,0.00039398371702839037,7.85,7.85,5.042,acid,0.01,15308239000,14281250000,3,0.1027837285691001,"[3.465831158809249, 5.447971545370071, 7.027677939475955]","[1.5213339630474187, 1.6203780714645204, 1.4667446681193548]","[0.3330649669006351, 0.3333913093456856, 0.33354372375367924]",0.01,30465771
pymc,1,4,101,1000101,2684,"(3.963548823925442, 4.418316695200419)",0.15651504880639894,12.727226273243534,0.0012667580544639299,3.88,3.88,3.626,acid,0.01,15285487800,14500000000,3,0.10596759120542959,"[3.5140065088462054, 5.324397009383439, 7.2531789833017974]","[1.4351677237326828, 1.5990958352084461, 1.337110293275237]","[0.3333474415369528, 0.3332483591056463, 0.3334041993574008]",4.87,30365440
pymc,1,5,303,1000303,2526,"(8.458023131556091,)",0.13758801263897394,8.050358540947101,0.0006509410189265067,8.61,8.61,5.367,acid,0.01,14727926800,14265625000,2,0.10357488292535562,"[4.1755691936678305, 6.630014525744616]","[1.7623667081049117, 1.7470938687484605]","[0.333072467924914, 0.33358639378681226, 0.3333411382882737]",0.01,30569100
pymc,1,6,404,1000404,790,"(3.8518396582785597, 5.779224609599835)",0.07174916154714953,12.064709534689499,0.0010888654237003437,5.38,5.38,5.83,base,0.01,13967288900,13812500000,2,0.1065505021937867,"[4.18268240599527, 6.570999271577978]","[1.8420579328366669, 1.7000122175721248]","[0.3330948609373389, 0.33346769991882796, 0.33343743914383306]",3.65,30669273
pymc,1,7,555,1000555,1737,"(6.99063830755514,)",0.08255077271199855,8.033894111664527,6.468146755935671e-05,6.02,6.02,3.5,acid,0.01,13505876100,13468750000,3,0.10476583616929126,"[3.36432612222352, 5.357261200852728, 7.20167778256516]","[1.38326342869014, 1.6795884550576154, 1.4149980111384826]","[0.33327777515826745, 0.33333421757148834, 0.33338800727024426]",0.01,30822579
pymc,1,8,202,1000202,1,"(1.9244087184203733, 2.3320804640730364, 2.6112072018556782)",0.09622503649789675,8.52414914273476,0.0015425773360628742,2.51,2.51,2.84,base,0.01,13490152300,12843750000,3,0.10229544834446062,"[3.3701078527558472, 5.230767034143593, 7.072943489331592]","[1.4589699399636318, 1.6592508567406352, 1.6001042960510599]","[0.33254994726928433, 0.3337155045736688, 0.3337345481570468]",0.01,30464666
pymc,1,9,101,1000101,3000,"(7.698747422440217,)",0.16958177600951124,8.708322893888175,0.00054958742712192,7.47,7.47,7.922,base,0.01,14055435900,13921875000,1,0.10355567492313962,[5.129037819569609],[2.1981238065354463],"[0.3338710233899022, 0.33256090954130774, 0.33356806706878994]",3.5,30365756
pymc,1,10,202,1000202,2526,"(2.888946350111958, 3.304561494483748, 3.650018204276066)",0.055395815292556105,9.20911938922874,0.0011632665493525364,3.74,3.74,2.856,acid,0.01,13120741200,12937500000,1,0.0999862475109183,[5.229540127604624],[2.154046780345834],"[0.3336560572704797, 0.3333603531404385, 0.33298358958908175]",0.01,30467191
pymc,1,11,202,1000202,1579,"(3.1777457049576725, 5.667921690088857, 7.302549406951195)",0.1535759629916498,10.995184983924172,0.005026329169229376,8.92,8.93,9.277,base,0.01,16954520700,16796875000,2,0.10605608518652743,"[4.100916971431913, 6.477649276158156]","[1.756922783924152, 1.717756269091201]","[0.3333961228730269, 0.33341117428962, 0.33319270283735297]",0.01,30466244
pymc,1,12,555,1000555,1422,"(2.115824693729396, 2.503629653532519, 2.807150217121589)",0.07606902868101931,8.238831484754328,0.000594542204166807,2.23,2.23,4.202,base,0.01,14716842900,14437500000,1,0.10194089530221616,[5.046229153686507],[2.149759190211033],"[0.33407892548402895, 0.3322643496078733, 0.3336567249080976]",0.01,30822264
pymc,1,13,101,1000101,2842,"(3.140700703534308, 5.001005053420105, 6.764491975680406)",0.06712965980189593,9.614322595226724,0.0014802623269586435,6.45,6.44,4.327,acid,0.01,11987939000,11593750000,3,0.10206653563622162,"[3.3679140678928285, 5.166049550390746, 7.124513721889974]","[1.544070065554964, 1.6983715053299178, 1.4957617827395526]","[0.33301004749096164, 0.3334700141630505, 0.33351993834598775]",4.71,30365598
pymc,1,14,303,1000303,2053,"(3.8627651516768173, 5.33486429622776)",0.0704899805149234,15.4429995464187,0.0016088151006950345,5.34,5.34,3.528,acid,0.01,12487874400,12328125000,1,0.10380541659678091,[5.003646718665753],[2.1126730191877847],"[0.3333428428883535, 0.33333521476254563, 0.33332194234910095]",0.01,30568627
