"method","particle_count","benchmark_seed","task_seed","task_id","step_index","before_true_ph","before_measured_ph","target_ph","action_reagent","requested_volume_ml","actual_volume_ml","true_ph_after","measured_ph_after","observe_time_ms","recommend_time_ms","total_decision_time_ms","next_action_stop","next_action_reason","next_action_reagent","next_action_volume_ml"
"pf_1000","1000","101","1000101","1","1","6.428","6.43","6.221","acid","0.55","0.55","6.3666577143262675","6.37","23.4906","2.9972","26.4878","0","running","acid","0.39"
"pf_1000","1000","101","1000101","1","2","6.3666577143262675","6.37","6.221","acid","0.39","0.39","6.324575965881568","6.32","9.6068","0.0488","9.6556","1","measured_success","","0.0"
"pf_1000","1000","101","1000101","159","1","5.217","5.22","8.932","base","8.28","8.28","12.223902656151196","12.22","38.4872","33.4824","71.9696","0","running","acid","4.14"
"pf_1000","1000","101","1000101","159","2","12.223902656151196","12.22","8.932","acid","4.14","4.14","6.354326764902636","6.35","20.4001","34.1876","54.5877","0","running","base","2.07"
"pf_1000","1000","101","1000101","159","3","6.354326764902636","6.3500000000000005","8.932","base","2.07","2.07","11.734297750569223","11.73","16.2278","38.0832","54.311","0","running","acid","1.03"
"pf_1000","1000","101","1000101","159","4","11.734297750569223","11.73","8.932","acid","1.03","1.03","11.207747371614012","11.21","15.8432","33.0861","48.9293","0","running","acid","1.03"
"pf_1000","1000","101","1000101","159","5","11.207747371614012","11.21","8.932","acid","1.03","1.03","6.362317278449892","6.36","9.7688","30.2581","40.0269","0","running","base","0.51"
"pf_1000","1000","101","1000101","159","6","6.362317278449892","6.36","8.932","base","0.51","0.51","7.359369099652838","7.36","20.1814","30.3288","50.5102","0","running","base","0.51"
"pf_1000","1000","101","1000101","159","7","7.359369099652838","7.36","8.932","base","0.51","0.51","11.16802999176264","11.17","9.3894","30.5984","39.9878","0","running","acid","0.25"
"pf_1000","1000","101","1000101","159","8","11.16802999176264","11.17","8.932","acid","0.25","0.25","10.812082630503198","10.81","10.0956","30.7041","40.7997","0","running","acid","0.25"
"pf_1000","1000","101","1000101","159","9","10.812082630503198","10.81","8.932","acid","0.25","0.25","7.438404446447798","7.44","13.3212","32.833","46.1542","0","running","base","0.12"
"pf_1000","1000","101","1000101","159","10","7.438404446447798","7.44","8.932","base","0.12","0.12","10.350424194240617","10.35","17.9221","32.6271","50.5492","0","running","acid","0.06"
"pf_1000","1000","101","1000101","159","11","10.350424194240617","10.35","8.932","acid","0.06","0.06","9.514350218236586","9.51","22.1091","30.6161","52.7252","0","running","acid","0.06"
"pf_1000","1000","101","1000101","159","12","9.514350218236586","9.51","8.932","acid","0.06","0.06","7.438399500848249","7.44","13.2876","30.624","43.9116","0","running","base","0.03"
"pf_1000","1000","101","1000101","159","13","7.438399500848249","7.44","8.932","base","0.03","0.03","7.830946377875264","7.83","9.7502","30.388","40.1382","0","running","base","0.03"
"pf_1000","1000","101","1000101","159","14","7.830946377875264","7.83","8.932","base","0.03","0.03","9.512751149360184","9.51","9.4046","29.8478","39.2524","0","running","acid","0.01"
"pf_1000","1000","101","1000101","159","15","9.512751149360184","9.51","8.932","acid","0.01","0.01","8.80016844207299","8.8","9.7183","31.8491","41.5674","0","running","base","0.01"
"pf_1000","1000","101","1000101","159","16","8.80016844207299","8.8","8.932","base","0.01","0.01","9.512485255031482","9.51","15.5358","30.6881","46.2239","0","running","acid","0.01"
"pf_1000","1000","101","1000101","159","17","9.512485255031482","9.51","8.932","acid","0.01","0.01","8.80003721574981","8.8","9.8202","31.8514","41.6716","0","running","base","0.01"
"pf_1000","1000","101","1000101","159","18","8.80003721574981","8.8","8.932","base","0.01","0.01","9.512219536429939","9.51","9.9788","29.5475","39.5263","0","running","acid","0.01"
"pf_1000","1000","101","1000101","159","19","9.512219536429939","9.51","8.932","acid","0.01","0.01","8.799906070769623","8.8","9.3382","29.7043","39.0425","0","running","base","0.01"
"pf_1000","1000","101","1000101","159","20","8.799906070769623","8.8","8.932","base","0.01","0.01","9.511953993330167","9.51","13.4713","30.9138","44.3851","0","running","acid","0.01"
"pf_1000","1000","101","1000101","159","21","9.511953993330167","9.51","8.932","acid","0.01","0.01","8.799775007030576","8.8","10.1951","30.2137","40.4088","0","running","base","0.01"
"pf_1000","1000","101","1000101","159","22","8.799775007030576","8.8","8.932","base","0.01","0.01","9.511688625507873","9.51","9.4911","30.1633","39.6544","0","running","acid","0.01"
"pf_1000","1000","101","1000101","159","23","9.511688625507873","9.51","8.932","acid","0.01","0.01","8.799644024431778","8.8","9.4214","31.9545","41.3759","0","running","base","0.01"
"pf_1000","1000","101","1000101","159","24","8.799644024431778","8.8","8.932","base","0.01","0.01","9.511423432739434","9.51","10.2407","34.334","44.5747","0","running","acid","0.01"
"pf_1000","1000","101","1000101","159","25","9.511423432739434","9.51","8.932","acid","0.01","0.01","8.799513122872774","8.8","9.3646","33.1277","42.4923","0","running","base","0.01"
"pf_1000","1000","101","1000101","159","26","8.799513122872774","8.8","8.932","base","0.01","0.01","9.511158414800633","9.51","10.4626","30.0559","40.5185","0","running","acid","0.01"
"pf_1000","1000","101","1000101","159","27","9.511158414800633","9.51","8.932","acid","0.01","0.01","8.79938230225298","8.8","13.2162","31.2857","44.5019","0","running","base","0.01"
"pf_1000","1000","101","1000101","159","28","8.79938230225298","8.8","8.932","base","0.01","0.01","9.510893571469637","9.51","13.3017","32.5938","45.8955","0","running","acid","0.01"
"pf_1000","1000","101","1000101","159","29","9.510893571469637","9.51","8.932","acid","0.01","0.01","8.799251562471","8.8","10.4443","40.4311","50.8754","0","running","base","0.01"
"pf_1000","1000","101","1000101","159","30","8.799251562471","8.8","8.932","base","0.01","0.01","9.510628902523024","9.51","13.8538","32.9828","46.8366","0","running","acid","0.01"
"pf_1000","1000","101","1000101","159","31","9.510628902523024","9.51","8.932","acid","0.01","0.01","8.799120903424125","8.8","9.9281","30.7225","40.6506","0","running","base","0.01"
"pf_1000","1000","101","1000101","159","32","8.799120903424125","8.8","8.932","base","0.01","0.01","9.510364407738962","9.51","9.516","29.834","39.35","0","running","acid","0.01"
"pf_1000","1000","101","1000101","159","33","9.510364407738962","9.51","8.932","acid","0.01","0.01","8.798990325016462","8.8","9.5172","30.4866","40.0038","0","running","base","0.01"
"pf_1000","1000","101","1000101","159","34","8.798990325016462","8.8","8.932","base","0.01","0.01","9.51010008689466","9.51","11.8534","32.1329","43.9863","0","running","acid","0.01"
"pf_1000","1000","101","1000101","159","35","9.51010008689466","9.51","8.932","acid","0.01","0.01","8.798859827144952","8.8","9.8304","29.8329","39.6633","0","running","base","0.01"
"pf_1000","1000","101","1000101","159","36","8.798859827144952","8.8","8.932","base","0.01","0.01","9.509835939769971","9.51","13.8289","30.0779","43.9068","0","running","acid","0.01"
"pf_1000","1000","101","1000101","159","37","9.509835939769971","9.51","8.932","acid","0.01","0.01","8.798729409711314","8.8","9.355","29.4934","38.8484","0","running","base","0.01"
"pf_1000","1000","101","1000101","159","38","8.798729409711314","8.8","8.932","base","0.01","0.01","9.509571966143053","9.51","9.48","30.3705","39.8505","0","running","acid","0.01"
"pf_1000","1000","101","1000101","159","39","9.509571966143053","9.51","8.932","acid","0.01","0.01","8.798599072614032","8.8","10.5193","43.1348","53.6541","0","running","base","0.01"
"pf_1000","1000","101","1000101","159","40","8.798599072614032","8.8","8.932","base","0.01","0.01","9.509308165795574","9.51","10.1497","32.2496","42.3993","0","running","acid","0.01"
"pf_1000","1000","101","1000101","159","41","9.509308165795574","9.51","8.932","acid","0.01","0.01","8.798468815755768","8.8","13.4678","40.4832","53.951","0","running","base","0.01"
"pf_1000","1000","101","1000101","159","42","8.798468815755768","8.8","8.932","base","0.01","0.01","9.509044538502565","9.51","9.8775","29.8391","39.7166","0","running","acid","0.01"
"pf_1000","1000","101","1000101","159","43","9.509044538502565","9.51","8.932","acid","0.01","0.01","8.79833863903491","8.8","10.166","30.0002","40.1662","0","running","base","0.01"
"pf_1000","1000","101","1000101","159","44","8.79833863903491","8.8","8.932","base","0.01","0.01","9.508781084048433","9.51","11.295","34.1819","45.4769","0","running","acid","0.01"
"pf_1000","1000","101","1000101","159","45","9.508781084048433","9.51","8.932","acid","0.01","0.01","8.798208542354814","8.8","9.8427","29.7997","39.6424","0","running","base","0.01"
"pf_1000","1000","101","1000101","159","46","8.798208542354814","8.8","8.932","base","0.01","0.01","9.508517802212996","9.51","9.2798","30.3455","39.6253","0","running","acid","0.01"
"pf_1000","1000","101","1000101","159","47","9.508517802212996","9.51","8.932","acid","0.01","0.01","8.798078525613619","8.8","16.7306","35.3653","52.0959","0","running","base","0.01"
"pf_1000","1000","101","1000101","159","48","8.798078525613619","8.8","8.932","base","0.01","0.01","9.508254692777324","9.51","17.3387","32.4015","49.7402","0","running","acid","0.01"
"pf_1000","1000","101","1000101","159","49","9.508254692777324","9.51","8.932","acid","0.01","0.01","8.797948588714235","8.8","10.0798","30.4847","40.5645","0","running","base","0.01"
"pf_1000","1000","101","1000101","159","50","8.797948588714235","8.8","8.932","base","0.01","0.01","9.507991755522522","9.51","9.325","0.0433","9.3683","1","max_steps","","0.0"
"pf_1000","1000","101","1000101","317","1","3.118","3.12","2.461","acid","1.73","1.73","2.9120852049699044","2.91","19.575","29.5577","49.1327","0","running","acid","3.16"
"pf_1000","1000","101","1000101","317","2","2.9120852049699044","2.91","2.461","acid","3.16","3.16","2.579746525565681","2.58","9.446","30.1671","39.6131","0","running","acid","1.57"
"pf_1000","1000","101","1000101","317","3","2.579746525565681","2.58","2.461","acid","1.57","1.57","2.4131329136807276","2.41","12.2503","0.0611","12.3114","1","measured_success","","0.0"
"pf_1000","1000","101","1000101","475","1","4.81","4.8100000000000005","5.474","base","1.77","1.77","5.004121295399113","5.0","18.3263","2.8775","21.2038","0","running","base","1.19"
"pf_1000","1000","101","1000101","475","2","5.004121295399113","5.0","5.474","base","1.19","1.19","5.13781778768989","5.14","9.3205","2.5906","11.9111","0","running","base","0.86"
"pf_1000","1000","101","1000101","475","3","5.13781778768989","5.14","5.474","base","0.86","0.86","5.240426547163613","5.24","9.3935","2.5943","11.9878","0","running","base","0.62"
"pf_1000","1000","101","1000101","475","4","5.240426547163613","5.24","5.474","base","0.62","0.62","5.319706650738652","5.32","9.5822","3.6055","13.1877","0","running","base","0.41"
"pf_1000","1000","101","1000101","475","5","5.319706650738652","5.32","5.474","base","0.41","0.41","5.375578949971359","5.38","10.2562","0.066","10.3222","1","measured_success","","0.0"
"pf_1000","1000","101","1000101","632","1","5.927","5.93","5.424","acid","1.35","1.35","4.912558149610158","4.91","31.2176","32.1983","63.4159","0","running","base","0.67"
"pf_1000","1000","101","1000101","632","2","4.912558149610158","4.91","5.424","base","0.67","0.67","5.342140749134977","5.34","9.416","0.0608","9.4768","1","measured_success","","0.0"
"pf_1000","1000","101","1000101","790","1","4.766","4.7700000000000005","5.288","base","1.39","1.39","4.940612096063205","4.94","18.707","2.7851","21.4921","0","running","base","0.89"
"pf_1000","1000","101","1000101","790","2","4.940612096063205","4.94","5.288","base","0.89","0.89","5.055790646508477","5.06","9.588","2.6764","12.2644","0","running","base","0.59"
"pf_1000","1000","101","1000101","790","3","5.055790646508477","5.0600000000000005","5.288","base","0.59","0.59","5.132941011079076","5.13","9.5247","2.7493","12.274","0","running","base","0.42"
"pf_1000","1000","101","1000101","790","4","5.132941011079076","5.13","5.288","base","0.42","0.42","5.188050140998872","5.19","9.3793","0.0608","9.4401","1","measured_success","","0.0"
"pf_1000","1000","101","1000101","948","1","4.488","4.49","2.494","acid","5.6","5.6","1.8946745032485572","1.89","32.4773","33.4662","65.9435","0","running","base","1.37"
"pf_1000","1000","101","1000101","948","2","1.8946745032485572","1.8900000000000001","2.494","base","1.37","1.37","2.3118254756801813","2.31","13.6764","32.3301","46.0065","0","running","base","0.51"
"pf_1000","1000","101","1000101","948","3","2.3118254756801813","2.31","2.494","base","0.51","0.51","2.592872684833992","2.59","9.39","0.0616","9.4516","1","measured_success","","0.0"
"pf_1000","1000","101","1000101","1106","1","4.101","4.1","6.054","base","5.48","5.48","12.094910212711525","12.09","29.1713","30.9071","60.0784","0","running","acid","2.74"
"pf_1000","1000","101","1000101","1106","2","12.094910212711525","12.09","6.054","acid","2.74","2.74","5.318566735312556","5.32","19.5538","31.1365","50.6903","0","running","base","1.37"
"pf_1000","1000","101","1000101","1106","3","5.318566735312556","5.32","6.054","base","1.37","1.37","11.310587707161396","11.31","9.3181","32.6558","41.9739","0","running","acid","0.68"
"pf_1000","1000","101","1000101","1106","4","11.310587707161396","11.31","6.054","acid","0.68","0.68","5.910595621389305","5.91","20.7039","31.7874","52.4913","0","running","base","0.3"
"pf_1000","1000","101","1000101","1106","5","5.910595621389305","5.91","6.054","base","0.3","0.3","7.428510851037387","7.43","19.6998","34.258","53.9578","0","running","acid","0.15"
"pf_1000","1000","101","1000101","1106","6","7.428510851037387","7.43","6.054","acid","0.15","0.15","6.213999529459198","6.21","9.6093","30.9085","40.5178","0","running","acid","0.15"
"pf_1000","1000","101","1000101","1106","7","6.213999529459198","6.21","6.054","acid","0.15","0.15","5.910606685638575","5.91","9.5192","33.0028","42.522","0","running","base","0.07"
"pf_1000","1000","101","1000101","1106","8","5.910606685638575","5.91","6.054","base","0.07","0.07","6.029387092938206","6.03","9.3085","0.0609","9.3694","1","measured_success","","0.0"
"pf_1000","1000","101","1000101","1264","1","6.679","6.68","3.077","acid","7.83","7.83","1.5791938533677259","1.58","28.6052","31.2281","59.8333","0","running","base","3.42"
"pf_1000","1000","101","1000101","1264","2","1.5791938533677259","1.58","3.077","base","3.42","3.42","2.2885700401093088","2.29","9.3945","42.0582","51.4527","0","running","base","1.83"
"pf_1000","1000","101","1000101","1264","3","2.2885700401093088","2.29","3.077","base","1.83","1.83","5.846015590297883","5.85","20.9522","36.5589","57.5111","0","running","acid","0.91"
"pf_1000","1000","101","1000101","1264","4","5.846015590297883","5.8500000000000005","3.077","acid","0.91","0.91","3.2485425355957647","3.25","18.4495","33.1823","51.6318","0","running","acid","0.35"
"pf_1000","1000","101","1000101","1264","5","3.2485425355957647","3.25","3.077","acid","0.35","0.35","2.69025536771822","2.69","9.5644","30.3387","39.9031","0","running","base","0.17"
"pf_1000","1000","101","1000101","1264","6","2.69025536771822","2.69","3.077","base","0.17","0.17","2.883368475999802","2.88","9.7019","41.2402","50.9421","0","running","base","0.17"
"pf_1000","1000","101","1000101","1264","7","2.883368475999802","2.88","3.077","base","0.17","0.17","3.229524735303279","3.23","15.579","43.8347","59.4137","0","running","acid","0.08"
"pf_1000","1000","101","1000101","1264","8","3.229524735303279","3.23","3.077","acid","0.08","0.08","3.0365543113067934","3.04","14.9211","0.0692","14.9903","1","measured_success","","0.0"
"pf_1000","1000","101","1000101","1422","1","3.238","3.24","3.569","base","0.87","0.87","3.3042269292340665","3.3","25.5634","3.3695","28.9329","0","running","base","0.7"
"pf_1000","1000","101","1000101","1422","2","3.3042269292340665","3.3000000000000003","3.569","base","0.7","0.7","3.3569919170309204","3.36","10.7024","3.6855","14.3879","0","running","base","0.54"
"pf_1000","1000","101","1000101","1422","3","3.3569919170309204","3.36","3.569","base","0.54","0.54","3.397554730124975","3.4","13.2105","2.9787","16.1892","0","running","base","0.44"
"pf_1000","1000","101","1000101","1422","4","3.397554730124975","3.4","3.569","base","0.44","0.44","3.4305503599383913","3.43","10.7672","2.6504","13.4176","0","running","base","0.37"
"pf_1000","1000","101","1000101","1422","5","3.4305503599383913","3.43","3.569","base","0.37","0.37","3.4582735946953367","3.46","10.3679","2.5057","12.8736","0","running","base","0.29"
"pf_1000","1000","101","1000101","1422","6","3.4582735946953367","3.46","3.569","base","0.29","0.29","3.479994256417352","3.48","9.5582","0.0404","9.5986","1","measured_success","","0.0"
"pf_1000","1000","101","1000101","1579","1","3.41","3.41","7.003","base","7.88","7.88","5.069619144255338","5.07","34.7842","31.6546","66.4388","0","running","base","3.8"
"pf_1000","1000","101","1000101","1579","2","5.069619144255338","5.07","7.003","base","3.8","3.8","5.861903001477097","5.86","16.9366","31.1379","48.0745","0","running","base","3.03"
"pf_1000","1000","101","1000101","1579","3","5.861903001477097","5.86","7.003","base","3.03","3.03","6.475911918535301","6.48","16.0666","40.1446","56.2112","0","running","base","2.3"
"pf_1000","1000","101","1000101","1579","4","6.475911918535301","6.48","7.003","base","2.3","2.3","7.176373617129659","7.18","22.0594","4.0216","26.081","0","running","acid","0.37"
"pf_1000","1000","101","1000101","1579","5","7.176373617129659","7.18","7.003","acid","0.37","0.37","7.008672722753733","7.01","13.0855","0.0676","13.1531","1","measured_success","","0.0"
"pf_1000","1000","101","1000101","1737","1","4.071","4.07","5.119","base","3.41","3.41","11.51783892290722","11.52","29.0823","41.2978","70.3801","0","running","acid","1.7"
"pf_1000","1000","101","1000101","1737","2","11.51783892290722","11.52","5.119","acid","1.7","1.7","4.6103869215927205","4.61","19.9827","29.9108","49.8935","0","running","base","0.85"
"pf_1000","1000","101","1000101","1737","3","4.6103869215927205","4.61","5.119","base","0.85","0.85","5.3382302094366345","5.34","16.329","29.3438","45.6728","0","running","acid","0.42"
"pf_1000","1000","101","1000101","1737","4","5.3382302094366345","5.34","5.119","acid","0.42","0.42","4.858550853167534","4.86","9.2796","29.9117","39.1913","0","running","base","0.2"
"pf_1000","1000","101","1000101","1737","5","4.858550853167534","4.86","5.119","base","0.2","0.2","5.031098971941674","5.03","9.5411","0.0413","9.5824","1","measured_success","","0.0"
"pf_1000","1000","101","1000101","1895","1","8.55","8.55","9.034","base","1.32","1.32","11.454614728760475","11.45","30.0836","31.4419","61.5255","0","running","acid","0.66"
"pf_1000","1000","101","1000101","1895","2","11.454614728760475","11.450000000000001","9.034","acid","0.66","0.66","9.194167014228032","9.19","20.8278","31.7729","52.6007","0","running","acid","0.31"
"pf_1000","1000","101","1000101","1895","3","9.194167014228032","9.19","9.034","acid","0.31","0.31","8.800042607762407","8.8","9.385","31.2166","40.6016","0","running","base","0.15"
"pf_1000","1000","101","1000101","1895","4","8.800042607762407","8.8","9.034","base","0.15","0.15","8.954068131557463","8.95","10.0685","0.0603","10.1288","1","measured_success","","0.0"
"pf_1000","1000","101","1000101","2053","1","2.622","2.62","4.456","base","4.52","4.52","2.7779263080976024","2.78","18.6037","2.6221","21.2258","0","running","base","3.98"
"pf_1000","1000","101","1000101","2053","2","2.7779263080976024","2.7800000000000002","4.456","base","3.98","3.98","2.9336563308862686","2.93","9.7014","2.6847","12.3861","0","running","base","3.67"
"pf_1000","1000","101","1000101","2053","3","2.9336563308862686","2.93","4.456","base","3.67","3.67","3.1158033565353547","3.12","9.4966","2.6348","12.1314","0","running","base","3.21"
"pf_1000","1000","101","1000101","2053","4","3.1158033565353547","3.12","4.456","base","3.21","3.21","3.3511324075754922","3.35","16.9715","2.6825","19.654","0","running","base","2.65"
"pf_1000","1000","101","1000101","2053","5","3.3511324075754922","3.35","4.456","base","2.65","2.65","3.7226818409492006","3.72","10.0888","2.5657","12.6545","0","running","base","1.7"
"pf_1000","1000","101","1000101","2053","6","3.7226818409492006","3.72","4.456","base","1.7","1.7","4.617880989616509","4.62","20.8586","2.7296","23.5882","0","running","acid","0.31"
"pf_1000","1000","101","1000101","2053","7","4.617880989616509","4.62","4.456","acid","0.31","0.31","4.264004840399975","4.26","9.5036","3.0428","12.5464","0","running","base","0.15"
"pf_1000","1000","101","1000101","2053","8","4.264004840399975","4.26","4.456","base","0.15","0.15","4.400358130812986","4.4","13.5455","0.0923","13.6378","1","measured_success","","0.0"
