"method","particle_count","benchmark_seed","task_seed","task_id","true_k","initial_ph","measured_initial_ph","target_ph","steps","overshoots","total_volume_ml","final_true_ph","final_measured_ph","final_signed_error_ph","final_abs_error_ph","final_measured_abs_error_ph","true_success","strict_success","severe_failure","measured_success","false_stop","stop_reason","trajectory_records"
"pf_10000","10000","101","1000101","1","3","6.428","6.43","6.221","2","0","0.9400000000000001","6.324575965881568","6.32","0.10357596588156781","0.10357596588156781","0.0990000000000002","0","0","0","1","1","measured_success","3"
"pf_10000","10000","101","1000101","159","1","5.217","5.22","8.932","50","47","18.590000000000064","9.509835939769772","9.51","0.5778359397697717","0.5778359397697717","0.5779999999999994","0","0","1","0","0","max_steps","51"
"pf_10000","10000","101","1000101","317","2","3.118","3.12","2.461","3","1","6.23","2.4379114756120375","2.44","-0.023088524387962384","0.023088524387962384","0.020999999999999908","1","1","0","1","0","measured_success","4"
"pf_10000","10000","101","1000101","475","2","4.81","4.81","5.474","5","0","4.85","5.375578949971359","5.38","-0.09842105002864088","0.09842105002864088","0.0940000000000003","1","0","0","1","0","measured_success","6"
"pf_10000","10000","101","1000101","632","2","5.927","5.93","5.424","2","1","2.02","5.342140749134977","5.34","-0.08185925086502355","0.08185925086502355","0.08400000000000052","1","0","0","1","0","measured_success","3"
"pf_10000","10000","101","1000101","790","3","4.766","4.77","5.288","4","0","3.2899999999999996","5.188050140998872","5.19","-0.09994985900112852","0.09994985900112852","0.09799999999999986","1","0","0","1","0","measured_success","5"
"pf_10000","10000","101","1000101","948","2","4.488","4.49","2.494","3","2","7.46","2.592540719302379","2.59","0.09854071930237884","0.09854071930237884","0.09599999999999964","1","0","0","1","0","measured_success","4"
"pf_10000","10000","101","1000101","1106","2","4.101","4.1","6.054","8","6","10.969999999999999","6.010578165542668","6.01","-0.043421834457332054","0.043421834457332054","0.04400000000000048","1","1","0","1","0","measured_success","9"
"pf_10000","10000","101","1000101","1264","1","6.679","6.68","3.077","4","2","14.030000000000001","3.0864981130497995","3.09","0.009498113049799528","0.009498113049799528","0.0129999999999999","1","1","0","1","0","measured_success","5"
"pf_10000","10000","101","1000101","1422","2","3.238","3.24","3.569","6","0","3.21","3.479994256417352","3.48","-0.08900574358264812","0.08900574358264812","0.08899999999999997","1","0","0","1","0","measured_success","7"
"pf_10000","10000","101","1000101","1579","3","3.41","3.41","7.003","5","1","17.25","7.004726904871376","7.0","0.001726904871375723","0.001726904871375723","0.0030000000000001137","1","1","0","1","0","measured_success","6"
"pf_10000","10000","101","1000101","1737","1","4.071","4.07","5.119","3","2","5.4399999999999995","5.030989600555738","5.03","-0.08801039944426137","0.08801039944426137","0.08899999999999952","1","0","0","1","0","measured_success","4"
"pf_10000","10000","101","1000101","1895","3","8.55","8.55","9.034","4","2","2.26","8.978527044888757","8.98","-0.055472955111243394","0.055472955111243394","0.05400000000000027","1","0","0","1","0","measured_success","5"
"pf_10000","10000","101","1000101","2053","3","2.622","2.62","4.456","8","2","20.189999999999994","4.400358130812986","4.4","-0.055641869187014414","0.055641869187014414","0.05600000000000005","1","0","0","1","0","measured_success","9"
"pf_10000","10000","101","1000101","2211","1","7.069","7.07","6.632","2","0","1.5499999999999998","6.685199525246425","6.69","0.05319952524642524","0.05319952524642524","0.05800000000000072","1","0","0","1","0","measured_success","3"
"pf_10000","10000","101","1000101","2369","3","2.332","2.33","2.572","2","0","1.01","2.495026529908313","2.5","-0.07697347009168709","0.07697347009168709","0.07200000000000006","1","0","0","1","0","measured_success","3"
"pf_10000","10000","101","1000101","2526","3","2.437","2.44","1.868","2","0","3.21","1.9185320397798837","1.92","0.05053203977988363","0.05053203977988363","0.051999999999999824","1","0","0","1","0","measured_success","3"
"pf_10000","10000","101","1000101","2684","2","3.885","3.88","3.626","6","1","5.48","3.5816195298042617","3.58","-0.04438047019573821","0.04438047019573821","0.04599999999999982","1","1","0","1","0","measured_success","7"
"pf_10000","10000","101","1000101","2842","3","6.447","6.45","4.327","3","0","7.41","4.390202815063587","4.39","0.06320281506358683","0.06320281506358683","0.06299999999999972","1","0","0","1","0","measured_success","4"
"pf_10000","10000","101","1000101","3000","1","7.472","7.47","7.922","2","0","3.28","7.8644660645253275","7.86","-0.057533935474672226","0.057533935474672226","0.06199999999999939","1","0","0","1","0","measured_success","3"
