family,policy,training_seed,sha256
F2,imitation,,d5c99681b0e52f19900a93250db79f19822576e8e03ac360373f4519504744a1
F2,ppo_seed_101,101,68b82abfab355d332abbc0dff2ec3561dcc737e3938f9476f0f2f69fe30081ba
F2,ppo_seed_202,202,ca1157773e58fffee35ca5cece12d43de81993cbcbb89414fd20ccf546acef79
F2,ppo_seed_303,303,469b69cf65631b3063a96ebcd065c3273c7dce1b5664fec4f2becd91ffa94b10
F2,ppo_seed_404,404,7b36c7df6c40d4edbf3dca18f4cdc9f3654c1cd3da9069c3470e4fd71c75d836
F2,ppo_seed_555,555,7c3a24efb9ac7d3f694750aa32eed2d72d2d186eff5cca9e6b10f0fd0163f5eb
F3,imitation,,86b7a5ed3584deda167589a3f079f13ae16ce95aa03d96018c31d7f1bdf065ff
F3,ppo_seed_101,101,68c14e9a36e11c3447dcd045f8c967b645e75485c50c82da8a118f701d991fe7
F3,ppo_seed_202,202,a1d350a77da6e44fc171b196a19a7f8d0d052bddbcf99e72dbd3cc22d4daf9e4
F3,ppo_seed_303,303,f0e1207385d456123ca0299b89f9507f413ac2b4d0cbd0fbf6bdc7af57827e3d
F3,ppo_seed_404,404,4fe2b6a0a686b8de2cfae01e5e058f5acd6ab8a61c40b752cfe5b0a47ca61183
F3,ppo_seed_555,555,7c9dfc88572fd1cdcb358f9058fe4d65f6b150ed1d752b175556ba3a73d1abf8
F4,imitation,,d8c13daf416bf7f7d181a0e6df3baf3b1c3d86963f68af37569acd7d5bd80c48
F4,ppo_seed_101,101,27de74bd980a6e3d329987b49fbefc34e98a4a6dee121898918093a4e911fa29
F4,ppo_seed_202,202,b9f0e743e4e3e2526ba61fc6364a3e3241e577c70aedc41c7551c3ab49e47992
F4,ppo_seed_303,303,c42df2916bab5bc295583f2bc23852da709aabcb0b6aac2a333e602fdd4c1803
F4,ppo_seed_404,404,245195cca3ba41d4fcb5b1c98494ee89e3b52569e9365989b3860cd71d8e3f90
F4,ppo_seed_555,555,218d55a92bbe14904c9344a648452981751a184d0e719e3e9dba817d22af16fd
F5,imitation,,14473cef89eff27dfdabb5051acaaaf7fa7eebf5d6804835f71c66f0e4f58479
F5,ppo_seed_101,101,845a5bfe19c7f64d01a037dffb37bf5cd7ca11e948d822bed13801c5e195c3fe
F5,ppo_seed_202,202,2401c79adc707d0ca208dd52ee7e5158c27733a5351089567ce54349ac3acbb2
F5,ppo_seed_303,303,3ee597d015a7dde484183862278e178012ccada133e5b3903f362bff3ee084d1
F5,ppo_seed_404,404,d6bd6e4ef01e6f50d008279e9e95c1958345aa56e20a3e837b08fef21be11857
F5,ppo_seed_555,555,7770bd4cea4634d9ec360287065ef1a215df7b2799d2ffdb2617bc5b4b226be1
F6,imitation,,0cbd0012ab44f3d3f5d38b2217db004975fdb1346bf023dbf4ebe62efc8d6eef
F6,ppo_seed_101,101,2ac6d2bf853d274107cfb321594f157b74b1226bb15f99d6b269b8fbb3c8d9c0
F6,ppo_seed_202,202,5b50c32bbf6a0daeeef3c88a7da4d9abd9d4e2c4bed110c82c30566bc3cbf87c
F6,ppo_seed_303,303,45f1f6b355990c92caf84630f6f1f70870cd96a7d93dcef51f6546ad6954b847
F6,ppo_seed_404,404,17bf4882bd8ea515f8de48a81eacb249fa1e7323480fb6f11fac388615b77aeb
F6,ppo_seed_555,555,0c51019ff40889efd3431ecd126ea517baee468aec090886187cc334707aee1b
