domain,family,imitation_success_percent_mean,imitation_success_percent_benchmark_sd,ppo_success_rate_percent_training_seed_mean,ppo_success_rate_percent_training_seed_sample_sd,ppo_strict_success_rate_percent_training_seed_mean,ppo_strict_success_rate_percent_training_seed_sample_sd,ppo_severe_failure_rate_percent_training_seed_mean,ppo_severe_failure_rate_percent_training_seed_sample_sd,ppo_false_stop_rate_percent_training_seed_mean,ppo_false_stop_rate_percent_training_seed_sample_sd,ppo_successful_additions_mean_training_seed_mean,ppo_successful_additions_mean_training_seed_sample_sd,ppo_additions_per_task_mean_training_seed_mean,ppo_additions_per_task_mean_training_seed_sample_sd,ppo_overshoots_per_task_mean_training_seed_mean,ppo_overshoots_per_task_mean_training_seed_sample_sd,ppo_total_volume_mean_ml_training_seed_mean,ppo_total_volume_mean_ml_training_seed_sample_sd,ppo_final_abs_error_mean_training_seed_mean,ppo_final_abs_error_mean_training_seed_sample_sd,ppo_success_training_seed_min,ppo_success_training_seed_max,ppo_minus_imitation_success_percentage_points_mean,ppo_training_seeds_above_imitation
fixed_two_independent,F2,87.97333333333333,0.36163210280307695,87.20533333333333,2.401584662028153,41.13733333333333,2.894084387927284,5.285333333333332,1.128119379025701,1.8933333333333333,0.34618556359912595,6.4795550310297925,0.6043221146122072,10.741786666666666,1.109282027459404,4.075906666666667,0.7673398299753937,8.337727466666667,0.677156438893374,0.1611644750116621,0.03665563822975592,84.06666666666666,90.65333333333332,-0.7680000000000007,1
fixed_two_independent,F3,88.78,0.7104771479630959,89.22133333333332,0.9661768874164741,43.205333333333336,2.552564723306085,4.732,0.8912712518893695,1.9733333333333334,0.1828782229912694,6.173687201793645,0.6018527019372935,9.875906666666667,0.7876708204150594,4.657026666666667,0.5366827339209721,8.2331568,0.43439602244685005,0.1417858031399275,0.022505932974341045,88.25999999999999,90.70666666666666,0.4413333333333185,3
fixed_two_independent,F4,88.74666666666667,0.15018507101424747,89.84933333333333,1.6812204561633917,38.44,3.385012719490299,3.6373333333333333,0.8947078977086442,2.3866666666666667,0.3011459594430728,7.164346954528975,1.0002581311566423,10.448653333333334,1.3083979189154278,4.271293333333334,0.5886805823194787,7.5446504,0.8141502879608908,0.12727335097334727,0.025026863128227186,88.45333333333333,92.39333333333335,1.1026666666666642,3
fixed_two_independent,F5,86.79333333333332,0.463920491272182,88.772,1.697693860636965,41.954666666666675,3.3151316380768,3.6439999999999997,0.4215210552273752,2.128,0.2937648341408102,6.468649425714609,0.7099049317888729,10.373533333333333,1.2960096278791893,4.439226666666666,0.4125217855526608,8.324950133333335,0.3919629287806577,0.12448258136919566,0.010031023681257759,86.74666666666667,90.87333333333333,1.9786666666666832,4
fixed_two_independent,F6,88.88,0.3114482300479524,90.17999999999999,1.3316155601373842,40.8,3.3654552275864407,3.542666666666667,0.41935400055058214,2.3986666666666663,0.5720217556080265,6.512223188661613,0.9577643191982728,9.883280000000001,1.356057682647264,4.636266666666667,0.48936772812817697,7.464660799999999,0.12588715349020627,0.11691003464052792,0.007361468950934623,88.88,91.75999999999999,1.2999999999999972,3
independent_j123,F2,83.33333333333334,0.6980130530457295,81.52533333333335,2.7015814298707026,37.756,2.3634184281812374,8.821333333333333,1.023907547909803,2.1013333333333337,0.3317763637686622,7.206761589921355,0.6202286015652798,13.46652,1.0960271026657036,4.060773333333334,0.789072367614868,8.742818266666665,0.7382037287474087,0.2337532866459778,0.035093885703031104,78.18,84.76000000000002,-1.8079999999999927,1
independent_j123,F3,85.72,0.7267125367785434,84.864,1.713985608652138,39.773333333333326,1.7599242407937157,7.621333333333332,1.5984047603087825,2.0986666666666665,0.21454862178795536,6.963584279221932,0.7671049205783587,12.281826666666666,0.8919262308808583,4.669946666666666,0.5382498890953076,8.5305476,0.48208577358313004,0.1958735904073826,0.03315872503311853,82.69333333333334,86.85999999999999,-0.8559999999999945,2
independent_j123,F4,87.08666666666666,0.8687794759188159,88.03733333333334,1.8220050006029658,37.017333333333326,2.7119800064815274,4.728000000000001,0.9165563569991512,2.3333333333333335,0.18808981306221176,7.598581835038749,0.944145932484481,11.611666666666668,1.3149684854694343,4.486973333333333,0.6375650948901,7.684724666666666,0.8337970098921627,0.14854951889582918,0.02397664158319067,86.66666666666667,91.12666666666667,0.9506666666666774,2
independent_j123,F5,82.78,1.0415266572574027,84.02933333333333,2.445570144840121,38.77333333333333,3.335152836744432,6.477333333333332,0.9492874520748006,2.1706666666666665,0.36275489122975463,7.133099234752097,0.8643675103599672,12.760893333333334,1.5718485349704951,4.47096,0.4301550149526203,8.790839066666667,0.46982004143634093,0.177616648863021,0.02202080972455859,80.97333333333333,87.32,1.2493333333333254,3
independent_j123,F6,87.58,0.6776593703493059,88.83866666666667,1.3399369802759855,39.873333333333335,2.8132345954237294,4.3839999999999995,0.5912435106526656,2.477333333333333,0.37367841194743323,6.793490412936701,0.76596114725778,10.671733333333334,1.2746722960126742,4.9016,0.5179235722253492,7.733819999999999,0.12573279214447036,0.1356332906812673,0.012048094231590232,87.58,90.28666666666668,1.2586666666666702,3
