evaluation_domain,family,imitation_success_percent_mean,imitation_success_percent_sample_sd,ppo_success_percent_mean,ppo_success_percent_sample_sd,ppo_minus_imitation_percentage_points,ppo_training_seeds_above_imitation
effective_k_protic_k1_3,F2,87.0,0.3,89,2,1.6,4
effective_k_protic_k1_3,F3,88.8,0.5,90,1,1.0,5
effective_k_protic_k1_3,F4,85.9,0.5,88,2,1.9,4
effective_k_protic_k1_3,F5,86.6,0.2,90,2,3.0,4
effective_k_protic_k1_3,F6,84.3,0.7,87,3,3.2,3
two_independent_monoacids,F2,88.0,0.4,87,2,-0.8,1
two_independent_monoacids,F3,88.8,0.7,89,1,0.4,3
two_independent_monoacids,F4,88.7,0.2,90,2,1.1,3
two_independent_monoacids,F5,86.8,0.5,89,2,2.0,4
two_independent_monoacids,F6,88.9,0.3,90,1,1.3,3
independent_components_j1_3,F2,83.3,0.7,82,3,-1.8,1
independent_components_j1_3,F3,85.7,0.7,85,2,-0.9,2
independent_components_j1_3,F4,87.1,0.9,88,2,1.0,2
independent_components_j1_3,F5,83,1,84,2,1.2,3
independent_components_j1_3,F6,87.6,0.7,89,1,1.3,3
