training_seed,benchmark_seed,ppo_success_percent,imitation_success_percent,difference_pp
101,101,91.46666666666667,88.7,2.7666666666666657
101,202,91.2,88.66666666666667,2.5333333333333314
101,303,92.0,89.66666666666666,2.333333333333343
101,404,91.53333333333333,89.1,2.433333333333337
101,555,92.2,89.73333333333333,2.4666666666666686
202,101,90.03333333333333,88.7,1.3333333333333286
202,202,89.73333333333333,88.66666666666667,1.0666666666666629
202,303,91.16666666666666,89.66666666666666,1.5
202,404,90.26666666666667,89.1,1.1666666666666714
202,555,91.10000000000001,89.73333333333333,1.3666666666666742
303,101,92.93333333333334,88.7,4.233333333333334
303,202,93.73333333333333,88.66666666666667,5.066666666666663
303,303,94.33333333333334,89.66666666666666,4.666666666666686
303,404,94.3,89.1,5.200000000000003
303,555,94.43333333333334,89.73333333333333,4.700000000000003
404,101,91.8,88.7,3.0999999999999943
404,202,92.16666666666666,88.66666666666667,3.499999999999986
404,303,92.96666666666667,89.66666666666666,3.3000000000000114
404,404,93.13333333333334,89.1,4.033333333333346
404,555,92.86666666666666,89.73333333333333,3.1333333333333258
555,101,90.33333333333333,88.7,1.6333333333333258
555,202,89.8,88.66666666666667,1.1333333333333258
555,303,90.06666666666666,89.66666666666666,0.4000000000000057
555,404,90.3,89.1,1.2000000000000028
555,555,90.96666666666667,89.73333333333333,1.2333333333333343
