step,reagent,recommended_volume,actual_volume,pH_before,pH_after,pH_change,neutralization_factor
1,base,5.93,5,1.67,5.27,5.27,1.2589
2,acid,1.88,2.37,5.27,5.31,0.04,1.2589
3,acid,1.29,1.62,5.31,5.31,0,1.2589
4,acid,1.3,1.64,5.31,5.29,-0.02,1.2589
5,acid,1.3,1.64,5.29,5.2,-0.09,1.2589
6,acid,1.3,1.64,5.2,5.11,-0.09,1.2589
7,acid,1.25,1.57,5.11,4.83,-0.28,1.2589
8,base,0.95,0.95,4.83,3.41,-1.42,1.2589
9,acid,0.44,0.55,3.41,4.95,1.54,1.2589
10,acid,0.5,0.63,4.95,4.96,0.01,1.2589
11,acid,0.56,0.7,4.96,4.83,-0.13,1.2589
12,acid,0.71,0.89,4.83,4.53,-0.3,1.2589
13,base,0.44,0.44,4.53,3.8,-0.73,1.2589
14,acid,0.2,0.25,3.8,4.68,0.88,1.2589
15,acid,0.18,0.23,4.68,4.68,0,1.2589
16,acid,0.18,0.23,4.68,4.6,-0.08,1.2589
17,acid,0.17,0.21,4.6,4.48,-0.12,1.2589
18,acid,0.13,0.16,4.48,4.31,-0.17,1.2589
