step,reagent,recommended_volume,actual_volume,pH_before,pH_after,pH_change,neutralization_factor
1,base,0.02,0.05,3.75,3.87,0.1200000000000001,1.2589254117941688
2,base,0.09000000357627869,0.09000000357627869,3.87,4.02,0.14999999999999947,1.2589254117941688
3,base,5.840000152587891,5.0,4.02,12.42,8.4,1.2589254117941688
4,acid,2.240000009536743,2.8199929344249863,12.42,12.23,-0.1899999999999995,1.2589254117941688
5,acid,1.9600000381469727,2.467493855140764,12.23,12.06,-0.16999999999999993,1.2589254117941688
6,acid,1.6200000047683716,2.0394591731095777,12.06,11.83,-0.23000000000000043,1.2589254117941688
7,acid,1.4700000286102295,1.8506203913555732,11.83,11.65,-0.17999999999999972,1.2589254117941688
8,acid,1.4700000286102295,1.8506203913555732,11.65,11.44,-0.21000000000000085,1.2589254117941688
9,acid,1.4700000286102295,1.8506203913555732,11.44,11.01,-0.4299999999999997,1.2589254117941688
10,acid,1.4700000286102295,1.8506203913555732,11.01,9.95,-1.0600000000000005,1.2589254117941688
11,acid,1.4700000286102295,1.8506203913555732,9.95,5.26,-4.6899999999999995,1.2589254117941688
12,base,0.699999988079071,0.699999988079071,5.26,10.82,5.5600000000000005,1.2589254117941688
13,acid,0.33000001311302185,0.4154454024003921,10.82,10.55,-0.2699999999999996,1.2589254117941688
14,acid,0.30000001192092896,0.37767763854581105,10.55,10.22,-0.33000000000000007,1.2589254117941688
15,acid,0.28999999165534973,0.3650883589150167,10.22,9.55,-0.6699999999999999,1.2589254117941688
16,acid,0.28999999165534973,0.3650883589150167,9.55,7.66,-1.8900000000000006,1.2589254117941688
17,acid,0.30000001192092896,0.37767763854581105,7.66,6.56,-1.1000000000000005,1.2589254117941688
18,base,0.12999999523162842,0.12999999523162842,6.56,9.18,2.62,1.2589254117941688
19,acid,0.07000000029802322,0.08812477920078082,9.18,8.42,-0.7599999999999998,1.2589254117941688
20,acid,0.07999999821186066,0.10071403069239945,8.42,7.7,-0.7199999999999998,1.2589254117941688
21,acid,0.07999999821186066,0.10071403069239945,7.7,7.21,-0.4900000000000002,1.2589254117941688
22,acid,0.05999999865889549,0.07553552301929958,7.21,6.91,-0.2999999999999998,1.2589254117941688
