Experiment,Acid_Type,Acid_Params,Initial_pH,Target_pH,Final_pH,Steps_Taken,Success
1,triprotic,"[3.8396645651282366, 4.306794378987306, 6.82352172124341]",1.79,3.74,3.66,4,Yes
2,monoprotic,4.33,2.11,6.93,6.89,13,Yes
3,monoprotic,2.34,1.60,9.97,10.07,13,Yes
4,triprotic,"[3.2686778474100135, 5.511863090653803, 7.379497001233954]",1.94,7.37,7.28,9,Yes
5,monoprotic,4.90,2.48,2.56,2.59,7,Yes
6,monoprotic,2.99,2.45,3.29,3.23,6,Yes
7,triprotic,"[3.7359693761658415, 5.431546647901997, 6.538767403525146]",2.10,9.44,9.43,16,Yes
8,diprotic,"[3.0638508827655793, 4.630957619954221]",2.07,3.99,3.92,7,Yes
9,diprotic,"[2.816909805004966, 5.818754160219429]",2.12,8.02,7.95,9,Yes
10,triprotic,"[2.383313660010998, 4.556488184262675, 7.5214898690721705]",2.40,10.72,10.66,10,Yes
11,diprotic,"[3.7153566060318246, 6.203858712329071]",3.34,5.21,2.60,50,No
12,triprotic,"[2.4805632068099053, 4.665563537085086, 7.689006851323387]",1.75,3.97,3.90,5,Yes
13,diprotic,"[3.454267082715174, 6.832743904564911]",1.68,7.09,6.99,6,Yes
14,triprotic,"[2.260457231113307, 5.856990521669043, 7.831051128974872]",2.94,2.00,1.92,7,Yes
15,diprotic,"[3.621852292837207, 6.597573429490044]",2.95,10.99,11.01,6,Yes
16,monoprotic,3.68,2.18,3.34,3.28,1,Yes
17,triprotic,"[3.8363221114089736, 4.145295834105914, 6.145764821851657]",2.32,5.78,5.69,8,Yes
18,diprotic,"[3.1913836125391746, 5.913889436749997]",2.42,6.71,6.67,7,Yes
19,triprotic,"[2.9416810362721475, 5.618706940399286, 7.871708240469772]",2.22,3.32,3.26,6,Yes
20,diprotic,"[2.8939702062558252, 5.199489686384594]",2.47,8.46,8.39,20,Yes
21,triprotic,"[3.0552143077266316, 4.586910030956522, 7.393433055619498]",2.09,7.39,7.32,8,Yes
22,diprotic,"[3.074836710050786, 6.117904730799088]",2.86,5.90,5.81,5,Yes
23,triprotic,"[2.318365147898546, 4.797006159404212, 7.382316868871155]",1.91,3.55,3.50,5,Yes
24,triprotic,"[3.956214561929502, 4.634845697543157, 6.032480486184943]",3.46,7.81,7.79,13,Yes
25,monoprotic,2.57,1.64,7.25,7.56,50,No
26,triprotic,"[2.8706434064653585, 5.819258864423189, 6.599968193191126]",2.03,8.67,8.59,11,Yes
27,monoprotic,4.42,2.30,2.51,2.52,6,Yes
28,diprotic,"[2.40301691705404, 6.641379729215228]",1.65,8.94,8.88,12,Yes
29,monoprotic,2.75,2.22,9.68,9.70,10,Yes
30,triprotic,"[2.5570695784235995, 4.824290792045742, 6.314850440034013]",1.91,2.74,2.65,5,Yes
31,triprotic,"[3.0684908224401424, 4.567130144131822, 6.612175293871889]",2.10,10.56,10.52,11,Yes
32,diprotic,"[3.3865805199693373, 4.459958668191419]",1.74,10.24,10.26,8,Yes
33,monoprotic,3.37,2.10,8.17,8.46,50,No
34,diprotic,"[3.6154606034994647, 5.48777481029759]",1.80,6.03,5.99,8,Yes
35,monoprotic,4.97,2.11,2.07,2.16,42,Yes
36,triprotic,"[3.58671142000677, 5.217506131508291, 7.5053356290346445]",2.04,3.34,3.26,1,Yes
37,triprotic,"[2.8447815882057044, 5.523425557595281, 7.817555978324959]",3.01,6.27,6.20,7,Yes
38,triprotic,"[3.6227357846246986, 4.299130878714265, 7.9262788745467]",1.94,4.02,3.93,9,Yes
39,monoprotic,2.10,1.99,10.01,10.07,14,Yes
40,triprotic,"[2.0115816071410872, 4.4023682176259396, 6.6664909093387035]",3.27,2.14,2.06,12,Yes
41,monoprotic,4.61,2.19,6.05,6.09,5,Yes
42,diprotic,"[3.6851028507373416, 6.542997263343997]",1.68,9.88,9.95,11,Yes
43,monoprotic,2.18,2.00,5.03,4.99,13,Yes
44,triprotic,"[3.000970336455029, 4.497760291275478, 7.112626400955552]",1.86,9.10,9.16,12,Yes
45,monoprotic,4.20,3.10,7.87,7.89,20,Yes
46,triprotic,"[3.58777776156437, 5.543484770919604, 6.51299921759204]",2.03,3.55,3.46,4,Yes
47,triprotic,"[2.8513033042401927, 5.2094045083137654, 7.058992365501513]",1.60,8.59,8.61,8,Yes
48,triprotic,"[2.104983929053117, 4.020112324951784, 6.686113162880093]",1.95,3.12,3.05,6,Yes
49,triprotic,"[3.6824102994710195, 5.520116386017715, 6.6562777657264105]",2.22,10.13,10.22,9,Yes
50,triprotic,"[2.094372206148461, 5.397910224846061, 6.295756175619118]",1.85,7.08,7.04,10,Yes
51,monoprotic,3.86,1.83,6.55,6.60,13,Yes
52,diprotic,"[2.3244501328600355, 6.365326712635233]",1.72,8.88,8.89,9,Yes
53,diprotic,"[3.2714255945146538, 6.667471502341638]",1.57,2.03,2.11,4,Yes
54,triprotic,"[3.6508110324461955, 5.3865268666900405, 6.167299619175089]",2.01,4.10,4.02,5,Yes
55,monoprotic,4.48,1.57,6.30,6.31,8,Yes
56,diprotic,"[3.1922562985754235, 6.511599074495743]",1.68,10.33,10.37,8,Yes
57,triprotic,"[3.473464558824948, 4.359727700857981, 7.911712150129701]",2.02,5.07,5.04,9,Yes
58,triprotic,"[3.1407272113319156, 5.339479964420031, 7.614608904587027]",2.09,9.09,9.08,8,Yes
59,monoprotic,2.50,1.63,5.98,5.98,19,Yes
60,diprotic,"[3.201421687795534, 5.735544641686049]",2.36,8.96,8.89,22,Yes
61,diprotic,"[3.6138269709773336, 4.010603558856232]",1.63,9.56,9.66,17,Yes
62,monoprotic,3.40,1.69,6.45,6.45,14,Yes
63,triprotic,"[2.189138266486397, 5.041725633825182, 7.161776919148936]",1.74,4.00,4.01,4,Yes
64,diprotic,"[3.4359479373920054, 4.862606166537746]",2.40,3.05,2.98,3,Yes
65,monoprotic,5.23,1.57,8.98,8.88,14,Yes
66,diprotic,"[2.98797588185612, 5.237104256725161]",1.89,8.86,8.84,13,Yes
67,triprotic,"[3.59820507251228, 4.430464956122546, 6.272871659435651]",1.72,5.64,5.56,8,Yes
68,diprotic,"[3.3937933740459316, 4.316231423640736]",1.60,4.82,4.74,9,Yes
69,diprotic,"[3.090032905733249, 5.248191669136185]",3.04,7.22,7.17,8,Yes
70,monoprotic,3.48,1.65,4.67,4.71,4,Yes
71,triprotic,"[2.532550442527202, 4.525861533750571, 6.697122142657157]",2.14,7.43,7.39,9,Yes
72,monoprotic,4.83,1.66,9.67,9.74,11,Yes
73,diprotic,"[2.1306878476988267, 4.464546670984857]",2.48,10.35,10.38,13,Yes
74,triprotic,"[2.421588649086787, 5.159313199944485, 7.264072391300412]",1.64,7.41,7.33,9,Yes
75,monoprotic,3.93,2.58,5.28,5.34,4,Yes
76,diprotic,"[3.102085081488608, 4.254799447651109]",1.61,4.51,4.43,9,Yes
77,diprotic,"[2.4679383413829266, 4.3192918118997135]",1.80,3.80,3.71,6,Yes
78,triprotic,"[3.0285467618130246, 4.844758721750816, 6.367925447054003]",2.94,2.36,2.32,6,Yes
79,diprotic,"[3.5887555021800166, 6.371730933200139]",1.75,3.56,3.47,1,Yes
80,diprotic,"[2.078305802522563, 5.172377676383336]",1.81,5.20,5.15,7,Yes
81,diprotic,"[3.615840596936515, 4.272969412953419]",2.32,7.98,7.94,27,Yes
82,diprotic,"[2.887872648461938, 4.456721906651763]",1.65,4.40,4.33,8,Yes
83,triprotic,"[2.3731885043337435, 4.44672712260976, 7.370478300054374]",2.01,10.75,10.67,9,Yes
84,triprotic,"[3.15239457112604, 4.445109147610946, 7.587924810357159]",2.35,9.57,9.63,11,Yes
85,diprotic,"[2.7895286004778796, 4.3464699430761815]",2.43,10.93,10.85,7,Yes
86,triprotic,"[3.2763935847313936, 5.683627919208565, 6.839550451254708]",2.29,4.89,4.80,4,Yes
87,triprotic,"[3.4830904725031964, 5.107147628783904, 6.6639650571350355]",3.12,10.53,10.60,11,Yes
88,diprotic,"[3.4100674853492885, 5.709148924554975]",1.82,5.31,5.23,5,Yes
89,triprotic,"[3.172627162043106, 5.58562974692075, 7.064161814443637]",2.21,10.22,10.32,10,Yes
90,monoprotic,2.40,2.47,8.96,8.87,22,Yes
91,monoprotic,3.51,2.27,8.78,8.76,20,Yes
92,diprotic,"[3.719438859283372, 5.582095342282975]",1.64,10.44,10.53,9,Yes
93,monoprotic,4.23,1.96,4.75,4.67,4,Yes
94,triprotic,"[2.528081980942888, 4.703902295678839, 6.501111337422343]",1.68,3.94,3.88,5,Yes
95,diprotic,"[2.125119209994784, 6.389540790893193]",2.41,10.44,10.52,9,Yes
96,diprotic,"[2.9412998430489563, 6.022067564898033]",2.39,3.17,3.11,6,Yes
97,diprotic,"[3.1271079885913498, 5.472360391990471]",1.59,4.81,4.76,5,Yes
98,diprotic,"[3.6704782943045275, 6.613836489146864]",2.96,8.75,8.69,12,Yes
99,triprotic,"[3.3996149469046513, 4.035332535418304, 7.899935393305843]",2.23,8.08,7.99,8,Yes
100,monoprotic,2.96,1.58,6.42,6.32,25,Yes
101,diprotic,"[3.655033691782271, 5.413169323510692]",1.66,4.28,4.20,5,Yes
102,triprotic,"[3.0469036330758748, 5.653111087826536, 6.15175326123193]",1.93,5.08,5.01,5,Yes
103,diprotic,"[3.5553838495292736, 6.7148045326542976]",2.13,3.30,3.24,2,Yes
104,monoprotic,2.51,2.32,6.17,6.12,27,Yes
105,triprotic,"[2.164265074407842, 4.3051755975351576, 7.368125460410991]",2.31,6.14,6.15,6,Yes
106,monoprotic,2.34,2.18,3.67,3.66,6,Yes
107,triprotic,"[2.332041529693084, 5.367085014354787, 7.46032331813941]",2.67,5.89,5.83,22,Yes
108,diprotic,"[2.2496482262406703, 6.4657531275438505]",2.32,10.52,10.60,10,Yes
109,diprotic,"[3.539403450555282, 4.732770220522014]",2.20,8.47,8.44,29,Yes
110,triprotic,"[3.3113239298113024, 4.324264119475533, 6.618344744285393]",1.69,5.35,5.27,7,Yes
111,monoprotic,4.12,2.37,4.04,3.98,2,Yes
112,triprotic,"[2.1492585319588198, 4.3919285153244605, 7.872219616364271]",2.05,10.15,10.19,7,Yes
113,diprotic,"[3.0546696623177656, 5.001171995398819]",1.88,7.07,7.08,10,Yes
114,triprotic,"[2.645338905272521, 4.858300212100302, 6.969302987263619]",2.20,8.52,8.60,8,Yes
115,diprotic,"[3.8837192672234764, 4.933866011246636]",2.50,3.61,3.52,3,Yes
116,monoprotic,3.66,1.60,2.59,2.61,4,Yes
117,monoprotic,2.18,1.90,10.47,10.57,12,Yes
118,triprotic,"[2.5429821522554903, 4.259906602491339, 6.2239177614044445]",2.16,4.50,4.41,8,Yes
119,triprotic,"[2.2122622904776166, 5.781530518674353, 6.969132040503322]",2.40,7.39,7.29,10,Yes
120,diprotic,"[2.4106827851509696, 5.521731501472745]",2.28,4.19,4.20,3,Yes
121,monoprotic,4.54,1.63,8.07,8.05,23,Yes
122,monoprotic,4.22,2.31,4.17,4.10,1,Yes
123,monoprotic,2.78,2.48,5.89,5.84,13,Yes
124,triprotic,"[2.4893976357492282, 4.600224036780897, 7.018906467422705]",2.75,4.67,4.60,34,Yes
125,monoprotic,4.77,2.21,6.95,6.91,10,Yes
126,triprotic,"[2.847842024952328, 5.717515409670731, 6.857088538027637]",2.94,5.58,5.50,6,Yes
127,diprotic,"[2.8720403269250943, 6.779947431439908]",1.86,10.64,10.71,4,Yes
128,monoprotic,5.46,2.50,7.41,7.42,8,Yes
129,monoprotic,4.94,2.29,10.05,10.03,15,Yes
130,triprotic,"[3.5133047758774723, 4.743099753576606, 6.929386673790885]",2.15,3.40,3.32,4,Yes
131,monoprotic,3.97,3.18,3.78,3.70,4,Yes
132,triprotic,"[2.8839566884106453, 5.5133148293933285, 7.836388152698186]",2.21,5.46,5.36,6,Yes
133,triprotic,"[3.151206975176319, 5.548472018533508, 6.749033545102554]",2.14,8.39,8.42,11,Yes
