Experiment,Acid_Type,Target_pH,Success,Steps,Overshoots,Final_pH,Base_Added_mL,Acid_Added_mL,Mean_Decision_ms
1,triprotic,3.74,Yes,45,0,3.65,5.660,0.000,0.015800
2,monoprotic,6.93,Yes,11,2,6.89,11.720,0.750,0.011709
3,monoprotic,9.97,Yes,12,7,10.06,13.010,1.980,0.010083
4,triprotic,7.37,Yes,44,0,7.28,26.700,0.000,0.008225
5,monoprotic,2.56,Yes,1,0,2.64,0.000,0.200,0.009500
6,monoprotic,3.29,Yes,37,0,3.20,6.690,0.000,0.011862
7,triprotic,9.44,Yes,16,1,9.46,33.500,0.500,0.009962
8,diprotic,3.99,Yes,40,0,3.90,11.300,0.000,0.007848
9,diprotic,8.02,Yes,15,3,8.08,22.190,0.250,0.010993
10,triprotic,10.72,Yes,16,3,10.74,34.250,1.000,0.017025
11,diprotic,5.21,Yes,20,0,5.11,11.390,0.000,0.024150
12,triprotic,3.97,Yes,28,0,3.88,12.110,0.000,0.012732
13,diprotic,7.09,Yes,40,0,6.99,17.480,0.000,0.007640
14,triprotic,2.00,Yes,32,0,1.91,1.780,0.000,0.011941
15,diprotic,10.99,Yes,11,1,11.05,23.500,1.100,0.009027
16,monoprotic,3.34,Yes,21,0,3.24,2.840,0.000,0.943143
17,triprotic,5.78,Yes,44,0,5.69,24.540,0.000,0.011805
18,diprotic,6.71,Yes,32,0,6.61,20.150,0.000,0.013619
19,triprotic,3.32,Yes,37,0,3.22,7.130,0.000,0.014476
20,diprotic,8.46,No,50,34,8.22,23.650,1.660,0.029510
