mixture,net_titrant_ml,pH
mixture_1,-2.0000,1.844125
mixture_1,-1.9750,1.848788
mixture_1,-1.9500,1.853519
mixture_1,-1.9250,1.858320
mixture_1,-1.9000,1.863191
mixture_1,-1.8750,1.868135
mixture_1,-1.8500,1.873153
mixture_1,-1.8250,1.878249
mixture_1,-1.8000,1.883423
mixture_1,-1.7750,1.888679
mixture_1,-1.7500,1.894017
mixture_1,-1.7250,1.899442
mixture_1,-1.7000,1.904955
mixture_1,-1.6750,1.910559
mixture_1,-1.6500,1.916257
mixture_1,-1.6250,1.922051
mixture_1,-1.6000,1.927945
mixture_1,-1.5750,1.933941
mixture_1,-1.5500,1.940043
mixture_1,-1.5250,1.946255
mixture_1,-1.5000,1.952579
mixture_1,-1.4750,1.959020
mixture_1,-1.4500,1.965581
mixture_1,-1.4250,1.972268
mixture_1,-1.4000,1.979083
mixture_1,-1.3750,1.986032
mixture_1,-1.3500,1.993120
mixture_1,-1.3250,2.000351
mixture_1,-1.3000,2.007731
mixture_1,-1.2750,2.015266
mixture_1,-1.2500,2.022961
mixture_1,-1.2250,2.030824
mixture_1,-1.2000,2.038860
mixture_1,-1.1750,2.047078
mixture_1,-1.1500,2.055483
mixture_1,-1.1250,2.064086
mixture_1,-1.1000,2.072893
mixture_1,-1.0750,2.081915
mixture_1,-1.0500,2.091161
mixture_1,-1.0250,2.100641
mixture_1,-1.0000,2.110367
mixture_1,-0.9750,2.120351
mixture_1,-0.9500,2.130605
mixture_1,-0.9250,2.141143
mixture_1,-0.9000,2.151980
mixture_1,-0.8750,2.163132
mixture_1,-0.8500,2.174617
mixture_1,-0.8250,2.186452
mixture_1,-0.8000,2.198659
mixture_1,-0.7750,2.211259
mixture_1,-0.7500,2.224277
mixture_1,-0.7250,2.237738
mixture_1,-0.7000,2.251672
mixture_1,-0.6750,2.266109
mixture_1,-0.6500,2.281085
mixture_1,-0.6250,2.296637
mixture_1,-0.6000,2.312807
mixture_1,-0.5750,2.329642
mixture_1,-0.5500,2.347195
mixture_1,-0.5250,2.365522
mixture_1,-0.5000,2.384687
mixture_1,-0.4750,2.404765
mixture_1,-0.4500,2.425835
mixture_1,-0.4250,2.447989
mixture_1,-0.4000,2.471332
mixture_1,-0.3750,2.495979
mixture_1,-0.3500,2.522065
mixture_1,-0.3250,2.549741
mixture_1,-0.3000,2.579177
mixture_1,-0.2750,2.610568
mixture_1,-0.2500,2.644130
mixture_1,-0.2250,2.680107
mixture_1,-0.2000,2.718759
mixture_1,-0.1750,2.760362
mixture_1,-0.1500,2.805187
mixture_1,-0.1250,2.853470
mixture_1,-0.1000,2.905359
mixture_1,-0.0750,2.960846
mixture_1,-0.0500,3.019677
mixture_1,-0.0250,3.081284
mixture_1,0.0000,3.144761
mixture_1,0.0250,3.209755
mixture_1,0.0500,3.274005
mixture_1,0.0750,3.336460
mixture_1,0.1000,3.396363
mixture_1,0.1250,3.453276
mixture_1,0.1500,3.507036
mixture_1,0.1750,3.557673
mixture_1,0.2000,3.605338
mixture_1,0.2250,3.650243
mixture_1,0.2500,3.692626
mixture_1,0.2750,3.732721
mixture_1,0.3000,3.770753
mixture_1,0.3250,3.806930
mixture_1,0.3500,3.841438
mixture_1,0.3750,3.874445
mixture_1,0.4000,3.906101
mixture_1,0.4250,3.936537
mixture_1,0.4500,3.965872
mixture_1,0.4750,3.994210
mixture_1,0.5000,4.021645
mixture_1,0.5250,4.048261
mixture_1,0.5500,4.074133
mixture_1,0.5750,4.099327
mixture_1,0.6000,4.123904
mixture_1,0.6250,4.147921
mixture_1,0.6500,4.171426
mixture_1,0.6750,4.194466
mixture_1,0.7000,4.217082
mixture_1,0.7250,4.239313
mixture_1,0.7500,4.261196
mixture_1,0.7750,4.282763
mixture_1,0.8000,4.304045
mixture_1,0.8250,4.325072
mixture_1,0.8500,4.345871
mixture_1,0.8750,4.366467
