step,reagent,recommended_volume,actual_volume,pH_before,pH_after,pH_change,neutralization_factor
1,base,6.510000228881836,5.0,1.39,4.99,3.6000000000000005,1.2589254117941688
2,acid,1.3700000047683716,1.7247278201610354,4.99,4.81,-0.1800000000000006,1.2589254117941688
3,acid,1.25,1.573656764742711,4.81,3.95,-0.8599999999999994,1.2589254117941688
4,base,0.47999998927116394,0.47999998927116394,3.95,4.67,0.7199999999999998,1.2589254117941688
5,acid,0.25999999046325684,0.3273205950604356,4.67,4.64,-0.03000000000000025,1.2589254117941688
6,acid,0.18000000715255737,0.22660658312748663,4.64,4.55,-0.08999999999999986,1.2589254117941688
7,acid,0.12999999523162842,0.1636602975302178,4.55,4.49,-0.05999999999999961,1.2589254117941688
8,acid,0.10999999940395355,0.13848179454698056,4.49,4.43,-0.0600000000000005,1.2589254117941688
9,acid,0.07999999821186066,0.10071403069239945,4.43,4.37,-0.05999999999999961,1.2589254117941688
10,acid,0.03999999910593033,0.05035701534619973,4.37,4.36,-0.009999999999999787,1.2589254117941688
11,acid,0.029999999329447746,0.05,4.36,4.35,-0.010000000000000675,1.2589254117941688
12,acid,0.029999999329447746,0.05,4.35,4.34,-0.009999999999999787,1.2589254117941688
13,acid,0.029999999329447746,0.05,4.34,4.3,-0.040000000000000036,1.2589254117941688
