step,reagent,recommended_volume,actual_volume,pH_before,pH_after,pH_change,neutralization_factor
1,base,9.079999923706055,5.0,1.31,10.33,9.02,1.2589254117941688
2,acid,2.4000000953674316,3.0214211083664884,10.33,5.25,-5.08,1.2589254117941688
3,base,1.159999966621399,1.159999966621399,5.25,10.97,5.720000000000001,1.2589254117941688
4,acid,0.5600000023841858,0.7049982336062466,10.97,10.61,-0.3600000000000012,1.2589254117941688
5,acid,0.5600000023841858,0.7049982336062466,10.61,9.55,-1.0599999999999987,1.2589254117941688
6,acid,0.5600000023841858,0.7049982336062466,9.55,7.83,-1.7200000000000006,1.2589254117941688
7,acid,0.5600000023841858,0.7049982336062466,7.83,6.64,-1.1900000000000004,1.2589254117941688
8,base,0.27000001072883606,0.27000001072883606,6.64,8.87,2.2299999999999995,1.2589254117941688
9,acid,0.12999999523162842,0.1636602975302178,8.87,8.41,-0.4599999999999991,1.2589254117941688
10,acid,0.10999999940395355,0.13848179454698056,8.41,7.86,-0.5499999999999998,1.2589254117941688
11,acid,0.09000000357627869,0.11330329156374332,7.86,7.4,-0.45999999999999996,1.2589254117941688
12,acid,0.07999999821186066,0.10071403069239945,7.4,7.15,-0.25,1.2589254117941688
13,acid,0.05999999865889549,0.07553552301929958,7.15,6.94,-0.20999999999999996,1.2589254117941688
