acid_type,step,mean_pKa_std,max_pKa_std,current_pH,target_pH,experiment
monoprotic,0,0.20000000000000004,0.2,2.11,6.93,2
monoprotic,1,0.2047177412976299,0.2079571717505082,4.93,6.93,2
monoprotic,2,0.20756152091073823,0.21110392015308044,11.77,6.93,2
monoprotic,3,0.20467631512054463,0.20968517967238653,5.73,6.93,2
monoprotic,4,0.20120305425109616,0.2086116454869627,11.26,6.93,2
monoprotic,5,0.20619668384094092,0.22130238579247455,10.05,6.93,2
monoprotic,6,0.20487620110822258,0.2270651751422992,5.73,6.93,2
monoprotic,7,0.20019451123824236,0.22561885214234403,6.06,6.93,2
monoprotic,8,0.21149105960597836,0.2417571171787123,9.86,6.93,2
monoprotic,9,0.21014841917920343,0.2399884275498636,6.41,6.93,2
monoprotic,10,0.21319709189673372,0.24901501201154402,6.77,6.93,2
monoprotic,11,0.2197839362755337,0.25516617843312017,9.56,6.93,2
monoprotic,12,0.22221337683713369,0.2600896597162342,7.37,6.93,2
diprotic,0,0.20000000000000004,0.2,2.07,3.99,8
diprotic,1,0.19597217276570233,0.19901240959966088,2.99,3.99,8
diprotic,2,0.20014202151784935,0.20682220657854733,3.26,3.99,8
diprotic,3,0.20504153626791619,0.2079350222083942,3.53,3.99,8
diprotic,4,0.2078260386981128,0.21731412983147366,3.72,3.99,8
diprotic,5,0.20570614590842054,0.2283637896286465,3.83,3.99,8
diprotic,6,0.2119575015240429,0.23124692665101723,3.9,3.99,8
triprotic,0,0.20000000000000004,0.2,1.79,3.74,1
triprotic,1,0.20674473647473346,0.21210363174883842,3.59,3.74,1
triprotic,2,0.2057566595558331,0.20950390845320183,3.62,3.74,1
triprotic,3,0.20626379118338867,0.21201927885573751,3.65,3.74,1
