mixture,controller,step,cumulative_signed_volume_mL,cumulative_total_volume_mL,pH_after,file
1,Bayesian,0,0.0,0.0,3.16,1-1.xlsx
1,Bayesian,1,6.44,6.44,11.5,1-1.xlsx
1,Bayesian,2,3.3300000000000005,9.55,8.58,1-1.xlsx
1,Bayesian,3,0.9300000000000006,11.950000000000001,4.11,1-1.xlsx
1,Bayesian,4,2.0900000000000007,13.110000000000001,4.91,1-1.xlsx
1,Bayesian,5,3.2200000000000006,14.240000000000002,8.7,1-1.xlsx
1,Bayesian,6,2.6600000000000006,14.800000000000002,7.52,1-1.xlsx
1,Bayesian,7,2.1000000000000005,15.360000000000003,5.16,1-1.xlsx
1,Bayesian,8,2.3700000000000006,15.630000000000003,5.62,1-1.xlsx
1,Bayesian,9,2.6700000000000004,15.930000000000003,7.94,1-1.xlsx
1,Bayesian,10,2.5400000000000005,16.060000000000002,7.25,1-1.xlsx
1,Bayesian,11,2.4400000000000004,16.160000000000004,6.45,1-1.xlsx
1,Bayesian,12,2.3400000000000003,16.260000000000005,6.05,1-1.xlsx
1,Reinforcement,0,0.0,0.0,3.32,1-2.xlsx
1,Reinforcement,1,6.27,6.27,12.01,1-2.xlsx
1,Reinforcement,2,3.1399999999999997,9.399999999999999,10.78,1-2.xlsx
1,Reinforcement,3,0.009999999999999787,12.529999999999998,5.46,1-2.xlsx
1,Reinforcement,4,0.9999999999999998,13.519999999999998,8.12,1-2.xlsx
1,Reinforcement,5,0.5099999999999998,14.009999999999998,5.48,1-2.xlsx
1,Reinforcement,6,0.7499999999999998,14.249999999999998,7.21,1-2.xlsx
1,Reinforcement,7,0.6299999999999998,14.369999999999997,6.18,1-2.xlsx
1,Reinforcement,8,0.5099999999999998,14.489999999999997,5.85,1-2.xlsx
1,Reinforcement,9,0.5699999999999998,14.549999999999997,5.98,1-2.xlsx
1,Human,0,0.0,0.0,3.41,1-3.xlsx
1,Human,1,2.0,2.0,8.9,1-3.xlsx
1,Human,2,1.0,3.0,5.55,1-3.xlsx
1,Human,3,1.1,3.1,5.75,1-3.xlsx
1,Human,4,1.2000000000000002,3.2,6.05,1-3.xlsx
2,Bayesian,0,0.0,0.0,2.89,2-1.xlsx
2,Bayesian,1,6.88000011444091,6.88000011444091,5.8,2-1.xlsx
2,Bayesian,2,7.140000104904166,7.140000104904166,6.06,2-1.xlsx
2,Reinforcement,0,0.0,0.0,3.15,2-2.xlsx
2,Reinforcement,1,6.63,6.63,5.63,2-2.xlsx
2,Reinforcement,2,7.33,7.33,6.15,2-2.xlsx
2,Reinforcement,3,6.98,7.68,5.98,2-2.xlsx
2,Human,0,0.0,0.0,3.04,2-3.xlsx
2,Human,1,2.0,2.0,4.31,2-3.xlsx
2,Human,2,3.5,3.5,4.61,2-3.xlsx
2,Human,3,5.0,5.0,4.97,2-3.xlsx
2,Human,4,6.5,6.5,5.35,2-3.xlsx
2,Human,5,7.5,7.5,5.78,2-3.xlsx
2,Human,6,8.1,8.1,6.43,2-3.xlsx
2,Human,7,7.8999999999999995,8.299999999999999,6.15,2-3.xlsx
2,Human,8,7.699999999999999,8.499999999999998,5.96,2-3.xlsx
3,Bayesian,0,0.0,0.0,2.13,3-1.xlsx
3,Bayesian,1,7.869999885559082,7.869999885559082,11.89,3-1.xlsx
3,Bayesian,2,4.3999998569488525,11.339999914169312,9.12,3-1.xlsx
3,Bayesian,3,1.3299999237060547,14.40999984741211,4.12,3-1.xlsx
3,Bayesian,4,2.899999976158142,15.979999899864197,5.65,3-1.xlsx
3,Bayesian,5,3.659999966621399,16.739999890327454,8.64,3-1.xlsx
3,Bayesian,6,3.3099999725818634,17.08999988436699,8.19,3-1.xlsx
3,Bayesian,7,2.9699999690055847,17.429999887943268,5.93,3-1.xlsx
3,Reinforcement,0,0.0,0.0,2.29,3-2.xlsx
3,Reinforcement,1,7.81,7.81,12.15,3-2.xlsx
3,Reinforcement,2,3.9099999999999997,11.709999999999999,9.8,3-2.xlsx
3,Reinforcement,3,0.009999999999999787,15.61,3.26,3-2.xlsx
3,Reinforcement,4,1.9599999999999997,17.56,7.08,3-2.xlsx
3,Reinforcement,5,0.9899999999999998,18.529999999999998,4.68,3-2.xlsx
3,Reinforcement,6,1.4699999999999998,19.009999999999998,5.22,3-2.xlsx
3,Reinforcement,7,1.9499999999999997,19.49,6.84,3-2.xlsx
3,Reinforcement,8,1.7099999999999997,19.729999999999997,5.44,3-2.xlsx
3,Reinforcement,9,1.5899999999999999,19.849999999999998,5.54,3-2.xlsx
3,Reinforcement,10,1.71,19.97,5.68,3-2.xlsx
3,Reinforcement,11,1.83,20.09,5.67,3-2.xlsx
3,Reinforcement,12,2.43,20.69,5.9,3-2.xlsx
3,Human,0,0.0,0.0,2.26,3-3.xlsx
3,Human,1,2.0,2.0,4.2,3-3.xlsx
3,Human,2,4.0,4.0,8.38,3-3.xlsx
3,Human,3,3.0,5.0,5.06,3-3.xlsx
3,Human,4,3.4,5.4,5.57,3-3.xlsx
3,Human,5,3.6,5.6000000000000005,5.98,3-3.xlsx
4,Bayesian,0,0.0,0.0,2.98,4-1.xlsx
4,Bayesian,1,6.880000114440918,6.880000114440918,10.74,4-1.xlsx
4,Bayesian,2,3.630000114440918,10.130000114440918,4.89,4-1.xlsx
4,Bayesian,3,4.930000066757202,11.430000066757202,5.34,4-1.xlsx
4,Bayesian,4,6.210000038146973,12.710000038146973,10.55,4-1.xlsx
4,Bayesian,5,5.550000011920929,13.370000064373016,5.84,4-1.xlsx
