source_group,source,algorithm,claimed_success_rate,claimed_avg_successful_steps,claimed_overshoot_rate,trusted_success_rate,trusted_avg_successful_steps,trusted_overshoot_rate,delta_success_rate_pp,delta_avg_successful_steps,delta_overshoot_rate_pp,evidence,status
plot_notebook_hardcoded,plot.ipynb cell 22,Bayesian,94.23,12.73,41.84,90.3,8.96,44.3,3.93,3.77,-2.46,E:\GitHub\ph4git\pH-Titration\ph4github_analysiscopy\plot.ipynb,mismatch
plot_notebook_hardcoded,plot.ipynb cell 22,Imitation,93.77,10.22,34.41,93.87,10.26,31.25,-0.1,-0.04,3.16,E:\GitHub\ph4git\pH-Titration\ph4github_analysiscopy\plot.ipynb,mismatch
plot_notebook_hardcoded,plot.ipynb cell 22,Reinforcement,94.27,10.21,30.55,94.3,10.22,31.41,-0.03,-0.01,-0.86,E:\GitHub\ph4git\pH-Titration\ph4github_analysiscopy\plot.ipynb,mismatch
manuscript_table1_and_narrative,E:\GitHub\ph4git\pH-Titration\ph4github_analysiscopy\review_outputs\manuscript_text\manuscript_analysiscopy.txt,Bayesian,94.2,12.73,41.84,90.3,8.96,44.3,3.9,3.77,-2.46,E:\GitHub\ph4git\pH-Titration\ph4github_analysiscopy\review_outputs\manuscript_text\manuscript_analysiscopy.txt,mismatch
manuscript_table1_and_narrative,E:\GitHub\ph4git\pH-Titration\ph4github_analysiscopy\review_outputs\manuscript_text\manuscript_analysiscopy.txt,Imitation,93.77,10.22,34.41,93.87,10.26,31.25,-0.1,-0.04,3.16,E:\GitHub\ph4git\pH-Titration\ph4github_analysiscopy\review_outputs\manuscript_text\manuscript_analysiscopy.txt,mismatch
manuscript_table1_and_narrative,E:\GitHub\ph4git\pH-Titration\ph4github_analysiscopy\review_outputs\manuscript_text\manuscript_analysiscopy.txt,Reinforcement,94.27,10.21,30.55,94.3,10.22,31.41,-0.03,-0.01,-0.86,E:\GitHub\ph4git\pH-Titration\ph4github_analysiscopy\review_outputs\manuscript_text\manuscript_analysiscopy.txt,mismatch
si_updated_rounding,E:\GitHub\ph4git\pH-Titration\ph4github_analysiscopy\review_outputs\manuscript_text\si_analysiscopy.txt,Bayesian,90.3,9.0,44.3,90.3,8.96,44.3,0.0,0.04,0.0,E:\GitHub\ph4git\pH-Titration\ph4github_analysiscopy\review_outputs\manuscript_text\si_analysiscopy.txt,rounded_match
si_updated_rounding,E:\GitHub\ph4git\pH-Titration\ph4github_analysiscopy\review_outputs\manuscript_text\si_analysiscopy.txt,Imitation,93.9,10.0,31.3,93.87,10.26,31.25,0.03,-0.26,0.05,E:\GitHub\ph4git\pH-Titration\ph4github_analysiscopy\review_outputs\manuscript_text\si_analysiscopy.txt,rounded_match
si_updated_rounding,E:\GitHub\ph4git\pH-Titration\ph4github_analysiscopy\review_outputs\manuscript_text\si_analysiscopy.txt,Reinforcement,94.3,10.0,31.4,94.3,10.22,31.41,0.0,-0.22,-0.01,E:\GitHub\ph4git\pH-Titration\ph4github_analysiscopy\review_outputs\manuscript_text\si_analysiscopy.txt,rounded_match
si_updated_rounding,E:\GitHub\ph4git\pH-Titration\ph4github_analysiscopy\review_outputs\manuscript_text\si_analysiscopy.txt,PID,76.2,24.0,29.9,76.17,23.7,29.88,0.03,0.3,0.02,E:\GitHub\ph4git\pH-Titration\ph4github_analysiscopy\review_outputs\manuscript_text\si_analysiscopy.txt,rounded_match
si_stale_paragraph,E:\GitHub\ph4git\pH-Titration\ph4github_analysiscopy\review_outputs\manuscript_text\si_analysiscopy.txt,Bayesian,94.2,13.73,39.99,90.3,8.96,44.3,3.9,4.77,-4.31,E:\GitHub\ph4git\pH-Titration\ph4github_analysiscopy\review_outputs\manuscript_text\si_analysiscopy.txt,mismatch
si_stale_paragraph,E:\GitHub\ph4git\pH-Titration\ph4github_analysiscopy\review_outputs\manuscript_text\si_analysiscopy.txt,Imitation,93.97,10.2,28.44,93.87,10.26,31.25,0.1,-0.06,-2.81,E:\GitHub\ph4git\pH-Titration\ph4github_analysiscopy\review_outputs\manuscript_text\si_analysiscopy.txt,mismatch
si_stale_paragraph,E:\GitHub\ph4git\pH-Titration\ph4github_analysiscopy\review_outputs\manuscript_text\si_analysiscopy.txt,Reinforcement,94.327,10.1,28.67,94.3,10.22,31.41,0.03,-0.12,-2.74,E:\GitHub\ph4git\pH-Titration\ph4github_analysiscopy\review_outputs\manuscript_text\si_analysiscopy.txt,mismatch
si_stale_paragraph,E:\GitHub\ph4git\pH-Titration\ph4github_analysiscopy\review_outputs\manuscript_text\si_analysiscopy.txt,PID,29.703,44.19,24.4,76.17,23.7,29.88,-46.47,20.49,-5.48,E:\GitHub\ph4git\pH-Titration\ph4github_analysiscopy\review_outputs\manuscript_text\si_analysiscopy.txt,mismatch
