experiment,acid_type,target_pH,final_pH,steps,overshoots,success
1,triprotic,3.74,3.65,24,0,True
2,monoprotic,6.93,9.37,50,27,False
3,monoprotic,9.97,10.67,50,21,False
4,triprotic,7.37,7.29,40,0,True
5,monoprotic,2.56,2.62,3,0,True
6,monoprotic,3.29,3.2,23,0,True
7,triprotic,9.44,8.09,50,26,False
8,diprotic,3.99,3.9,30,0,True
9,diprotic,8.02,7.95,25,4,True
10,triprotic,10.72,10.63,19,0,True
11,diprotic,5.21,5.12,22,0,True
12,triprotic,3.97,3.9,26,0,True
13,diprotic,7.09,6.99,28,0,True
14,triprotic,2.0,1.91,19,0,True
15,diprotic,10.99,10.97,14,2,True
16,monoprotic,3.34,3.26,16,0,True
17,triprotic,5.78,5.69,43,0,True
18,diprotic,6.71,6.64,32,0,True
19,triprotic,3.32,3.23,24,0,True
20,diprotic,8.46,10.59,50,35,False
21,triprotic,7.39,7.29,34,0,True
22,diprotic,5.9,5.83,24,0,True
23,triprotic,3.55,3.5,25,0,True
24,triprotic,7.81,7.77,36,2,True
25,monoprotic,7.25,3.64,50,44,False
26,triprotic,8.67,8.3,50,20,False
27,monoprotic,2.51,2.6,2,0,True
28,diprotic,8.94,8.01,50,32,False
29,monoprotic,9.68,5.49,50,24,False
30,triprotic,2.74,2.65,24,0,True
31,triprotic,10.56,10.52,21,4,True
32,diprotic,10.24,10.18,14,2,True
33,monoprotic,8.17,5.18,50,44,False
34,diprotic,6.03,5.96,36,0,True
35,monoprotic,2.07,2.14,7,0,True
36,triprotic,3.34,3.24,17,0,True
37,triprotic,6.27,6.18,33,0,True
38,triprotic,4.02,3.93,35,0,True
39,monoprotic,10.01,10.04,41,15,True
40,triprotic,2.14,2.05,26,0,True
41,monoprotic,6.05,6.12,20,1,True
42,diprotic,9.88,8.84,50,36,False
43,monoprotic,5.03,3.42,50,20,False
44,triprotic,9.1,9.19,36,9,True
45,monoprotic,7.87,5.18,50,42,False
46,triprotic,3.55,3.47,20,0,True
47,triprotic,8.59,8.63,35,1,True
48,triprotic,3.12,3.04,29,0,True
49,triprotic,10.13,9.45,50,30,False
50,triprotic,7.08,6.99,47,0,True
51,monoprotic,6.55,6.5,24,6,True
52,diprotic,8.88,8.8,17,0,True
53,diprotic,2.03,2.12,3,0,True
54,triprotic,4.1,4.02,25,0,True
55,monoprotic,6.3,6.39,19,3,True
56,diprotic,10.33,10.25,18,4,True
57,triprotic,5.07,4.99,42,0,True
58,triprotic,9.09,9.11,33,1,True
59,monoprotic,5.98,3.34,50,28,False
60,diprotic,8.96,10.83,50,35,False
61,diprotic,9.56,10.7,50,27,False
62,monoprotic,6.45,10.31,50,27,False
63,triprotic,4.0,3.95,21,0,True
64,diprotic,3.05,2.96,16,0,True
65,monoprotic,8.98,6.89,50,42,False
66,diprotic,8.86,6.72,50,36,False
67,triprotic,5.64,5.54,42,0,True
68,diprotic,4.82,4.73,43,0,True
69,diprotic,7.22,7.31,23,1,True
70,monoprotic,4.67,4.64,22,0,True
71,triprotic,7.43,7.33,40,0,True
72,monoprotic,9.67,7.2,50,30,False
73,diprotic,10.35,10.36,11,1,True
74,triprotic,7.41,7.33,39,0,True
75,monoprotic,5.28,5.19,20,0,True
76,diprotic,4.51,4.43,41,0,True
