experiment,acid_type,true_buffer_count,steps_taken,success,final_pH,target_pH,final_abs_pH_error,final_matched_pka_mae,final_posterior_mean_std,final_unused_slot_mole_fraction
1,triprotic,3,3,True,3.65,3.74,0.0900000000000003,1.5130227192001768,0.19017478122512596,0.0
2,monoprotic,1,12,True,6.89,6.93,0.040000000000000036,0.14215939955386947,0.2146197937520137,0.5400961243511779
3,monoprotic,1,13,True,9.97,9.97,0.0,0.22887403722218558,0.2037638139776997,0.3571408832888004
4,triprotic,3,6,True,7.39,7.37,0.019999999999999574,2.3988673946588848,0.19550880088300668,0.0
6,monoprotic,1,5,True,3.2,3.29,0.08999999999999986,0.17865931791161493,0.18023222096635894,0.8464943815920648
5,monoprotic,1,5,True,2.6,2.56,0.040000000000000036,0.26206708049858385,0.09732351139182234,0.7365432618424604
8,diprotic,2,6,True,3.9,3.99,0.0900000000000003,0.20574384848058602,0.17703770065224125,0.33575893121593353
9,diprotic,2,10,True,8.01,8.02,0.009999999999999787,0.6938076221649057,0.22226299364734767,0.3885431779167748
7,triprotic,3,15,True,9.43,9.44,0.009999999999999787,1.0543194584658317,0.22487740607651405,0.0
10,triprotic,3,8,True,10.78,10.72,0.05999999999999872,0.8890243602250666,0.2082040411848595,0.0
11,diprotic,2,4,True,5.18,5.21,0.03000000000000025,1.2965791798094504,0.1985109006078937,0.383201594269211
12,triprotic,3,6,True,4.04,3.97,0.06999999999999984,1.1136535869440527,0.18876241991262366,0.0
13,diprotic,2,6,True,7.02,7.09,0.07000000000000028,1.224882466630403,0.21458048290043444,0.40392215017589633
15,diprotic,2,8,True,10.99,10.99,0.0,0.9030389709583748,0.220568114618006,0.20503473548950985
16,monoprotic,1,1,True,3.3,3.34,0.040000000000000036,0.5943587387254103,0.19814808384177737,0.5448160768520703
14,triprotic,3,4,True,1.92,2.0,0.08000000000000007,2.980691559709984,0.14520581346618522,0.0
17,triprotic,3,6,True,5.85,5.78,0.0699999999999994,1.1238316924972513,0.06289652289722267,0.0
18,diprotic,2,6,True,6.62,6.71,0.08999999999999986,1.0149381992067508,0.21900648045748916,0.23728968216518864
19,triprotic,3,5,True,3.23,3.32,0.08999999999999986,1.4139665674064261,0.19575428484315874,0.0
20,diprotic,2,19,True,8.53,8.46,0.06999999999999851,0.16554079859279858,0.18436812007004574,0.4910911565798133
