experiment,acid_type,true_buffer_count,step,current_pH,target_pH_x,abs_pH_error,posterior_mean_std,posterior_max_std,matched_pka_mae,matched_pka_rmse,matched_pka_max_abs_error,matched_within_0p5_frac,matched_within_1p0_frac,all_true_pkas_within_0p5,all_true_pkas_within_1p0,effective_pka_mae,unused_slot_mole_fraction,success_if_stop_now,previous_prediction_abs_error,posterior_pkas,posterior_stds,posterior_moles,effective_pkas,true_pkas,matched_slot_indices,unused_slot_indices,stage,steps_taken,success,final_pH,target_pH_y,final_abs_pH_error,final_matched_pka_mae,final_posterior_mean_std,final_unused_slot_mole_fraction
1,triprotic,3,3,3.65,3.74,0.0900000000000003,0.19017478122512596,0.19852729937950792,1.5130227192001768,1.5428839489760764,1.9401775550769145,0.0,0.0,0.0,0.0,1.5166201703475952,0.0,1.0,1.0129253823310136,"[2.5460, 4.8833, 3.0015]","[0.1985, 0.1885, 0.1835]","[0.0615, 0.1404, 0.3714]","[2.5593, 4.8736, 2.9872]","[3.8397, 4.3068, 6.8235]","[0, 1, 2]",[],final,3,True,3.65,3.74,0.0900000000000003,1.5130227192001768,0.19017478122512596,0.0
1,triprotic,3,0,1.79,3.74,1.9500000000000002,0.20000000000000004,0.2,1.5173381465978988,1.5482287460457618,1.95177203031289,0.0,0.0,0.0,0.0,1.5173381465978988,0.0,0.0,,"[2.5618, 4.8717, 2.9844]","[0.2000, 0.2000, 0.2000]","[0.0614, 0.1408, 0.3707]","[2.5618, 4.8717, 2.9844]","[3.8397, 4.3068, 6.8235]","[0, 1, 2]",[],initial,3,True,3.65,3.74,0.0900000000000003,1.5130227192001768,0.19017478122512596,0.0
1,triprotic,3,3,3.65,3.74,0.0900000000000003,0.19017478122512596,0.19852729937950792,1.5130227192001768,1.5428839489760764,1.9401775550769145,0.0,0.0,0.0,0.0,1.5166201703475952,0.0,1.0,1.0129253823310136,"[2.5460, 4.8833, 3.0015]","[0.1985, 0.1885, 0.1835]","[0.0615, 0.1404, 0.3714]","[2.5593, 4.8736, 2.9872]","[3.8397, 4.3068, 6.8235]","[0, 1, 2]",[],up_to_8_steps,3,True,3.65,3.74,0.0900000000000003,1.5130227192001768,0.19017478122512596,0.0
2,monoprotic,1,12,6.89,6.93,0.040000000000000036,0.2146197937520137,0.24686421296965205,0.14215939955386947,0.14215939955386947,0.14215939955386947,1.0,1.0,1.0,1.0,0.13382944824302356,0.5400961243511779,1.0,2.4852500212006268,"[4.7150, 4.4722, 4.6296]","[0.2469, 0.1834, 0.2136]","[0.3746, 0.4033, 0.0991]","[4.6813, 4.4638, 4.6496]",[4.3300],[1],"[0, 2]",final,12,True,6.89,6.93,0.040000000000000036,0.14215939955386947,0.2146197937520137,0.5400961243511779
2,monoprotic,1,0,2.11,6.93,4.82,0.20000000000000004,0.2,0.13219864504362366,0.13219864504362366,0.13219864504362366,1.0,1.0,1.0,1.0,0.13219864504362366,0.5396485145238947,0.0,,"[4.6753, 4.4622, 4.6534]","[0.2000, 0.2000, 0.2000]","[0.3770, 0.4046, 0.0973]","[4.6753, 4.4622, 4.6534]",[4.3300],[1],"[0, 2]",initial,12,True,6.89,6.93,0.040000000000000036,0.14215939955386947,0.2146197937520137,0.5400961243511779
2,monoprotic,1,8,10.51,6.93,3.58,0.21879029638941375,0.24344558605018649,0.11680506656475309,0.11680506656475309,0.11680506656475309,1.0,1.0,1.0,1.0,0.12970583203148944,0.5398078388694024,0.0,6.101783415526151,"[4.6740, 4.4468, 4.6610]","[0.2434, 0.1927, 0.2203]","[0.3777, 0.4058, 0.0983]","[4.6751, 4.4597, 4.6546]",[4.3300],[1],"[0, 2]",up_to_8_steps,12,True,6.89,6.93,0.040000000000000036,0.14215939955386947,0.2146197937520137,0.5400961243511779
3,monoprotic,1,13,9.97,9.97,0.0,0.2037638139776997,0.2150647373847478,0.22887403722218558,0.22887403722218558,0.22887403722218558,1.0,1.0,1.0,1.0,0.2171959200996314,0.3571408832888004,1.0,7.4500870101898915,"[3.0136, 2.1111, 3.1106]","[0.2053, 0.2151, 0.1909]","[0.1969, 0.4012, 0.0260]","[2.9820, 2.1228, 3.1239]",[2.3400],[1],"[0, 2]",final,13,True,9.97,9.97,0.0,0.22887403722218558,0.2037638139776997,0.3571408832888004
3,monoprotic,1,0,1.6,9.97,8.370000000000001,0.20000000000000004,0.2,0.215010497055661,0.215010497055661,0.215010497055661,1.0,1.0,1.0,1.0,0.215010497055661,0.3604669670930963,0.0,,"[2.9760, 2.1250, 3.1264]","[0.2000, 0.2000, 0.2000]","[0.1983, 0.4006, 0.0275]","[2.9760, 2.1250, 3.1264]",[2.3400],[1],"[0, 2]",initial,13,True,9.97,9.97,0.0,0.22887403722218558,0.2037638139776997,0.3571408832888004
3,monoprotic,1,8,10.58,9.97,0.6099999999999994,0.22005630657402322,0.22977715191608128,0.1927214737917322,0.1927214737917322,0.1927214737917322,1.0,1.0,1.0,1.0,0.21155933993493603,0.3601811265258103,0.0,8.05626287699677,"[3.0015, 2.1473, 3.1198]","[0.2131, 0.2298, 0.2173]","[0.1987, 0.4012, 0.0271]","[2.9801, 2.1284, 3.1254]",[2.3400],[1],"[0, 2]",up_to_8_steps,13,True,9.97,9.97,0.0,0.22887403722218558,0.2037638139776997,0.3571408832888004
4,triprotic,3,6,7.39,7.37,0.019999999999999574,0.19550880088300668,0.20288446312328962,2.3988673946588848,2.698424507741112,3.593831029036245,0.0,0.3333333333333333,0.0,0.0,2.3965720679977665,0.0,1.0,4.099572700317949,"[3.7857, 2.5716, 2.6062]","[0.2029, 0.1968, 0.1869]","[0.1524, 0.2047, 0.3939]","[3.7943, 2.5666, 2.6094]","[3.2687, 5.5119, 7.3795]","[0, 1, 2]",[],final,6,True,7.39,7.37,0.019999999999999574,2.3988673946588848,0.19550880088300668,0.0
