acid_type,stage,experiments,mean_matched_pka_mae,median_matched_pka_mae,mean_effective_pka_mae,mean_posterior_std,median_posterior_std,mean_abs_pH_error,all_true_pkas_within_0p5_pct,all_true_pkas_within_1p0_pct,matched_within_0p5_frac_pct,matched_within_1p0_frac_pct,mean_unused_slot_mole_fraction_if_true_count_lt3,unused_slot_fraction_lt_0p1_pct_if_true_count_lt3
diprotic,final,1031,0.7519,0.6691,0.7495,0.1906,0.2019,0.0549,18.43,51.6,45.64,73.23,0.3326,11.83
diprotic,initial,1031,0.7506,0.6661,0.7506,0.2,0.2,4.2829,17.56,51.5,45.2,73.28,0.3353,11.45
diprotic,up_to_8_steps,1031,0.7506,0.667,0.7493,0.1897,0.2009,0.7301,18.33,51.41,45.59,73.18,0.3336,11.74
monoprotic,final,994,0.5904,0.4388,0.58,0.1964,0.2033,0.073,55.33,82.49,55.33,82.49,0.6682,0.0
monoprotic,initial,994,0.5824,0.4326,0.5824,0.2,0.2,4.3439,55.73,82.6,55.73,82.6,0.6677,0.0
monoprotic,up_to_8_steps,994,0.59,0.445,0.5803,0.1922,0.2017,1.1725,55.23,82.39,55.23,82.39,0.6681,0.0
triprotic,final,975,1.3258,1.3018,1.315,0.1876,0.2008,0.0596,0.72,6.36,22.02,43.32,,
triprotic,initial,975,1.315,1.2881,1.315,0.2,0.2,4.2526,0.51,6.77,22.36,43.83,,
triprotic,up_to_8_steps,975,1.3241,1.2966,1.3147,0.1879,0.2007,0.3515,0.62,6.56,22.15,43.49,,
overall,final,3000,0.8849,0.7835,0.8771,0.1916,0.2019,0.0624,24.9,47.13,41.17,66.58,0.4973,6.02
overall,initial,3000,0.8783,0.7831,0.8783,0.2,0.2,4.2933,24.67,47.27,41.27,66.79,0.4985,5.83
overall,up_to_8_steps,3000,0.8838,0.7819,0.877,0.1899,0.2011,0.7537,24.8,47.1,41.17,66.58,0.4978,5.98
